config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,n_trades_A,n_trades_B
Config2_AB_H1,3000.0,100,574319.9924678057,355646.34409402683,33.0,5.0,55.00000000000001,641.11,0.5114444681916612,280,465
Config2_AB_H1,5000.0,100,577241.4405545165,391592.26777611976,32.0,1.0,55.00000000000001,641.11,0.49934657098496166,280,465
Config2_AB_H2,3000.0,100,19647289.91395607,19343748.28979054,0.0,0.0,0.0,880.63,0.2622106696678399,462,585
Config2_AB_H2,5000.0,100,19647289.91395607,19343748.28979054,0.0,0.0,0.0,880.63,0.2622106696678399,462,585
Config2_AB_bloc1,3000.0,100,181718.15512180992,92365.6463830852,37.0,0.0,59.0,304.05,0.19636918889708674,80,201
Config2_AB_bloc1,5000.0,100,181718.15512180992,92365.6463830852,37.0,0.0,59.0,304.05,0.19636918889708674,80,201
Config2_AB_bloc2,3000.0,100,7960.9456192527105,-34361.04574203954,52.0,5.0,48.0,174.27,0.32959694370384807,200,264
Config2_AB_bloc2,5000.0,100,12721.7227938035,-21232.59053894339,51.0,1.0,47.0,174.7,0.3260317433422094,200,264
Config2_AB_bloc3,3000.0,100,5379747.401725796,4953928.3767079795,0.0,0.0,1.0,331.45,0.45351253834679384,205,270
Config2_AB_bloc3,5000.0,100,5379747.401725796,4953928.3767079795,0.0,0.0,1.0,331.45,0.45351253834679384,205,270
Config2_AB_bloc4,3000.0,100,11892178.77373851,11777512.538152862,0.0,0.0,0.0,445.82,0.1742740317339084,257,315
Config2_AB_bloc4,5000.0,100,11892178.77373851,11777512.538152862,0.0,0.0,0.0,445.82,0.1742740317339084,257,315
