config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,n_trades_A,n_trades_B
Config2_AB_H1,3000.0,100,-476577.8315095932,-508722.02934516734,79.0,19.0,82.0,1829.84,0.20837153781727574,280,708
Config2_AB_H1,5000.0,100,-520973.67999777687,-567309.9149989871,79.0,10.0,82.0,1968.91,0.16081882545364648,280,708
Config2_AB_H2,3000.0,100,14647962.557061095,14837540.974505676,0.0,5.0,1.0,2983.64,0.3927025296494037,462,796
Config2_AB_H2,5000.0,100,14706439.929666832,14837540.974505676,0.0,2.0,1.0,2983.92,0.39720085544085204,462,796
Config2_AB_bloc1,3000.0,100,-120708.32629197197,-97791.83046616269,91.0,14.000000000000002,87.0,639.91,-0.21762622080905272,80,327
Config2_AB_bloc1,5000.0,100,-141191.5060203985,-114557.00385040072,91.0,2.0,87.0,699.62,-0.180061840083698,80,327
Config2_AB_bloc2,3000.0,100,-182184.6919291106,-195968.4490823801,73.0,35.0,70.0,379.93,0.08708594881978514,200,381
Config2_AB_bloc2,5000.0,100,-233298.99192930147,-261210.7432073732,73.0,22.0,67.0,464.19,0.1824220624178939,200,381
Config2_AB_bloc3,3000.0,100,3972359.8379654177,3597267.7126010098,5.0,7.000000000000001,7.000000000000001,933.35,0.5593877462951254,205,366
Config2_AB_bloc3,5000.0,100,4006048.485439997,3607785.470299647,4.0,2.0,7.000000000000001,953.66,0.5547813374561287,205,366
Config2_AB_bloc4,3000.0,100,8957294.827920945,8958276.305779103,0.0,1.0,0.0,1720.84,0.09496009191336517,257,430
Config2_AB_bloc4,5000.0,100,9000693.705555044,8958276.305779103,0.0,0.0,0.0,1739.5,0.08338424810950644,257,430
