config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,n_trades_A,n_trades_B
Config2_AB_H1,960.0,100,-78209.10315552488,-42268.0004129235,65.0,82.0,86.0,591.85,0.2478410698035378,280,708
Config2_AB_H1,1000.0,100,-92434.15838559734,-73859.5323057797,66.0,79.0,85.0,670.99,0.20626807529238633,280,708
Config2_AB_H2,960.0,100,13132003.840376848,13260044.458142608,0.0,25.0,1.0,2466.13,0.2286406644567417,462,796
Config2_AB_H2,1000.0,100,13429610.994368559,13619335.983885437,0.0,14.000000000000002,1.0,2612.29,0.19952184168440296,462,796
Config2_AB_bloc1,960.0,100,-19570.61018993776,-10493.979996000013,92.0,74.0,93.0,154.63,-0.3635511450777119,80,327
Config2_AB_bloc1,1000.0,100,-19390.715977123942,-11373.256815999994,93.0,63.0,94.0,161.42,-0.36150874275436107,80,327
Config2_AB_bloc2,960.0,100,-31727.77257069076,-30994.128627215592,75.0,86.0,73.0,101.64,0.05061858602035892,200,381
Config2_AB_bloc2,1000.0,100,-44288.3717473594,-50099.346892158355,73.0,81.0,72.0,121.49,0.1058175531163832,200,381
Config2_AB_bloc3,960.0,100,3020991.6769730165,2442509.502080576,4.0,34.0,20.0,729.93,0.5089873701827176,205,366
Config2_AB_bloc3,1000.0,100,3263311.701466124,2616438.7246628935,3.0,23.0,17.0,779.21,0.5866278413867848,205,366
Config2_AB_bloc4,960.0,100,7604585.5779257845,7858015.138846656,0.0,33.0,1.0,1368.14,0.1218815713874973,257,430
Config2_AB_bloc4,1000.0,100,7803388.5810888205,7918663.210988071,0.0,20.0,1.0,1436.89,0.16066235227656223,257,430
