config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,n_trades_A,n_trades_B
A_seul_H1,3000.0,100,8429.38590377201,-86187.82119240094,56.99999999999999,0.0,63.0,0.0,-1.0361169260146346e-17,280,708
Config2_AB_H1,3000.0,100,881847.5956646731,703185.119130103,20.0,10.0,35.0,2541.45,0.5422412794333031,280,708
A_seul_H1,5000.0,100,8429.38590377201,-86187.82119240094,56.99999999999999,0.0,63.0,0.0,-1.0361169260146346e-17,280,708
Config2_AB_H1,5000.0,100,882908.6498779528,737076.0508685603,21.0,3.0,35.0,2541.79,0.5434145857159045,280,708
A_seul_H2,3000.0,100,7624291.955397505,7485563.939308204,0.0,0.0,1.0,0.0,6.635144495404394e-16,462,796
Config2_AB_H2,3000.0,100,22052783.886839822,21789309.49914011,0.0,0.0,0.0,3033.18,0.45663281318204585,462,796
A_seul_H2,5000.0,100,7624291.955397505,7485563.939308204,0.0,0.0,1.0,0.0,6.635144495404394e-16,462,796
Config2_AB_H2,5000.0,100,22052783.886839822,21789309.49914011,0.0,0.0,0.0,3033.18,0.45663281318204585,462,796
A_seul_bloc1,3000.0,100,-27686.696167385573,-19226.54510697339,92.0,0.0,92.0,0.0,-5.3371434781085336e-17,80,327
Config2_AB_bloc1,3000.0,100,235766.58434141218,43536.562645194914,41.0,11.0,56.00000000000001,1134.79,0.4963936547656822,80,327
A_seul_bloc1,5000.0,100,-27686.696167385573,-19226.54510697339,92.0,0.0,92.0,0.0,-5.3371434781085336e-17,80,327
Config2_AB_bloc1,5000.0,100,242570.56876069758,74522.9182251946,38.0,0.0,54.0,1182.15,0.48911842885956947,80,327
A_seul_bloc2,3000.0,100,11391.726139249344,-45750.566641980564,61.0,4.0,57.99999999999999,0.0,-4.24093217914205e-17,200,381
Config2_AB_bloc2,3000.0,100,158929.32714657777,47336.83692210173,45.0,17.0,40.0,786.2,0.11245016751114155,200,381
A_seul_bloc2,5000.0,100,6338.012002882314,-51599.89695672885,60.0,0.0,56.99999999999999,0.0,-1.1363054889857917e-17,200,381
Config2_AB_bloc2,5000.0,100,169279.4663727067,121208.23223953227,40.0,4.0,36.0,863.65,0.149225760659466,200,381
A_seul_bloc3,3000.0,100,1947660.6328601562,1883716.4320734208,4.0,0.0,11.0,0.0,1.833835199442602e-18,205,366
Config2_AB_bloc3,3000.0,100,6561011.649177391,6031312.207497497,1.0,2.0,1.0,1023.91,0.5819343243279766,205,366
A_seul_bloc3,5000.0,100,1947660.6328601562,1883716.4320734208,4.0,0.0,11.0,0.0,1.833835199442602e-18,205,366
Config2_AB_bloc3,5000.0,100,6602141.652484447,6031312.207497497,1.0,0.0,1.0,1033.74,0.5870059621544894,205,366
A_seul_bloc4,3000.0,100,4132013.2362763733,4073213.7455412773,0.0,0.0,0.0,0.0,-3.3608638747479675e-16,257,430
Config2_AB_bloc4,3000.0,100,13042517.086414268,13244110.73345887,0.0,0.0,0.0,1778.13,0.28344074036807265,257,430
A_seul_bloc4,5000.0,100,4132013.2362763733,4073213.7455412773,0.0,0.0,0.0,0.0,-3.3608638747479675e-16,257,430
Config2_AB_bloc4,5000.0,100,13042517.086414268,13244110.73345887,0.0,0.0,0.0,1778.13,0.28344074036807265,257,430
