config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,n_trades_A,n_trades_B
A_seul_H1,960.0,100,15314.244701204594,-15650.283141411797,65.0,12.0,87.0,0.0,-3.988799472622253e-18,280,708
Config2_AB_H1,960.0,100,659532.300298693,484514.96512335347,31.0,38.0,56.99999999999999,1821.1,0.46664872063192686,280,708
A_seul_H1,1000.0,100,15908.39831444677,-15650.283141411797,64.0,6.0,87.0,0.0,2.7709231598409057e-17,280,708
Config2_AB_H1,1000.0,100,689588.0688382761,486916.08254645474,28.999999999999996,30.0,56.99999999999999,1983.01,0.522560593697108,280,708
A_seul_H2,960.0,100,7188087.316674249,7143231.253250776,2.0,6.0,3.0,0.0,6.870313650093592e-17,462,796
Config2_AB_H2,960.0,100,20748132.380413134,20990367.905239187,0.0,8.0,0.0,2863.77,0.25771324833541226,462,796
A_seul_H2,1000.0,100,7254341.094043656,7143231.253250776,1.0,2.0,2.0,0.0,-9.368964754049075e-17,462,796
Config2_AB_H2,1000.0,100,21038581.745204076,21013812.562947497,0.0,3.0,0.0,2903.71,0.24887156858376328,462,796
A_seul_bloc1,960.0,100,-13518.960661668949,-12297.444346923581,98.0,0.0,98.0,0.0,5.582018066297815e-17,80,327
Config2_AB_bloc1,960.0,100,131863.80172000348,-6550.392367134462,51.0,35.0,71.0,693.51,0.5424120917056408,80,327
A_seul_bloc1,1000.0,100,-13518.960661668949,-12297.444346923581,98.0,0.0,98.0,0.0,5.582018066297815e-17,80,327
Config2_AB_bloc1,1000.0,100,135286.69510481536,-7806.477747367673,51.0,23.0,69.0,711.3,0.5557466332834581,80,327
A_seul_bloc2,960.0,100,2117.177283397852,-23870.112499091356,69.0,8.0,72.0,0.0,4.8577178662013205e-17,200,381
Config2_AB_bloc2,960.0,100,94683.17392139674,-9068.98,54.0,28.999999999999996,48.0,586.23,0.2157957510539737,200,381
A_seul_bloc2,1000.0,100,2110.5772833978517,-23870.112499091356,69.0,5.0,72.0,0.0,1.7207156984607521e-18,200,381
Config2_AB_bloc2,1000.0,100,104579.56883450506,5799.079130350487,50.0,25.0,44.0,595.68,0.2096656993295189,200,381
A_seul_bloc3,960.0,100,1656561.1578297096,1536896.7576662423,8.0,2.0,26.0,0.0,-2.354073285427968e-16,205,366
Config2_AB_bloc3,960.0,100,5393397.3522595195,4805874.327596589,5.0,23.0,8.0,876.81,0.620570698399199,205,366
A_seul_bloc3,1000.0,100,1656561.1578297096,1536896.7576662423,8.0,0.0,26.0,0.0,-2.354073285427968e-16,205,366
Config2_AB_bloc3,1000.0,100,5480755.14261353,4887160.958381774,4.0,16.0,8.0,889.26,0.6039370064551988,205,366
A_seul_bloc4,960.0,100,3717606.35825362,3752745.092612353,4.0,5.0,4.0,0.0,2.1721592031690158e-16,257,430
Config2_AB_bloc4,960.0,100,12002339.434504882,12229860.292488521,0.0,20.0,1.0,1652.15,0.19958605488636486,257,430
