config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,scope,n_trades_A,n_trades_B
REF,5000.0,600,18100571.314306684,17913424.205161694,0.0,0.16666666666666669,7.333333333333333,1657.3783333333333,0.47662703238888315,full,,
REF,5000.0,600,631277.0291015059,541745.5153593726,26.5,1.0,47.833333333333336,629.3366666666667,0.31464404273351915,H1,280.0,465.0
REF,5000.0,600,18949259.288897317,18898286.767786667,0.0,0.0,0.16666666666666669,857.8133333333334,0.2320902534706984,H2,462.0,585.0
REF,5000.0,600,286031.4701165865,184874.15871896362,28.333333333333332,0.0,52.5,321.08,0.3543780788511521,bloc1,80.0,201.0
REF,5000.0,600,84406.8914969174,6523.03413833991,49.666666666666664,1.3333333333333335,50.66666666666667,177.98,0.23914717257450901,bloc2,200.0,264.0
REF,5000.0,600,5589561.7391538285,5384821.625639804,0.5,0.0,3.6666666666666665,346.00666666666666,0.3875858036452966,bloc3,205.0,270.0
REF,5000.0,600,12343030.438804343,12451939.589382816,0.0,0.0,0.0,453.5466666666667,0.0721236937360749,bloc4,257.0,315.0
COMBO,5000.0,600,18602940.356765743,18444525.75119772,0.0,0.5,6.666666666666667,1733.52,0.5206102921982215,full,,
COMBO,5000.0,600,790053.1080087745,728123.5502935352,21.166666666666668,0.5,45.5,636.1866666666666,0.32119079183825144,H1,280.0,465.0
COMBO,5000.0,600,18956080.70412437,18967780.936641537,0.0,0.0,0.0,946.5883333333334,0.3206767208565649,H2,462.0,530.0
COMBO,5000.0,600,353565.2548126453,266304.1058755135,22.0,0.0,44.5,328.15166666666664,0.3498453780026524,bloc1,80.0,201.0
COMBO,5000.0,600,157259.58836217978,97613.15386131393,42.66666666666667,0.5,46.33333333333333,182.94833333333332,0.2343866628993793,bloc2,200.0,264.0
COMBO,5000.0,600,5550705.469429827,5415256.671341959,0.5,0.0,4.166666666666666,404.5083333333333,0.4372163423890976,bloc3,205.0,256.0
COMBO,5000.0,600,12005675.195976973,12000505.679543085,0.0,0.0,0.0,452.98,0.19833886477883841,bloc4,257.0,274.0
