config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,scope,n_trades_A,n_trades_B
REF,5000.0,600,19285455.83318344,19018535.022103623,0.0,1.8333333333333333,6.0,1622.135,0.5752187255433449,full,,
REF,5000.0,600,689735.660708848,621670.5044009043,24.333333333333336,1.8333333333333333,42.66666666666667,646.435,0.23866312076243215,H1,280.0,541.0
REF,5000.0,600,21289674.974151123,21285621.3503882,0.0,0.0,0.16666666666666669,803.73,0.3148010853761807,H2,462.0,706.0
REF,5000.0,600,322888.52448305686,237601.90650442918,24.0,0.0,45.166666666666664,341.0283333333333,0.24344034261491498,bloc1,80.0,230.0
REF,5000.0,600,120658.90774529803,84044.07468562115,44.83333333333333,1.1666666666666667,45.0,191.445,0.13498726008322698,bloc2,200.0,311.0
REF,5000.0,600,6306685.360353332,5993336.865794481,0.33333333333333337,0.0,2.5,343.48833333333334,0.4235337344333925,bloc3,205.0,314.0
REF,5000.0,600,12897130.673488926,12910918.30948301,0.0,0.0,0.0,408.745,0.10617406421725464,bloc4,257.0,392.0
SEQ_SEUL,5000.0,600,19256689.360423528,18986880.629430752,0.0,0.0,5.833333333333333,1622.135,0.5853987199987886,full,,
SEQ_SEUL,5000.0,600,689124.86602683,644394.9221314392,24.833333333333332,1.0,43.333333333333336,647.0116666666667,0.2477394128092224,H1,280.0,541.0
SEQ_SEUL,5000.0,600,21107716.301184036,21119139.4461651,0.0,0.0,0.16666666666666669,803.73,0.32244323957183674,H2,462.0,706.0
SEQ_SEUL,5000.0,600,315483.18895906326,239444.3366456574,23.833333333333336,0.0,44.666666666666664,341.0283333333333,0.22232856834162767,bloc1,80.0,230.0
SEQ_SEUL,5000.0,600,119193.4271737585,88579.50172616536,43.833333333333336,0.8333333333333334,45.33333333333333,191.45333333333335,0.1284672917196874,bloc2,200.0,311.0
SEQ_SEUL,5000.0,600,6175148.2332265405,5874304.606606446,0.33333333333333337,0.0,2.666666666666667,343.48833333333334,0.4219438185572716,bloc3,205.0,314.0
SEQ_SEUL,5000.0,600,12647633.636432184,12623703.660827864,0.0,0.0,0.0,408.745,0.11949082769779101,bloc4,257.0,392.0
ADX_SEUL,5000.0,600,20063219.59644841,19751883.88790056,0.0,2.0,5.333333333333334,1701.5433333333333,0.6124042859573308,full,,
ADX_SEUL,5000.0,600,861552.5612296909,820995.9052093037,20.0,1.6666666666666667,38.0,653.0166666666667,0.24259642499215117,H1,280.0,541.0
ADX_SEUL,5000.0,600,20999069.306590144,20981323.38916672,0.0,0.0,0.0,901.6916666666667,0.3566418515698863,H2,462.0,651.0
ADX_SEUL,5000.0,600,390713.0263825688,318221.99696266215,20.333333333333332,0.0,40.166666666666664,344.635,0.26806284744679604,bloc1,80.0,230.0
ADX_SEUL,5000.0,600,191031.1102563311,144407.71675327964,41.0,1.0,41.833333333333336,194.98333333333332,0.13483610365052506,bloc2,200.0,311.0
ADX_SEUL,5000.0,600,6697648.131598318,6432540.340709086,0.33333333333333337,0.0,2.0,413.105,0.4998700849014193,bloc3,205.0,300.0
ADX_SEUL,5000.0,600,12197951.774920981,12283140.509844609,0.0,0.0,0.0,405.02666666666664,0.16899620087643313,bloc4,257.0,351.0
COMBO,5000.0,600,20034511.147267584,19773896.6571203,0.0,0.0,5.666666666666666,1701.5433333333333,0.6211134994633805,full,,
COMBO,5000.0,600,858968.4363126069,815765.1125223562,19.833333333333332,0.6666666666666667,39.33333333333333,653.0166666666667,0.25623224211894524,H1,280.0,541.0
COMBO,5000.0,600,20803385.440614928,20745628.73396251,0.0,0.0,0.0,901.6916666666667,0.36574389525423484,H2,462.0,651.0
COMBO,5000.0,600,382361.6522398776,313604.0630952838,21.0,0.0,39.83333333333333,344.635,0.24732319696413146,bloc1,80.0,230.0
COMBO,5000.0,600,186841.13789679136,135585.9997419669,40.166666666666664,0.8333333333333334,42.333333333333336,194.98333333333332,0.13016041681855953,bloc2,200.0,311.0
COMBO,5000.0,600,6573694.815601567,6284357.611577451,0.5,0.0,2.0,413.105,0.5000960738952415,bloc3,205.0,300.0
COMBO,5000.0,600,11928421.802967945,12001326.903527819,0.0,0.0,0.0,405.02666666666664,0.1788461887333355,bloc4,257.0,351.0
