config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,scope,n_trades_A,n_trades_B
REF,3000.0,5,19727666.608103063,21233070.982407868,0.0,0.0,0.0,1733.6,0.9808394260017226,full,,
REF,3000.0,5,811837.8700585853,444019.8106202523,0.0,0.0,60.0,696.6,0.5592840507518808,H1,280.0,541.0
REF,3000.0,5,17343329.774848603,15813607.517757248,0.0,0.0,0.0,864.8,0.8249061841777766,H2,462.0,706.0
REF,3000.0,5,185968.94466193853,98081.50765327457,0.0,20.0,40.0,363.4,-0.254580308289344,bloc1,80.0,230.0
REF,3000.0,5,80047.67946455171,135132.65704979352,20.0,0.0,80.0,202.4,0.32772758834825844,bloc2,200.0,311.0
REF,3000.0,5,6081583.737299425,5814684.312131568,0.0,0.0,0.0,291.0,0.47453150104811653,bloc3,205.0,314.0
REF,3000.0,5,13916705.302688014,12575131.394952834,0.0,0.0,0.0,408.8,0.942374204159561,bloc4,257.0,392.0
SEQ_SEUL,3000.0,5,19653258.4808921,21045297.20038359,0.0,0.0,0.0,1733.6,0.9788613752655919,full,,
SEQ_SEUL,3000.0,5,934344.7606422126,708920.7404272,0.0,0.0,60.0,696.6,0.03130635086138256,H1,280.0,541.0
SEQ_SEUL,3000.0,5,17089377.171048664,15762175.655269772,0.0,0.0,0.0,864.8,0.8512845366290888,H2,462.0,706.0
SEQ_SEUL,3000.0,5,190905.1061987476,96592.36883877081,0.0,0.0,40.0,363.4,-0.24449395704139712,bloc1,80.0,230.0
SEQ_SEUL,3000.0,5,162753.92897440496,126082.08064264117,20.0,0.0,60.0,202.4,0.40943221290229725,bloc2,200.0,311.0
SEQ_SEUL,3000.0,5,5966863.9103528485,5760313.200595045,0.0,0.0,0.0,291.0,0.5625037887055151,bloc3,205.0,314.0
SEQ_SEUL,3000.0,5,13595683.363632958,12327852.92105271,0.0,0.0,0.0,408.8,0.9171652756345783,bloc4,257.0,392.0
ADX_SEUL,3000.0,5,20105825.300336845,20712235.301974308,0.0,0.0,0.0,1749.8,0.9164174802624397,full,,
ADX_SEUL,3000.0,5,940958.0319044583,831232.300994266,0.0,0.0,60.0,700.2,0.608675064633138,H1,280.0,541.0
ADX_SEUL,3000.0,5,17393960.49389237,15606029.798021734,0.0,0.0,0.0,972.6,0.8255511768054782,H2,462.0,651.0
ADX_SEUL,3000.0,5,216997.14132434767,134149.07825301742,0.0,20.0,40.0,368.4,-0.20091657614135064,bloc1,80.0,230.0
ADX_SEUL,3000.0,5,156530.86770275942,85005.5456360722,20.0,0.0,80.0,206.8,0.3541341829855953,bloc2,200.0,311.0
ADX_SEUL,3000.0,5,7050995.420876607,6770292.4274688,0.0,0.0,0.0,365.0,0.2992736967143227,bloc3,205.0,300.0
ADX_SEUL,3000.0,5,12838306.963518942,12033494.857799646,0.0,0.0,0.0,412.0,0.804216290818156,bloc4,257.0,351.0
COMBO,3000.0,5,20023101.364767,20560240.914047774,0.0,0.0,0.0,1749.8,0.9163964810402436,full,,
COMBO,3000.0,5,1042183.4717225342,996851.3161876554,0.0,0.0,60.0,700.2,-0.05036809543976446,H1,280.0,541.0
COMBO,3000.0,5,17088351.604312036,15555693.853651749,0.0,0.0,0.0,972.6,0.864891419689173,H2,462.0,651.0
COMBO,3000.0,5,224579.28013904006,132659.93943851363,0.0,0.0,40.0,368.4,-0.19155845837782304,bloc1,80.0,230.0
COMBO,3000.0,5,233616.69968698797,126433.64772728061,20.0,0.0,60.0,206.8,0.35988380064091025,bloc2,200.0,311.0
COMBO,3000.0,5,6919970.974885434,6749063.998940915,0.0,0.0,0.0,365.0,0.3888471180670216,bloc3,205.0,300.0
COMBO,3000.0,5,12534847.717401896,11751121.860929023,0.0,0.0,0.0,412.0,0.7563253006774371,bloc4,257.0,351.0
