config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,scope,n_trades_A,n_trades_B
REF,3000.0,5,17717350.90066011,18564676.982814394,0.0,0.0,0.0,1764.6,0.765333999779024,full,,
REF,3000.0,5,534628.6412019458,382982.29465025535,20.0,0.0,80.0,696.8,0.5741399309533529,H1,280.0,465.0
REF,3000.0,5,14510661.269574607,12362767.65348936,0.0,0.0,0.0,881.4,0.5714429972875456,H2,462.0,585.0
REF,3000.0,5,238125.5914468973,223126.9584796451,20.0,0.0,40.0,354.2,-0.5926742721025008,bloc1,80.0,201.0
REF,3000.0,5,-230900.21698807747,-178880.21444930506,80.0,20.0,100.0,181.2,-0.05368043294148433,bloc2,200.0,264.0
REF,3000.0,5,6033149.587585376,5424041.059984498,0.0,0.0,0.0,296.8,0.2871566979271074,bloc3,205.0,270.0
REF,3000.0,5,12740503.91292746,13227723.972348584,0.0,0.0,0.0,440.4,0.862275693554155,bloc4,257.0,315.0
SEQ_SEUL,3000.0,5,17633595.968571983,18122575.407931026,0.0,0.0,0.0,1764.6,0.726004598851936,full,,
SEQ_SEUL,3000.0,5,660247.8886259182,726544.7235041929,0.0,0.0,60.0,696.8,-0.06609873746923091,H1,280.0,465.0
SEQ_SEUL,3000.0,5,14177055.722438967,12302402.520334294,0.0,0.0,0.0,881.4,0.5952745856993835,H2,462.0,585.0
SEQ_SEUL,3000.0,5,232617.94153771852,193945.01600090455,20.0,0.0,40.0,354.2,-0.5916391371215841,bloc1,80.0,201.0
SEQ_SEUL,3000.0,5,10479.683072372956,196705.48937199917,40.0,20.0,60.0,205.0,-0.1224091947454231,bloc2,200.0,264.0
SEQ_SEUL,3000.0,5,5863849.402936817,5392083.575973013,0.0,0.0,0.0,296.8,0.3167300465352838,bloc3,205.0,270.0
SEQ_SEUL,3000.0,5,12449708.44920781,12945350.97547796,0.0,0.0,0.0,440.4,0.8486715840732888,bloc4,257.0,315.0
ADX_SEUL,3000.0,5,18048334.676807303,19055490.846342213,0.0,0.0,20.0,1784.0,0.7348075177846033,full,,
ADX_SEUL,3000.0,5,744906.5697559809,540221.2268768285,20.0,0.0,80.0,706.6,0.4985500249360325,H1,280.0,465.0
ADX_SEUL,3000.0,5,15425532.920866663,13526738.587382384,0.0,0.0,0.0,991.2,0.570771324657089,H2,462.0,530.0
ADX_SEUL,3000.0,5,312483.8918240789,274905.2723960348,0.0,0.0,40.0,354.6,-0.7093891123432391,bloc1,80.0,201.0
ADX_SEUL,3000.0,5,-152494.60145332085,-130196.01473393092,80.0,20.0,80.0,187.4,-0.1132968625880184,bloc2,200.0,264.0
ADX_SEUL,3000.0,5,5980397.253025504,4644842.97283864,0.0,0.0,0.0,335.2,0.3843870271493327,bloc3,205.0,256.0
ADX_SEUL,3000.0,5,13123631.982117828,13319247.555182166,0.0,0.0,0.0,439.2,0.9553741376382207,bloc4,257.0,274.0
COMBO,3000.0,5,18046094.016650714,19052181.716697276,0.0,0.0,20.0,1784.0,0.6853775360078109,full,,
COMBO,3000.0,5,889203.9476328816,912951.0689340159,0.0,0.0,60.0,706.6,0.07384291346196657,H1,280.0,465.0
COMBO,3000.0,5,15143770.431383595,13524610.39249273,0.0,0.0,0.0,991.2,0.591554072242638,H2,462.0,530.0
COMBO,3000.0,5,306977.4769094167,274905.2723960348,0.0,0.0,40.0,354.6,-0.7062275265705191,bloc1,80.0,201.0
COMBO,3000.0,5,74745.13153956477,1252.6950674580876,40.0,20.0,60.0,215.0,0.04312292230735453,bloc2,200.0,264.0
COMBO,3000.0,5,5802168.205988373,4539012.557499721,0.0,0.0,0.0,335.2,0.4357102483739435,bloc3,205.0,256.0
COMBO,3000.0,5,12773708.013354737,12848688.136058649,0.0,0.0,0.0,439.2,0.9352726273424798,bloc4,257.0,274.0
