config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,scope,n_trades_A,n_trades_B,variant
full_pop,3000.0,5,17633595.968571983,18122575.407931026,0.0,0.0,0.0,1764.6,0.726004598851936,full,,,baseline
H1,3000.0,5,660247.8886259182,726544.7235041929,0.0,0.0,60.0,696.8,-0.06609873746923091,H1,280.0,465.0,baseline
H2,3000.0,5,14177055.722438967,12302402.520334294,0.0,0.0,0.0,881.4,0.5952745856993835,H2,462.0,585.0,baseline
bloc1,3000.0,5,232617.94153771852,193945.01600090455,20.0,0.0,40.0,354.2,-0.5916391371215841,bloc1,80.0,201.0,baseline
bloc2,3000.0,5,10479.683072372956,196705.48937199917,40.0,20.0,60.0,205.0,-0.1224091947454231,bloc2,200.0,264.0,baseline
bloc3,3000.0,5,5863849.402936817,5392083.575973013,0.0,0.0,0.0,296.8,0.3167300465352838,bloc3,205.0,270.0,baseline
bloc4,3000.0,5,12449708.44920781,12945350.97547796,0.0,0.0,0.0,440.4,0.8486715840732888,bloc4,257.0,315.0,baseline
full_pop,3000.0,5,18046094.016650714,19052181.716697276,0.0,0.0,20.0,1784.0,0.6853775360078109,full,,,adx_fx_only
H1,3000.0,5,889203.9476328816,912951.0689340159,0.0,0.0,60.0,706.6,0.07384291346196657,H1,280.0,465.0,adx_fx_only
H2,3000.0,5,15143770.431383595,13524610.39249273,0.0,0.0,0.0,991.2,0.591554072242638,H2,462.0,530.0,adx_fx_only
bloc1,3000.0,5,306977.4769094167,274905.2723960348,0.0,0.0,40.0,354.6,-0.7062275265705191,bloc1,80.0,201.0,adx_fx_only
bloc2,3000.0,5,74745.13153956477,1252.6950674580876,40.0,20.0,60.0,215.0,0.04312292230735453,bloc2,200.0,264.0,adx_fx_only
bloc3,3000.0,5,5802168.205988373,4539012.557499721,0.0,0.0,0.0,335.2,0.4357102483739435,bloc3,205.0,256.0,adx_fx_only
bloc4,3000.0,5,12773708.013354737,12848688.136058649,0.0,0.0,0.0,439.2,0.9352726273424798,bloc4,257.0,274.0,adx_fx_only
