num,date_creation,ticker,asset_class,rr_tp1,r_si_pris,n_conflits,occ_ticker,occ_asset_class,occ_rr,occ_r,correlation
1,2022-02-21 16:22:01,DAX40 PERF INDEX,indice,2.723272984727423,2.723272984727423,1,DAX40 FULL0926,indice,2.943980929678185,2.943980929678185,1.0
2,2022-06-13 09:08:11,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,2.310404127257094,-1.0,1,S&P500 - MINI S&P500 FULL0926,indice,2.3954855643044626,-1.0,0.9539697215951712
3,2022-06-13 15:18:04,NASDAQ100 INDEX,indice,1.1681252025744382,-1.0,1,S&P500 - MINI S&P500 FULL0926,indice,2.3954855643044626,-1.0,0.9539697215951712
4,2022-08-12 15:36:52,NASDAQ100 INDEX,indice,1.2470531467567396,1.2470531467567396,1,S&P500 - MINI S&P500 FULL0926,indice,1.0263157894736843,1.0263157894736843,0.9539697215951712
5,2023-03-09 21:31:29,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,2.4909090909091027,-1.0,1,S&P500 - MINI S&P500 FULL0926,indice,1.284584980237145,1.284584980237145,0.9539697215951712
6,2023-04-03 08:34:30,USD/JPY,forex,1.157894736842113,-1.0,1,EUR/JPY,forex,1.0,-1.0,0.6799251800124764
7,2023-10-19 09:44:55,DAX40 PERF INDEX,indice,1.6660641118341677,-1.0,1,DAX40 FULL0926,indice,1.4912280701754386,1.4912280701754386,1.0
8,2023-12-20 17:32:36,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,1.465107692307703,-1.0,1,NASDAQ100 INDEX,indice,2.3290937996820027,-1.0,1.0
9,2024-06-17 08:29:26,S&P500 - MINI S&P500 FULL0926,indice,2.090270270270274,2.090270270270274,1,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,1.1253760789149112,1.1253760789149112,0.9539697215951712
10,2024-06-28 21:26:07,GBP/JPY,forex,1.0144927536232164,1.0144927536232164,1,USD/JPY,forex,1.1111111111111462,1.1111111111111462,0.7011592038026233
11,2024-09-09 03:39:58,AUD/JPY,forex,1.222222222222208,-1.0,1,EUR/JPY,forex,1.1992187499999962,-1.0,0.747608591613837
12,2024-09-11 11:47:40,AUD/JPY,forex,1.0612244897959209,-1.0,1,EUR/JPY,forex,1.1992187499999962,-1.0,0.747608591613837
13,2024-09-19 02:25:29,GBP/JPY,forex,1.0,3.2817128251239236,1,EUR/JPY,forex,1.1992187499999962,-1.0,0.8604585436135059
14,2025-01-21 20:35:47,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,1.4178403755868545,4.4394341744913834,1,S&P500 - MINI S&P500 FULL0926,indice,1.1145833333333333,5.5683430989583185,0.9539697215951712
15,2025-04-21 03:26:47,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,2.342887076255327,4.334382600276851,1,S&P500 - MINI S&P500 FULL0926,indice,1.246843434343423,-1.0,0.9539697215951712
16,2025-05-08 14:40:33,NASDAQ100 INDEX,indice,1.7284210526315815,4.553228129445231,1,S&P500 - MINI S&P500 FULL0926,indice,1.246843434343423,-1.0,0.9539697215951712
17,2025-05-09 12:33:32,DAX40 PERF INDEX,indice,1.779042200094797,8.466993020981464,1,DAX40 FULL0926,indice,1.3593867361816634,3.8946247597534325,1.0
18,2025-06-26 20:18:00,AUD/JPY,forex,1.076923076923119,2.180744816706878,1,EUR/JPY,forex,1.0,2.1187358856201497,0.747608591613837
19,2025-09-15 19:02:26,NASDAQ100 INDEX,indice,1.061279756531603,2.823949333298943,1,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,2.9184453647659216,8.35450398879703,1.0
20,2025-10-24 03:47:21,AUD/JPY,forex,1.0727272727272843,2.6463648015802805,1,USD/JPY,forex,1.212121212121216,3.836148718631633,0.5984485560794259
21,2025-11-11 19:18:17,GBP/JPY,forex,1.0952380952382883,-1.0,1,USD/JPY,forex,1.212121212121216,3.836148718631633,0.7011592038026233
22,2025-11-18 07:14:11,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,2.630813953488372,-1.0,1,S&P500 - MINI S&P500 FULL0926,indice,1.632,-1.0,0.9539697215951712
23,2025-11-28 01:14:29,AUD/JPY,forex,1.190476190476226,-1.0,1,GBP/JPY,forex,1.0452674897119396,2.8216050889756805,0.786337191333805
24,2025-12-09 12:18:07,USD/JPY,forex,1.1071428571428608,7.053580583844795,1,GBP/JPY,forex,1.0452674897119396,2.8216050889756805,0.7011592038026233
25,2026-01-21 00:50:36,CHF/JPY,forex,1.3277777777777986,1.3277777777777986,1,AUD/JPY,forex,1.0625000000000333,6.7812286376953805,0.5635956330431816
26,2026-01-30 07:12:11,CHF/JPY,forex,1.151515151515094,2.6984959457858158,1,GBP/JPY,forex,1.275862068965568,3.363779212688685,0.6865676302569321
27,2026-03-31 00:15:18,S&P500 - MINI S&P500 FULL0926,indice,1.862675159235668,-1.0,1,NASDAQ100 INDEX,indice,1.1648118835991632,-1.0,0.9539697215951712
28,2026-04-16 07:15:28,DAX40 FULL0926,indice,1.0319148936170213,4.184462267287249,1,DAX40 PERF INDEX,indice,1.394169012051664,4.824448270729611,1.0
29,2026-04-24 06:18:40,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,2.2319995777027275,6.7273939802840355,1,NASDAQ100 INDEX,indice,2.3040763863385747,6.76366800174434,1.0
30,2026-06-02 09:17:58,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,1.185609947485968,1.185609947485968,1,NASDAQ100 INDEX,indice,1.2237796156955465,-1.0,1.0
31,2026-06-05 06:22:54,S&P500 - MINI S&P500 FULL0926,indice,1.1788617886178865,2.0278931656504007,1,NASDAQ100 INDEX,indice,1.2237796156955465,-1.0,0.9539697215951712
