num,date_creation,ticker,asset_class,rr_tp1,r_si_pris,n_conflits,occupants,occ_rrs,occ_rs,occupant_a_perdu,tous_occupants_ont_gagne
1,2022-02-21 16:22:01,DAX40 PERF INDEX,indice,2.723,2.723,1,DAX40 FULL0926,2.94,+2.94,False,True
2,2022-06-13 09:08:11,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,2.31,-1.0,1,S&P500 - MINI S&P500 FULL0926,2.40,-1.00,True,False
3,2022-06-13 15:18:04,NASDAQ100 INDEX,indice,1.168,-1.0,1,S&P500 - MINI S&P500 FULL0926,2.40,-1.00,True,False
4,2022-08-12 15:36:52,NASDAQ100 INDEX,indice,1.247,1.247,1,S&P500 - MINI S&P500 FULL0926,1.03,+1.03,False,True
5,2023-03-09 21:31:29,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,2.491,-1.0,1,S&P500 - MINI S&P500 FULL0926,1.28,+1.28,False,True
6,2023-04-03 08:34:30,USD/JPY,forex,1.158,-1.0,1,EUR/JPY,1.00,-1.00,True,False
7,2023-10-19 09:44:55,DAX40 PERF INDEX,indice,1.666,-1.0,1,DAX40 FULL0926,1.49,+1.49,False,True
8,2023-12-20 17:32:36,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,1.465,-1.0,1,NASDAQ100 INDEX,2.33,-1.00,True,False
9,2024-06-17 08:29:26,S&P500 - MINI S&P500 FULL0926,indice,2.09,2.09,1,NASDAQ100 - MINI NASDAQ100 FULL0926,1.13,+1.13,False,True
10,2024-06-28 21:26:07,GBP/JPY,forex,1.014,1.014,1,USD/JPY,1.11,+1.11,False,True
11,2024-09-09 03:39:58,AUD/JPY,forex,1.222,-1.0,1,EUR/JPY,1.20,-1.00,True,False
12,2024-09-11 11:47:40,AUD/JPY,forex,1.061,-1.0,1,EUR/JPY,1.20,-1.00,True,False
13,2024-09-19 02:25:29,GBP/JPY,forex,1.0,3.282,1,EUR/JPY,1.20,-1.00,True,False
14,2025-01-21 20:35:47,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,1.418,4.439,1,S&P500 - MINI S&P500 FULL0926,1.11,+5.57,False,True
15,2025-04-21 03:26:47,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,2.343,4.334,1,S&P500 - MINI S&P500 FULL0926,1.25,-1.00,True,False
16,2025-05-08 14:40:33,NASDAQ100 INDEX,indice,1.728,4.553,1,S&P500 - MINI S&P500 FULL0926,1.25,-1.00,True,False
17,2025-05-09 12:33:32,DAX40 PERF INDEX,indice,1.779,8.467,1,DAX40 FULL0926,1.36,+3.89,False,True
18,2025-06-26 20:18:00,AUD/JPY,forex,1.077,2.181,1,EUR/JPY,1.00,+2.12,False,True
19,2025-09-15 19:02:26,NASDAQ100 INDEX,indice,1.061,2.824,1,NASDAQ100 - MINI NASDAQ100 FULL0926,2.92,+8.35,False,True
20,2025-10-24 03:47:21,AUD/JPY,forex,1.073,2.646,1,USD/JPY,1.21,+3.84,False,True
21,2025-11-11 19:18:17,GBP/JPY,forex,1.095,-1.0,1,USD/JPY,1.21,+3.84,False,True
22,2025-11-18 07:14:11,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,2.631,-1.0,1,S&P500 - MINI S&P500 FULL0926,1.63,-1.00,True,False
23,2025-11-28 01:14:29,AUD/JPY,forex,1.19,-1.0,1,GBP/JPY,1.05,+2.82,False,True
24,2025-12-09 12:18:07,USD/JPY,forex,1.107,7.054,1,GBP/JPY,1.05,+2.82,False,True
25,2026-01-21 00:50:36,CHF/JPY,forex,1.328,1.328,1,AUD/JPY,1.06,+6.78,False,True
26,2026-01-30 07:12:11,CHF/JPY,forex,1.152,2.698,1,GBP/JPY,1.28,+3.36,False,True
27,2026-03-31 00:15:18,S&P500 - MINI S&P500 FULL0926,indice,1.863,-1.0,1,NASDAQ100 INDEX,1.16,-1.00,True,False
28,2026-04-16 07:15:28,DAX40 FULL0926,indice,1.032,4.184,1,DAX40 PERF INDEX,1.39,+4.82,False,True
29,2026-04-24 06:18:40,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,2.232,6.727,1,NASDAQ100 INDEX,2.30,+6.76,False,True
30,2026-06-02 09:17:58,NASDAQ100 - MINI NASDAQ100 FULL0926,indice,1.186,1.186,1,NASDAQ100 INDEX,1.22,-1.00,True,False
31,2026-06-05 06:22:54,S&P500 - MINI S&P500 FULL0926,indice,1.179,2.028,1,NASDAQ100 INDEX,1.22,-1.00,True,False
