config,ceiling,bb_threshold,use_any_rr,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,annee1_neg_pre,annee1_neg_post,bb_instant_opens_moy,bb_classic_opens_moy,corr_swap_admits_moy,instant_trades_total,instant_risk_capped_pct
baseline,960.0,5000.0,True,300,2277650.2764944457,2214189.5767439874,5.0,4.0,57.666666666666664,31.0,26.666666666666668,15.013333333333334,0.8166666666666667,200.03666666666666,1036412,99.98089562837946
trailing010,960.0,5000.0,True,300,2333112.133630089,2286128.8326235935,4.333333333333334,3.6666666666666665,56.666666666666664,30.666666666666664,26.0,14.936666666666667,0.7666666666666667,200.90333333333334,1041656,99.98108780633915
adx,960.0,5000.0,True,300,2162255.876998252,2035266.4058365612,6.333333333333334,2.3333333333333335,59.66666666666667,34.0,25.666666666666664,16.61,0.8,132.59,913751,99.9737346388677
rrtp1sizing,960.0,5000.0,True,300,1945387.7790444978,1898589.5152306277,4.666666666666667,1.3333333333333335,54.666666666666664,33.33333333333333,21.333333333333336,14.346666666666666,0.6166666666666667,200.1,1026426,41.417695966392124
baseline,1000.0,5000.0,True,300,2293467.776010385,2221282.306076287,4.666666666666667,3.0,57.666666666666664,31.0,26.666666666666668,15.126666666666667,0.8133333333333334,200.60666666666665,1039932,99.98096029355766
trailing010,1000.0,5000.0,True,300,2346656.03064272,2293508.600032326,4.0,3.0,56.666666666666664,30.666666666666664,26.0,14.983333333333333,0.7733333333333333,201.41,1044099,99.98113205740069
adx,1000.0,5000.0,True,300,2183163.680494162,2051164.462354177,5.666666666666666,1.6666666666666667,59.66666666666667,34.0,25.666666666666664,16.66,0.8033333333333333,133.32666666666665,917836,99.97385153774748
rrtp1sizing,1000.0,5000.0,True,300,1945387.7790444978,1898589.5152306277,4.666666666666667,1.0,54.666666666666664,33.33333333333333,21.333333333333336,14.346666666666666,0.6166666666666667,200.1,1026426,41.417695966392124
baseline,3000.0,0.0,True,300,2521095.465429626,2368265.517871949,3.0,0.0,41.66666666666667,10.333333333333334,31.333333333333336,14.18,0.0,220.47,1210711,99.92525053460322
trailing010,3000.0,0.0,True,300,2572449.1561179366,2443933.216478265,2.666666666666667,0.0,41.66666666666667,10.333333333333334,31.333333333333336,14.133333333333333,0.0,220.41,1210697,99.92475408793447
adx,3000.0,0.0,True,300,2336276.9501616918,2190907.318973592,5.666666666666666,0.33333333333333337,46.33333333333333,10.333333333333334,36.0,15.723333333333333,0.0,146.69333333333333,1084228,99.90103557554315
rrtp1sizing,3000.0,0.0,True,300,2116860.2611301173,2043687.7064669686,3.3333333333333335,0.0,46.33333333333333,13.666666666666666,32.666666666666664,13.906666666666666,0.0,218.44333333333333,1200876,41.345984098274926
baseline,5000.0,0.0,True,300,2521095.465429626,2368265.517871949,3.0,0.0,41.66666666666667,10.333333333333334,31.333333333333336,14.18,0.0,220.47,1210711,99.92525053460322
trailing010,5000.0,0.0,True,300,2572449.1561179366,2443933.216478265,2.666666666666667,0.0,41.66666666666667,10.333333333333334,31.333333333333336,14.133333333333333,0.0,220.41,1210697,99.92475408793447
adx,5000.0,0.0,True,300,2348978.1472879415,2200671.44175452,5.333333333333334,0.0,46.33333333333333,10.333333333333334,36.0,15.753333333333334,0.0,147.21666666666667,1087019,99.90092169502097
rrtp1sizing,5000.0,0.0,True,300,2116860.2611301173,2043687.7064669686,3.3333333333333335,0.0,46.33333333333333,13.666666666666666,32.666666666666664,13.906666666666666,0.0,218.44333333333333,1200876,41.345984098274926
