ticker,n,ev,ev_shrunk,w,ci_lo,ci_hi,pval,bonferroni_sig,bh_sig,raw_sig_5pct
GOLD - CHF,48,1.9438607187118315,1.495858210226796,0.4897959183673469,1.0980782158887776,2.8182498426997755,0.0,True,True,True
GOLD - EUR,61,1.5698044644298967,1.3427645264349712,0.5495495495495496,0.9155217534429098,2.28364561831678,0.0,True,True,True
GOLD - AUD,61,1.439483870801186,1.2711469029092834,0.5495495495495496,0.6642235136319851,2.362905107371089,0.0,True,True,True
GOLD - USD,52,1.4279350573494372,1.2504060106493025,0.5098039215686274,0.7939514475039574,2.094386347271899,0.0,True,True,True
GOLD - CAD,39,1.4090480211139926,1.2161984598595936,0.43820224719101125,0.2824429057498815,2.8748115101517926,0.006,False,True,True
GOLD - GBP,50,1.2604120727854122,1.1630939374332874,0.5,0.662969839722754,1.9257185067787206,0.0,True,True,True
SILVER - NZD,64,1.1768041022815607,1.128107479386649,0.5614035087719298,0.44300706065141954,2.037009167679058,0.0004,True,True,True
SILVER - AUD,73,1.1120496392278378,1.0932391363226852,0.5934959349593496,0.5345750343557458,1.7755462037284198,0.0,True,True,True
SILVER - EUR,110,0.9485314721206581,0.9851703252333157,0.6875,0.464272581902534,1.4877986099914757,0.0,True,True,True
SILVER - GBP,89,0.8567363340439822,0.9319303872947664,0.6402877697841727,0.36946621088917503,1.3965753066244195,0.0004,True,True,True
GOLD - NZD,49,0.7751311160345029,0.9219213615126136,0.494949494949495,0.16558780459517664,1.4227890658699702,0.008,False,True,True
SILVER - CAD,74,0.7704789058460466,0.8895502349731094,0.5967741935483871,0.31258329299966064,1.2724554501011884,0.0012,True,True,True
SILVER - USD,73,0.7184881111208858,0.8596619692348193,0.5934959349593496,0.17282024124371612,1.3392172817517967,0.006,False,True,True
SILVER - CHF,91,0.4594177917438796,0.6744383627854691,0.6453900709219859,0.06832481480335098,0.9013899486933016,0.0224,False,True,True
