date_creation,ticker,rr_tp1,rr_tp2,statut_final,r_trailing,resolution_time_est,prix_entree,stop_loss_init
2022-01-31 17:18:35,USD/JPY,1.5937499999999925,4.93749999999999,OBJECTIF ATTEINT,1.5937499999999925,2022-02-01 01:04:30,115.15,114.51
2022-02-02 19:40:36,CHF/JPY,1.3636363636363578,2.090909090909138,OBJECTIF ATTEINT,1.3636363636363578,2022-02-03 03:26:31,124.55,124.33
2022-02-03 20:46:35,GBP/CHF,2.0,4.999999999999841,INVALIDÉE,-1.0,2022-02-04 04:32:30,1.2523,1.2509
2022-02-03 21:43:57,CHF/JPY,1.6060606060606175,5.636363636363663,INVALIDÉE,-1.0,2022-02-04 05:29:52,124.94,124.61
2022-02-04 00:40:41,GBP/USD,2.5882352941175704,6.470588235293926,INVALIDÉE,-1.0,2022-02-04 08:26:36,1.3604,1.3587
2022-02-04 04:39:57,AUD/JPY,1.749999999999889,4.374999999999634,INVALIDÉE,-1.0,2022-02-04 12:25:52,82.15,81.99
2022-02-09 01:40:40,USD/CHF,1.6086956521739508,2.304347826086975,INVALIDÉE,-1.0,2022-02-09 09:26:35,0.9253,0.923
2022-02-14 19:46:30,EUR/USD,1.6249999999999132,5.124999999999844,INVALIDÉE,-1.0,2022-02-15 03:32:25,1.1293,1.1309
2022-02-15 10:11:35,GBP/JPY,1.7600000000000289,7.306666666666691,INVALIDÉE,-1.0,2022-02-15 17:57:30,156.79,156.04
2022-02-18 05:40:31,NZD/USD,1.4374999999999394,5.187499999999835,INVALIDÉE,-1.0,2022-02-18 13:26:26,0.671,0.6694
2022-02-21 04:15:43,DAX40 FULL0926,2.943980929678185,3.9019666269368254,OBJECTIF ATTEINT,2.943980929678185,2022-02-21 12:01:38,15088.0,15423.6
2022-02-21 16:22:01,DAX40 PERF INDEX,2.723272984727423,4.989177708101551,OBJECTIF ATTEINT,2.723272984727423,2022-02-22 00:07:56,14775.56,14973.3
2022-02-21 19:40:35,EUR/USD,2.5833333333332256,8.333333333332716,INVALIDÉE,-1.0,2022-02-22 03:26:30,1.1311,1.1323
2022-02-25 11:41:54,USD/CAD,1.6000000000000356,2.8000000000001064,INVALIDÉE,-1.0,2022-02-25 19:27:49,1.2808,1.2783
2022-03-03 06:39:28,USD/CAD,1.5675675675675595,3.1621621621621427,INVALIDÉE,-1.0,2022-03-03 14:25:23,1.2616,1.2653
2022-03-07 00:39:25,EUR/GBP,2.9062500000000444,5.781250000000058,INVALIDÉE,-1.0,2022-03-07 08:25:20,0.8232,0.8264
2022-03-07 00:39:41,AUD/JPY,1.3846153846154856,7.153846153846456,INVALIDÉE,-1.0,2022-03-07 08:25:36,84.96,84.83
2022-03-07 17:46:23,S&P500 - MINI S&P500 FULL0926,1.3727048022598791,2.2838983050847266,OBJECTIF ATTEINT,1.3727048022598791,2022-03-08 01:32:18,4231.25,4287.89
2022-03-08 19:18:37,USD/JPY,2.2920353982301007,2.380530973451335,OBJECTIF ATTEINT,2.2920353982301007,2022-03-09 03:04:32,115.72,114.59
2022-03-10 22:40:21,USD/JPY,2.89999999999995,6.199999999999887,OBJECTIF ATTEINT,2.89999999999995,2022-03-11 06:26:16,116.14,115.94
2022-03-14 06:40:30,EUR/JPY,2.000000000000142,8.150000000000583,OBJECTIF ATTEINT,2.000000000000142,2022-03-14 14:26:25,128.64,128.44
2022-03-14 19:36:46,USD/CAD,1.8813559322034032,8.847457627118624,INVALIDÉE,-1.0,2022-03-15 03:22:41,1.2826,1.2767
2022-03-15 09:33:15,NASDAQ100 - MINI NASDAQ100 FULL0926,2.119089673913035,3.7194293478260687,INVALIDÉE,-1.0,2022-03-15 17:19:10,12959.0,13106.2
2022-03-18 03:40:01,CHF/JPY,2.124999999999928,2.843749999999924,OBJECTIF ATTEINT,2.124999999999928,2022-03-18 11:25:56,126.79,126.47
2022-03-18 16:48:11,USD/CHF,2.153846153846226,5.0000000000001705,OBJECTIF ATTEINT,2.153846153846226,2022-03-19 00:34:06,0.9323,0.9336
2022-03-21 19:46:11,AUD/JPY,2.290909090909112,4.600000000000025,OBJECTIF ATTEINT,2.290909090909112,2022-03-22 03:32:06,88.36,87.81
2022-03-23 23:31:03,CHF/JPY,2.153846153846238,13.11538461538506,OBJECTIF ATTEINT,2.153846153846238,2022-03-24 07:16:58,130.13,129.61
2022-03-25 14:52:23,GBP/JPY,1.4912280701754093,30.368421052631188,OBJECTIF ATTEINT,1.4912280701754093,2022-03-25 22:38:18,161.21,160.07
2022-03-25 18:36:56,AUD/JPY,1.8720930232558144,5.662790697674428,OBJECTIF ATTEINT,1.8720930232558144,2022-03-26 02:22:51,91.8,90.94
2022-03-30 23:40:05,EUR/GBP,2.538461538461361,7.1538461538457,INVALIDÉE,-1.0,2022-03-31 07:26:00,0.8495,0.8482
2022-04-03 22:39:50,USD/CAD,1.8666666666666865,3.466666666666597,INVALIDÉE,-1.0,2022-04-04 06:25:45,1.2525,1.251
2022-04-06 04:40:05,GBP/CHF,2.1739130434780343,5.391304347825625,OBJECTIF ATTEINT,2.1739130434780343,2022-04-06 12:26:00,1.2169,1.2146
2022-04-08 02:40:13,NZD/USD,2.166666666666646,3.777777777777744,OBJECTIF ATTEINT,2.166666666666646,2022-04-08 10:26:08,0.6877,0.6895
2022-04-10 21:40:04,EUR/JPY,1.5517241379308857,2.999999999999804,OBJECTIF ATTEINT,1.5517241379308857,2022-04-11 05:25:59,135.43,135.14
2022-04-11 13:41:49,USD/CAD,1.476190476190426,7.142857142857128,OBJECTIF ATTEINT,1.476190476190426,2022-04-11 21:27:44,1.2616,1.2595
2022-04-18 06:40:10,USD/JPY,2.4999999999999334,5.4687499999998295,OBJECTIF ATTEINT,2.4999999999999334,2022-04-18 14:26:05,126.64,126.32
2022-04-21 17:45:16,EUR/CHF,1.6428571428573016,5.714285714286349,INVALIDÉE,-1.0,2022-04-22 01:31:11,1.0347,1.0333
2022-04-21 20:39:51,GBP/CHF,2.054054054054048,4.675675675675655,INVALIDÉE,-1.0,2022-04-22 04:25:46,1.242,1.2383
2022-04-25 15:46:26,CHF/JPY,2.3448275862069843,7.2068965517243475,INVALIDÉE,-1.0,2022-04-25 23:32:21,133.13,133.42
2022-04-27 00:40:00,USD/CHF,1.5652173913043657,2.282608695652219,OBJECTIF ATTEINT,1.5652173913043657,2022-04-27 08:25:55,0.9629,0.9583
2022-04-27 14:46:24,AUD/USD,1.56521739130439,5.043478260869658,INVALIDÉE,-1.0,2022-04-27 22:32:19,0.7112,0.7135
2022-04-27 23:13:58,NASDAQ100 - MINI NASDAQ100 FULL0926,1.8106388215026523,3.1213303800583567,OBJECTIF ATTEINT,1.8106388215026523,2022-04-28 06:59:53,13163.5,13447.93
2022-05-04 00:39:27,EUR/CHF,2.5384615384614464,3.692307692307574,OBJECTIF ATTEINT,2.5384615384614464,2022-05-04 08:25:22,1.0305,1.0292
2022-05-09 08:56:59,S&P500 - MINI S&P500 FULL0926,2.6027979274611406,5.819481865284973,OBJECTIF ATTEINT,2.6027979274611406,2022-05-09 16:42:54,4059.5,4156.0
2022-05-13 08:41:21,DAX40 FULL0926,1.612011439466167,3.069590085796007,OBJECTIF ATTEINT,1.612011439466167,2022-05-13 16:27:16,13914.0,13809.1
2022-05-13 10:40:56,EUR/CHF,1.421052631578898,2.684210526315709,INVALIDÉE,-1.0,2022-05-13 18:26:51,1.0389,1.0408
2022-05-22 22:39:14,EUR/USD,2.058823529412026,4.882352941176993,OBJECTIF ATTEINT,2.058823529412026,2022-05-23 06:25:09,1.0572,1.0555
2022-05-23 18:44:45,CHF/JPY,1.736842105263095,9.789473684210568,INVALIDÉE,-1.0,2022-05-24 02:30:40,132.43,132.24
2022-05-24 13:06:10,EUR/GBP,1.5111111111111346,6.733333333333409,INVALIDÉE,-1.0,2022-05-24 20:52:05,0.8572,0.8527
2022-05-25 15:39:41,S&P500 - MINI S&P500 FULL0926,1.4440154440154502,6.177606177606265,INVALIDÉE,-1.0,2022-05-25 23:25:36,3962.75,3949.8
2022-05-26 00:39:22,CHF/JPY,1.4761904761906308,8.761904761905631,INVALIDÉE,-1.0,2022-05-26 08:25:17,132.45,132.24
2022-05-26 00:39:24,NZD/USD,1.7692307692308316,6.615384615384777,INVALIDÉE,-1.0,2022-05-26 08:25:19,0.6493,0.6467
2022-05-26 00:39:32,S&P500 - MINI S&P500 FULL0926,1.737849779086902,3.2768777614138616,OBJECTIF ATTEINT,1.737849779086902,2022-05-26 08:25:27,3983.75,3949.8
2022-05-30 15:07:15,EUR/JPY,2.18750000000007,8.427083333333517,OBJECTIF ATTEINT,2.18750000000007,2022-05-30 22:53:10,137.51,136.55
2022-05-30 19:39:14,NZD/USD,1.894736842105217,5.052631578947304,INVALIDÉE,-1.0,2022-05-31 03:25:09,0.6558,0.6539
2022-06-05 23:39:33,EUR/GBP,2.0370370370369915,4.777777777777682,INVALIDÉE,-1.0,2022-06-06 07:25:28,0.8585,0.8558
2022-06-06 07:41:16,GBP/JPY,1.4687500000001166,8.781250000000194,OBJECTIF ATTEINT,1.4687500000001166,2022-06-06 15:27:11,163.64,163.32
2022-06-08 19:35:09,EUR/CHF,2.4042553191489926,5.808510638297985,INVALIDÉE,-1.0,2022-06-09 03:21:04,1.0484,1.0437
2022-06-09 00:02:37,USD/CHF,1.7321428571428836,3.696428571428621,OBJECTIF ATTEINT,1.7321428571428836,2022-06-09 07:48:32,0.979,0.9734
2022-06-13 09:08:10,S&P500 - MINI S&P500 FULL0926,2.3954855643044626,5.238845144356955,INVALIDÉE,-1.0,2022-06-13 16:54:05,3804.25,3899.5
2022-06-13 09:08:11,NASDAQ100 - MINI NASDAQ100 FULL0926,2.310404127257094,3.479896818572659,INVALIDÉE,-1.0,2022-06-13 16:54:06,11509.25,11800.0
2022-06-14 18:44:30,GBP/JPY,1.8275862068964672,2.7241379310343965,INVALIDÉE,-1.0,2022-06-15 02:30:25,161.67,162.25
2022-06-22 06:11:50,DAX40 FULL0926,1.5017301038062283,5.490311418685124,OBJECTIF ATTEINT,1.5017301038062283,2022-06-22 13:57:45,13067.0,13356.0
2022-06-27 23:11:23,EUR/GBP,1.857142857142812,3.885714285714205,INVALIDÉE,-1.0,2022-06-28 06:57:18,0.8625,0.859
