config,subperiod,n,profit_moyen,corr_A_B
baseline,H1,300,-12177.724127888896,0.16731537669798727
baseline,H2,300,330973.6147132613,0.022669781351552124
baseline,bloc0,300,-11852.154217354993,0.37521819151549035
baseline,bloc1,300,-1629.014685532992,0.36167605002073433
baseline,bloc2,300,174997.56402981948,0.1766021289092067
baseline,bloc3,300,154541.68787017485,0.11593068308363748
0,H1,300,-6930.372520911071,0.5098215204505655
0,H2,300,546458.1656315011,0.32015976024353415
0,bloc0,300,104.05992537288625,0.49662407479691956
0,bloc1,300,-10381.439840348987,-0.25518861471531684
0,bloc2,300,270603.8292595089,0.36764154543842453
0,bloc3,300,282285.1709566673,0.24651467966888413
1,H1,300,-9647.653266107713,0.6097363537253955
1,H2,300,585582.6661638513,0.49800780523904176
1,bloc0,300,21193.346179762357,0.3400299369341672
1,bloc1,300,-33356.65876846835,0.47523879003765507
1,bloc2,300,278619.7345819143,0.5970239475236716
1,bloc3,300,310686.5348541246,0.5132872427120115
2,H1,300,-3453.9944774680703,0.5569123367806524
2,H2,300,623589.6684484305,0.4250265131200743
2,bloc0,300,1858.676041115302,0.5167761758124739
2,bloc1,300,-8036.142400523511,0.1941848140890623
2,bloc2,300,304596.445270922,0.5393038326321985
2,bloc3,300,327860.6463267813,0.4872037521688175
