config,ceiling,n,profit_moyen,profit_median,solde_negatif_annee4,hit_ceiling_pct,annee1_neg,overflow_to_A_moy,corr_PnL_A_B,seuil_declenchement,n_trades_A,n_trades_B
Sequentiel_seuil12000_H1,3000.0,100,554453.8828421386,432932.7006245608,30.0,2.0,55.00000000000001,641.11,0.4771152840730254,12000.0,280,465
Sequentiel_seuil12000_H1,5000.0,100,554518.4829313887,432932.7006245608,30.0,1.0,55.00000000000001,641.11,0.4772550987309157,12000.0,280,465
Sequentiel_seuil12000_H2,3000.0,100,19144740.36292362,18747153.759027556,0.0,0.0,0.0,880.63,0.26970631953980356,12000.0,462,585
Sequentiel_seuil12000_H2,5000.0,100,19144740.36292362,18747153.759027556,0.0,0.0,0.0,880.63,0.26970631953980356,12000.0,462,585
Sequentiel_seuil12000_bloc1,3000.0,100,160127.88014791423,88844.87672187603,40.0,1.0,60.0,304.05,0.22815096244505362,12000.0,80,201
Sequentiel_seuil12000_bloc1,5000.0,100,160084.1501263062,88844.87672187603,40.0,0.0,60.0,304.05,0.2284239545297066,12000.0,80,201
Sequentiel_seuil12000_bloc2,3000.0,100,-6541.346415795865,-43258.45378785828,59.0,6.0,53.0,174.7,0.3349181975441888,12000.0,200,264
Sequentiel_seuil12000_bloc2,5000.0,100,-9312.944442520557,-48093.28985573113,57.99999999999999,0.0,53.0,174.7,0.33341871507985293,12000.0,200,264
Sequentiel_seuil12000_bloc3,3000.0,100,4968329.408827992,4547842.765013215,1.0,1.0,2.0,331.45,0.48049270283376905,12000.0,205,270
Sequentiel_seuil12000_bloc3,5000.0,100,4977518.787118103,4575687.699769657,1.0,0.0,2.0,331.45,0.48685497879887335,12000.0,205,270
Sequentiel_seuil12000_bloc4,3000.0,100,11372609.991302527,11270796.28934491,0.0,0.0,1.0,445.82,0.18758327311249712,12000.0,257,315
Sequentiel_seuil12000_bloc4,5000.0,100,11372609.991302527,11270796.28934491,0.0,0.0,1.0,445.82,0.18758327311249712,12000.0,257,315
