date_creation,ticker,timeframe,stop_loss_init,tp1_init,tp2_init,statut_final,is_full_dated,commodity
2025-04-22 06:27:29,COPPER,1H,5.0,,,OBJECTIF ATTEINT,False,copper
2025-04-17 18:35:19,COPPER,1H,5.0,,,OBJECTIF ATTEINT,False,copper
2025-04-11 08:29:45,COPPER,1H,4.0,,,OBJECTIF ATTEINT,False,copper
2025-03-19 20:28:21,COPPER,1H,5.0,,,SEUIL PRÉSERVÉ,False,copper
2025-03-19 09:32:53,COPPER,1H,5.0,,,OBJECTIF ATTEINT,False,copper
2025-03-14 04:27:18,COPPER,1H,5.0,,,SEUIL PRÉSERVÉ,False,copper
2025-03-13 20:51:06,COPPER,Journalier,5.0,,,OBJECTIF ATTEINT,False,copper
2025-03-11 16:17:00,COPPER,Journalier,5.0,,,OBJECTIF ATTEINT,False,copper
2025-02-13 18:37:00,COPPER,1H,5.0,,,SEUIL PRÉSERVÉ,False,copper
2025-02-07 19:35:55,COPPER,1H,5.0,,,SEUIL PRÉSERVÉ,False,copper
2025-02-05 19:36:23,COPPER,1H,4.0,,,SEUIL PRÉSERVÉ,False,copper
2024-12-30 03:29:03,COPPER,1H,4.0,,,INVALIDÉE,False,copper
2024-12-11 00:28:55,COPPER,1H,4.0,,,INVALIDÉE,False,copper
2024-12-06 05:28:17,COPPER,1H,4.0,,,SEUIL PRÉSERVÉ,False,copper
2024-11-26 20:34:04,COPPER,1H,4.0,,,SEUIL PRÉSERVÉ,False,copper
2024-11-19 04:26:35,COPPER,1H,4.0,,,INVALIDÉE,False,copper
2024-11-04 06:26:08,COPPER,1H,4.0,,,SEUIL PRÉSERVÉ,False,copper
2024-10-21 07:29:40,COPPER,1H,4.0,,,INVALIDÉE,False,copper
2024-09-26 15:35:56,COPPER,1H,5.0,,,SEUIL PRÉSERVÉ,False,copper
2026-01-26 05:13:45,NATURAL GAS,1H,6.074,6.358,6.572,INVALIDÉE,False,natural_gas
2026-01-20 14:16:56,NATURAL GAS,1H,3.892,3.984,4.304,INVALIDÉE,False,natural_gas
2025-12-29 18:16:52,NATURAL GAS,1H,3.939,4.051,4.165,OBJECTIF ATTEINT,False,natural_gas
2025-12-03 20:21:47,NATURAL GAS,1H,4.984,5.07,5.367,INVALIDÉE,False,natural_gas
2025-12-01 23:12:58,NATURAL GAS,1H,4.846,5.017,5.07,SEUIL PRÉSERVÉ,False,natural_gas
