,AUD/JPY,AUD/USD,CHF/JPY,EUR/CHF,EUR/GBP,EUR/JPY,EUR/USD,GBP/CHF,GBP/JPY,GBP/USD,NZD/USD,USD/CAD,USD/CHF,USD/JPY,DAX40 FULL0926,DAX40 PERF INDEX,NASDAQ100 - MINI NASDAQ100 FULL0926,NASDAQ100 INDEX,S&P500 - MINI S&P500 FULL0926,GOLD - USD,SILVER - USD,GOLD - EUR,GOLD - GBP,GOLD - CHF,GOLD - CAD,GOLD - AUD,GOLD - NZD,SILVER - EUR,SILVER - GBP,SILVER - CHF,SILVER - CAD,SILVER - AUD,SILVER - NZD,PALLADIUM,PLATINUM
AUD/JPY,1.0,0.6040125196346474,0.5635962859401018,0.39165336599184614,-0.16392435711952785,0.7476089053191193,0.08161210309924365,0.435308359240688,0.7863374159474318,0.19941346404680205,0.40987004939605803,-0.3383551052504033,0.18685554026132198,0.598448767868023,0.15604749709865792,0.15604749709865792,-7.181427175833601e-05,-7.181427175833601e-05,-6.552891147070117e-05,0.14505473911333186,0.2263435592944409,0.13241709302507965,0.09895854084016248,0.21652093118681603,0.07552928858793949,-0.1000322410793441,-0.017649368132650754,0.22978524928457533,0.2151711299297276,0.26690651628448325,0.20340517419317772,0.12906924755156352,0.16527126151642008,0.21948228294547711,0.22175808915939968
AUD/USD,0.6040125196346474,1.0,0.10956741203197623,0.20937464955265173,-0.08135860488283542,0.22872324365932126,0.6127014769141732,0.21803552104049626,0.2533195962304471,0.670063446571201,0.8697113471937067,-0.6648955725456344,-0.4103396163167035,-0.2598076004470996,0.1614706226544478,0.1614706226544478,-2.1737729659131837e-05,-2.1737729659131837e-05,-9.288748699312586e-06,0.3522836811792652,0.3632377189537172,0.193866977989504,0.1799217198727016,0.23867823509330305,0.2274158857929737,-0.031180661937029452,0.02537125835554474,0.30216422156977635,0.29665301965790675,0.32114338751164323,0.3177302653929814,0.2066526694174047,0.2305294883727244,0.3352091966555494,0.3433286143951687
CHF/JPY,0.5635962859401018,0.10956741203197623,1.0,-0.15245663111518995,0.08148749353782998,0.7819086229647733,0.15077017561674513,-0.17672687277489335,0.6865679902797855,0.10248474696692197,0.0736167640325608,-0.13378588097715793,-0.23918525102727173,0.578933271129668,0.046125178111201474,0.046125178111201474,-0.00010560096013832073,-0.00010560096013832073,-0.0001531832052820832,0.06333340334581482,0.07549737554931589,0.024604927039410137,0.042913073771952054,-0.017594402302447347,0.04294443514442223,0.03180514531774551,0.04373559037225546,0.06059780517134328,0.06912497752050221,0.04114935907259898,0.06895285700712354,0.06569330284924314,0.07069780270527429,0.04606076408677047,0.056137016404891084
EUR/CHF,0.39165336599184614,0.20937464955265173,-0.15245663111518995,1.0,0.10590675835320859,0.4745420919688292,0.2061289653492952,0.7112900522624822,0.393903613147217,0.15107282765601865,0.13805146423168638,-0.14365418513134826,0.4598755668254484,0.260796845508868,0.08160168647048816,0.08160168647048816,2.8327428597851693e-05,2.8327428597851693e-05,9.583796681681515e-06,-0.005076835295714517,0.04434348443528709,-0.08195119609208161,-0.058408857301674305,0.14121164304105258,-0.04562161911273346,-0.0990237050960972,-0.0695874031395017,0.014402515784152215,0.025168172679499504,0.11547020382555218,0.03025042431812514,0.007730351424338318,0.0207582572875096,0.08145408759138499,0.07066627136285467
EUR/GBP,-0.16392435711952785,-0.08135860488283542,0.08148749353782998,0.10590675835320859,1.0,0.13774634565579943,0.31790329135666073,-0.5773925184269996,-0.3716450104620809,-0.30209335148336125,-0.03844264781824756,-0.0013220350728866976,-0.21503710490289574,-0.12703812411528825,-0.07899982018644523,-0.07899982018644523,-0.00017806370745753858,-0.00017806370745753858,-0.00021922156282676555,-0.009531924863588403,-0.04031505611621635,-0.11286966350059534,0.08609127614014671,-0.08243711852271952,-0.010241871368701909,0.022360677854367503,0.006803205458025115,-0.08935360876271714,0.0010963729647050792,-0.07523855902720708,-0.042513410991063906,-0.02895777867642765,-0.03573511667920117,-0.054762340312755134,-0.04478178285956214
EUR/JPY,0.7476089053191193,0.22872324365932126,0.7819086229647733,0.4745420919688292,0.13774634565579943,1.0,0.2629008349027926,0.28762554207881846,0.8604586941403377,0.18672297751205286,0.15109348139935,-0.20889888376530502,0.07605439022847997,0.6799252939873854,0.0933911928088225,0.0933911928088225,-0.00011132345826960848,-0.00011132345826960848,-0.0001634572332905313,0.05463838044262308,0.09744669982760622,-0.03026472098914703,0.0015440290440035006,0.07484692839066394,0.009842802392943635,-0.034236418340949835,-0.0046638766793351836,0.06380175544005477,0.07848754642703079,0.11110022882564358,0.08162665770270468,0.06433886709351577,0.0771757606204385,0.09424637612572197,0.0962757941643131
EUR/USD,0.08161210309924365,0.6127014769141732,0.15077017561674513,0.2061289653492952,0.31790329135666073,0.2629008349027926,1.0,-0.062260734109607224,0.07961730989742123,0.7902162142108088,0.6720818481430949,-0.5791147232698481,-0.7514546353123742,-0.5157284542734322,0.07406794075132805,0.07406794075132805,-3.718978281119154e-05,-3.718978281119154e-05,-9.648075028702672e-05,0.30253665630392534,0.24303438205881542,0.01739958977969869,0.08645571485969007,0.06851467963016862,0.19558705595853865,0.07817409298924374,0.05577127278538685,0.11916121988745333,0.1509879691928141,0.14171236246635097,0.2009080272402435,0.15086238049369297,0.13946241470369233,0.21006243820748163,0.22180022148604245
GBP/CHF,0.435308359240688,0.21803552104049626,-0.17672687277489335,0.7112900522624822,-0.5773925184269996,0.28762554207881846,-0.062260734109607224,1.0,0.5778619879970625,0.3243708495445726,0.1338318899850964,-0.09990578762575847,0.5324821595792081,0.2997840633657069,0.12031379767208845,0.12031379767208845,0.00011693752212801451,0.00011693752212801451,0.00013006439230436428,0.004064778531184364,0.06247610054357348,0.017319264005690397,-0.10496166878960789,0.1775074369896867,-0.025343297826689017,-0.09219800261651562,-0.057863453016876086,0.073629903667462,0.018082440745200542,0.14594931295438535,0.053606742175085584,0.025407658459111308,0.0405513884305609,0.1022385368523617,0.0853206924929929
GBP/JPY,0.7863374159474318,0.2533195962304471,0.6865679902797855,0.393903613147217,-0.3716450104620809,0.8604586941403377,0.07961730989742123,0.5778619879970625,1.0,0.3285461707394388,0.15926087119006943,-0.18822911971510478,0.1900599985720086,0.7011593422343216,0.12768587740768791,0.12768587740768791,-2.515222210280967e-05,-2.515222210280967e-05,-4.9056855188564325e-05,0.056022031501235546,0.11180883697850948,0.032946459845098815,-0.04493467177586086,0.11712691546502192,0.015547339191540409,-0.04393819851650585,-0.007864804736467224,0.10673325687316455,0.07153185692374961,0.1443942850346,0.09834669809852031,0.07450883031057619,0.09019875453901516,0.11664008946863419,0.11250517005733428
GBP/USD,0.19941346404680205,0.670063446571201,0.10248474696692197,0.15107282765601865,-0.30209335148336125,0.18672297751205286,0.7902162142108088,0.3243708495445726,0.3285461707394388,1.0,0.7013748745610443,-0.5775169419443872,-0.6080517215740153,-0.43120878589249007,0.12468689566394302,0.12468689566394302,6.245017795495086e-05,6.245017795495086e-05,2.0216546730009323e-05,0.3132202526097386,0.27139731205400486,0.09400933824830703,0.032411026777620464,0.1274001395834739,0.20682009885820982,0.06606717578115952,0.05392755738464405,0.17885783667746685,0.15129566594767718,0.19315589474202038,0.2307911962374673,0.17095067853224105,0.1640219145120857,0.24930941206248755,0.25313989032739537
