,AUD/JPY,AUD/USD,CHF/JPY,EUR/CHF,EUR/GBP,EUR/JPY,EUR/USD,GBP/CHF,GBP/JPY,GBP/USD,NZD/USD,USD/CAD,USD/CHF,USD/JPY,DAX40 FULL0926,DAX40 PERF INDEX,NASDAQ100 - MINI NASDAQ100 FULL0926,NASDAQ100 INDEX,S&P500 - MINI S&P500 FULL0926
AUD/JPY,1.0,0.604012275664768,0.5635956330431816,0.39165413048647846,-0.16392487898788768,0.747608591613837,0.08161137957905339,0.4353093047245131,0.786337191333805,0.19941304907183857,0.40987036381884845,-0.3383556730860087,0.186856646457857,0.5984485560794259,0.15604579880005248,0.15604579880005248,-7.39621093981675e-05,-7.39621093981675e-05,-6.772975588585124e-05
AUD/USD,0.604012275664768,1.0,0.10956638491384509,0.20937505746891424,-0.08135890748126198,0.2287226092073617,0.6127012766918356,0.2180360278804004,0.2533190917786704,0.6700633348637848,0.8697116149681589,-0.6648960096173031,-0.4103392637353668,-0.2598081432057686,0.1614695988462515,0.1614695988462515,-2.312740780322322e-05,-2.312740780322322e-05,-1.071270506097614e-05
CHF/JPY,0.5635956330431816,0.10956638491384509,1.0,-0.1524560198719297,0.08148690603121321,0.781908228123913,0.15076909552717302,-0.17672610111531842,0.6865676302569321,0.10248397538020929,0.07361704102871333,-0.13378673398118673,-0.23918412511022139,0.5789331898398343,0.046121794329827256,0.046121794329827256,-0.00010912520909985227,-0.00010912520909985227,-0.00015679462570032836
EUR/CHF,0.39165413048647846,0.20937505746891424,-0.1524560198719297,1.0,0.1059069766341828,0.4745431575106728,0.20612942083167676,0.7112899719274356,0.39390435584097166,0.15107312515406596,0.13805143820776486,-0.1436540400787477,0.45987536931583034,0.2607972343897897,0.08160276727781324,0.08160276727781324,2.913587725405945e-05,2.913587725405945e-05,1.041216509492034e-05
EUR/GBP,-0.16392487898788768,-0.08135890748126198,0.08148690603121321,0.1059069766341828,1.0,0.13774595311994922,0.3179031017009578,-0.5773924266305339,-0.3716456409191439,-0.3020936327737616,-0.038442615484673384,-0.0013221770082833125,-0.21503684674095236,-0.12703841361868395,-0.07900078674693466,-0.07900078674693466,-0.00017886478435840382,-0.00017886478435840382,-0.0002200425075468558
EUR/JPY,0.747608591613837,0.2287226092073617,0.781908228123913,0.4745431575106728,0.13774595311994922,1.0,0.2629001531737637,0.28762660400491247,0.8604585436135059,0.18672247934345695,0.15109371765059834,-0.20889951459151496,0.07605562593912422,0.6799251800124764,0.09338889395319004,0.09338889395319004,-0.00011392694553594016,-0.00011392694553594016,-0.00016612514188378734
EUR/USD,0.08161137957905339,0.6127012766918356,0.15076909552717302,0.20612942083167676,0.3179031017009578,0.2629001531737637,1.0,-0.06226030162921067,0.07961660247359068,0.7902161507434854,0.6720821127279972,-0.5791151938300152,-0.7514544725764264,-0.5157291842511927,0.07406659179536647,0.07406659179536647,-3.8689005190714085e-05,-3.8689005190714085e-05,-9.801711802762095e-05
GBP/CHF,0.4353093047245131,0.2180360278804004,-0.17672610111531842,0.7112899719274356,-0.5773924266305339,0.28762660400491247,-0.06226030162921067,1.0,0.57786300534511,0.3243712762835967,0.13383186166569178,-0.09990559940026113,0.5324819277973637,0.29978455904038176,0.12031521659074668,0.12031521659074668,0.00011801170816069861,0.00011801170816069861,0.0001311651282921278
GBP/JPY,0.786337191333805,0.2533190917786704,0.6865676302569321,0.39390435584097166,-0.3716456409191439,0.8604585436135059,0.07961660247359068,0.57786300534511,1.0,0.32854584863990194,0.1592610427874186,-0.18822958307834772,0.1900610793087641,0.7011592038026233,0.12768416244223746,0.12768416244223746,-2.7228788042483744e-05,-2.7228788042483744e-05,-5.11847441370492e-05
GBP/USD,0.19941304907183857,0.6700633348637848,0.10248397538020929,0.15107312515406596,-0.3020936327737616,0.18672247934345695,0.7902161507434854,0.3243712762835967,0.32854584863990194,1.0,0.7013750224685064,-0.5775172443797516,-0.6080515762068538,-0.431209264653843,0.12468609897575157,0.12468609897575157,6.140237685371615e-05,6.140237685371615e-05,1.9142793309819106e-05
NZD/USD,0.40987036381884845,0.8697116149681589,0.07361704102871333,0.13805143820776486,-0.038442615484673384,0.15109371765059834,0.6720821127279972,0.13383186166569178,0.1592610427874186,0.7013750224685064,1.0,-0.6422566609374372,-0.5087644852791215,-0.3727778309393081,0.11722494469272039,0.11722494469272039,6.243340489096038e-05,6.243340489096038e-05,6.427376646742935e-05
