,AUD/JPY,AUD/USD,CHF/JPY,EUR/CHF,EUR/GBP,EUR/JPY,EUR/USD,GBP/CHF,GBP/JPY,GBP/USD,NZD/USD,USD/CAD,USD/CHF,USD/JPY,DAX40 FULL0926,DAX40 PERF INDEX,NASDAQ100 - MINI NASDAQ100 FULL0926,NASDAQ100 INDEX,S&P500 - MINI S&P500 FULL0926,GOLD - USD,SILVER - USD,GOLD - EUR,GOLD - GBP,GOLD - CHF,GOLD - CAD,GOLD - AUD,GOLD - NZD,SILVER - EUR,SILVER - GBP,SILVER - CHF,SILVER - CAD,SILVER - AUD,SILVER - NZD
AUD/JPY,1.0,0.6040125090165902,0.5635962575247458,0.3916533992641788,-0.16392437983228192,0.7476088916660482,0.08161207161020256,0.4353084003900324,0.7863374061717948,0.19941344598626087,0.40987006308036494,-0.33835512996374256,0.18685558840519445,0.5984487586505591,0.15604742318556536,0.15604742318556536,-7.190774843419513e-05,-7.190774843419513e-05,-6.562469506147691e-05,0.14505459998055356,0.22634345920954063,0.1324169746729018,0.09895841617697393,0.2165208300735764,0.07552914902484353,-0.10003239528914701,-0.017649536139678654,0.22978516048965192,0.2151710387805356,0.266906434062455,0.2034050768786075,0.12906914575198444,0.16527115503366246
AUD/USD,0.6040125090165902,1.0,0.10956736732978727,0.20937466730598933,-0.0813586180525281,0.22872321604671234,0.6127014682000955,0.21803554309918788,0.2533195742756952,0.6700634417094633,0.8697113588477847,-0.6648955915678741,-0.4103396009716564,-0.2598076240690448,0.16147057809640464,0.16147057809640464,-2.1798210272458337e-05,-2.1798210272458337e-05,-9.350721140010847e-06,0.3522836884138364,0.3632377166398258,0.1938669585207108,0.17992169883968415,0.23867822015007067,0.22741587107025169,-0.03118070644043389,0.025371213684326467,0.30216421114112985,0.2966530088667641,0.321143378221406,0.3177302571441963,0.20665265138858704,0.2305294725150837
CHF/JPY,0.5635962575247458,0.10956736732978727,1.0,-0.15245660451267995,0.0814874679683881,0.7819086057805285,0.1507701286091367,-0.1767268391907534,0.6865679746108686,0.10248471338595483,0.07361677608797251,-0.13378591810155713,-0.23918520202516425,0.578933267591744,0.0461250308429443,0.0461250308429443,-0.00010575433986510755,-0.00010575433986510755,-0.00015334037880568608,0.06333314956394505,0.07549717889618285,0.024604709878974024,0.042912858426459984,-0.017594617961238318,0.04294419998528597,0.031804928876254315,0.04373533733246481,0.06059762946982817,0.06912480219879419,0.041149184611283085,0.06895267177994675,0.06569312650639966,0.07069760956103906
EUR/CHF,0.3916533992641788,0.20937466730598933,-0.15245660451267995,1.0,0.10590676785323747,0.47454213834332126,0.20612898517280479,0.7112900487661363,0.3939036454707362,0.15107284060373308,0.13805146309907346,-0.14365417881836734,0.4598755582294358,0.26079686243375155,0.08160173350923082,0.08160173350923082,2.83626133481711e-05,2.83626133481711e-05,9.619848362828003e-06,-0.005076793078489395,0.044343522646675904,-0.08195116972150762,-0.058408828113605184,0.14121169070528375,-0.045621586164074815,-0.09902368053469474,-0.06958737180387446,0.014402546640742203,0.025168204616948863,0.11547024130837251,0.030250458584981606,0.0077303820405261485,0.020758292276944375
EUR/GBP,-0.16392437983228192,-0.0813586180525281,0.0814874679683881,0.10590676785323747,1.0,0.13774632857185637,0.31790328310245874,-0.5773925144318327,-0.3716450379008322,-0.3020933637256888,-0.03844264641102496,-0.0013220412502020346,-0.21503709366716742,-0.1270381367150601,-0.07899986225295288,-0.07899986225295288,-0.00017809857137940133,-0.00017809857137940133,-0.00021925729141907894,-0.009531943770904588,-0.04031507370790602,-0.1128696898551568,0.08609127110483636,-0.08243714010909631,-0.010241888467897838,0.022360665921221105,0.006803189500683988,-0.08935362755768984,0.001096360944831355,-0.07523857611540785,-0.042513427407695294,-0.028957793040980395,-0.035735133356213235
EUR/JPY,0.7476088916660482,0.22872321604671234,0.7819086057805285,0.47454213834332126,0.13774632857185637,1.0,0.26290080523259357,0.2876255882959471,0.8604586875891005,0.18672295583076307,0.15109349168147337,-0.2088989112201158,0.07605444400904972,0.679925289026959,0.09339109275841044,0.09339109275841044,-0.00011143676537612166,-0.00011143676537612166,-0.00016357334408543191,0.05463817674203458,0.09744654672829468,-0.03026490412158922,0.0015438497737071339,0.07484677205277439,0.009842608311808224,-0.03423660294961747,-0.004664088964234028,0.06380161549668062,0.0784874077021894,0.11110009959950838,0.08162651180456806,0.06433872595536021,0.0771756075749203
EUR/USD,0.08161207161020256,0.6127014682000955,0.1507701286091367,0.20612898517280479,0.31790328310245874,0.26290080523259357,1.0,-0.06226071528719285,0.07961727910892509,0.7902162114485783,0.6720818596583652,-0.5791147437495726,-0.7514546282297795,-0.5157284860435286,0.07406788204225839,0.07406788204225839,-3.725503093051931e-05,-3.725503093051931e-05,-9.654761501505743e-05,0.3025366555651303,0.24303436764590863,0.0173995508991272,0.08645568336369244,0.06851464767107988,0.19558703705411207,0.07817406071690083,0.05577123288584607,0.11916119500483191,0.15098794675136346,0.14171233973500386,0.20090800864225025,0.15086235801903913,0.1394623900926978
GBP/CHF,0.4353084003900324,0.21803554309918788,-0.1767268391907534,0.7112900487661363,-0.5773925144318327,0.2876255882959471,-0.06226071528719285,1.0,0.5778620322740793,0.32437086811711136,0.1338318887525779,-0.09990577943380413,0.532482149491593,0.29978408493846437,0.12031385942605867,0.12031385942605867,0.00011698427211597717,0.00011698427211597717,0.0001301122977769663,0.0040648189143313454,0.06247613795255908,0.017319298515761503,-0.10496164749451367,0.17750748560284174,-0.025343265170948304,-0.09219797998543755,-0.05786342308166815,0.07362993684744881,0.01808246981479757,0.1459493504169908,0.05360677605077836,0.025407688170316557,0.04055142276577815
GBP/JPY,0.7863374061717948,0.2533195742756952,0.6865679746108686,0.3939036454707362,-0.3716450379008322,0.8604586875891005,0.07961727910892509,0.5778620322740793,1.0,0.32854615672102133,0.15926087865832694,-0.18822913988159937,0.19006004560782,0.7011593362094928,0.1276858027692214,0.1276858027692214,-2.5242596945431955e-05,-2.5242596945431955e-05,-4.914946366677279e-05,0.05602184682626222,0.11180870015619294,0.03294630365165265,-0.04493484286206073,0.11712678002487467,0.015547163671094506,-0.043938368319133156,-0.007864998685245001,0.1067331354046666,0.07153172975140946,0.14439417186050085,0.09834656787256557,0.07450870329583342,0.09019861741178253
GBP/USD,0.19941344598626087,0.6700634417094633,0.10248471338595483,0.15107284060373308,-0.3020933637256888,0.18672295583076307,0.7902162114485783,0.32437086811711136,0.32854615672102133,1.0,0.7013748809982779,-0.5775169551069868,-0.6080517152473431,-0.43120880672914486,0.12468686099058186,0.12468686099058186,6.240457627355017e-05,6.240457627355017e-05,2.016981557376766e-05,0.3132202607567974,0.27139730609828044,0.09400931387731776,0.032410995381665766,0.12740011925503691,0.2068200880243493,0.06606714827257447,0.05392752446235479,0.17885782151203977,0.15129564858314032,0.19315588070628528,0.23079118555600403,0.17095066271888107,0.16402189784929352
NZD/USD,0.40987006308036494,0.8697113588477847,0.07361677608797251,0.13805146309907346,-0.03844264641102496,0.15109349168147337,0.6720818596583652,0.1338318887525779,0.15926087865832694,0.7013748809982779,1.0,-0.642256650340063,-0.5087642128156565,-0.3727778121150505,0.11722457704432183,0.11722457704432183,6.228193633080805e-05,6.228193633080805e-05,6.411855251823034e-05,0.3371325337511056,0.32644946520926915,0.15616680724189708,0.15024904598737776,0.18681148098853245,0.21440432693772,0.0022647799332397157,-0.04427719858938295,0.2524869065639258,0.2504953640720432,0.2652465172444052,0.27938859890327905,0.18843548168264695,0.16519648822422586
USD/CAD,-0.33835512996374256,-0.6648955915678741,-0.13378591810155713,-0.14365417881836734,-0.0013220412502020346,-0.2088989112201158,-0.5791147437495726,-0.09990577943380413,-0.18822913988159937,-0.5775169551069868,-0.642256650340063,1.0,0.43214736617151855,0.2525160018522988,-0.08270752518128056,-0.08270752518128056,-0.0001203150181720527,-0.0001203150181720527,-0.00013711755966767152,-0.23957327159128816,-0.22847964358342648,-0.08372733181291586,-0.08807657987640037,-0.11296609944085773,-0.026829555069597957,0.010999638695287146,-0.0014636792729059219,-0.16354471669944518,-0.16597379703975151,-0.17607221312780827,-0.13710729046939138,-0.12447795249231794,-0.1289651399250768
USD/CHF,0.18685558840519445,-0.4103396009716564,-0.23918520202516425,0.4598755582294358,-0.21503709366716742,0.07605444400904972,-0.7514546282297795,0.532482149491593,0.19006004560782,-0.6080517152473431,-0.5087642128156565,0.43214736617151855,1.0,0.637453764436928,-0.009311916004649127,-0.009311916004649127,1.652336048920929e-05,1.652336048920929e-05,4.307960983851552e-05,-0.2814400594517642,-0.1940567082297698,-0.07434655132070152,-0.12006321581523831,0.03065712629527194,-0.208622889441192,-0.13870495126510357,-0.09957288269563726,-0.10134492898733466,-0.12248205204545892,-0.05323649587517074,-0.16350424548134662,-0.13361572191766655,-0.11495724902940302
USD/JPY,0.5984487586505591,-0.2598076240690448,0.578933267591744,0.26079686243375155,-0.1270381367150601,0.679925289026959,-0.5157284860435286,0.29978408493846437,0.7011593362094928,-0.43120880672914486,-0.3727778121150505,0.2525160018522988,0.637453764436928,1.0,0.028269716251804498,0.028269716251804498,-8.331101857104156e-05,-8.331101857104156e-05,-9.434982095888524e-05,-0.19466753737467973,-0.10791964553140262,-0.045397337554649565,-0.07109647651402355,0.00906693893642984,-0.1497726738302796,-0.09611699945477271,-0.05271132618146556,-0.04014243738279375,-0.051985769926908065,-0.01525595259644016,-0.08856101085216422,-0.06437640418748183,-0.04422240815569469
DAX40 FULL0926,0.15604742318556536,0.16147057809640464,0.0461250308429443,0.08160173350923082,-0.07899986225295288,0.09339109275841044,0.07406788204225839,0.12031385942605867,0.1276858027692214,0.12468686099058186,0.11722457704432183,-0.08270752518128056,-0.009311916004649127,0.028269716251804498,1.0,1.0,-0.00012277809034890816,-0.00012277809034890816,-0.00012580893239542046,0.10199173255274092,0.12986000314630025,0.08308670615184167,0.06794394068183182,0.1030785046369976,0.08781816646450535,0.038372933306421615,0.0574351202338122,0.12346618434956995,0.11692103141152012,0.13199209632491513,0.12576912467190135,0.10620055021888106,0.11411072178973894
DAX40 PERF INDEX,0.15604742318556536,0.16147057809640464,0.0461250308429443,0.08160173350923082,-0.07899986225295288,0.09339109275841044,0.07406788204225839,0.12031385942605867,0.1276858027692214,0.12468686099058186,0.11722457704432183,-0.08270752518128056,-0.009311916004649127,0.028269716251804498,1.0,1.0,-0.00012277809034890816,-0.00012277809034890816,-0.00012580893239542046,0.10199173255274092,0.12986000314630025,0.08308670615184167,0.06794394068183182,0.1030785046369976,0.08781816646450535,0.038372933306421615,0.0574351202338122,0.12346618434956995,0.11692103141152012,0.13199209632491513,0.12576912467190135,0.10620055021888106,0.11411072178973894
