ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
AUD/JPY,AUDJPY.pi,2022-01-02 21:00:00,83.581,83.858,82.821,82.864,50141
AUD/JPY,AUDJPY.pi,2022-01-03 21:00:00,82.86,84.171,82.854,84.052,59077
AUD/JPY,AUDJPY.pi,2022-01-04 21:00:00,83.999,84.292,83.756,83.817,63355
AUD/JPY,AUDJPY.pi,2022-01-05 21:00:00,83.814,83.882,82.681,82.931,73696
AUD/JPY,AUDJPY.pi,2022-01-06 21:00:00,82.899,83.215,82.625,82.915,58360
AUD/JPY,AUDJPY.pi,2022-01-09 21:00:00,82.924,83.356,82.328,82.558,66944
AUD/JPY,AUDJPY.pi,2022-01-10 21:00:00,82.491,83.216,82.491,83.117,66884
AUD/JPY,AUDJPY.pi,2022-01-11 21:00:00,83.126,83.673,83.027,83.5,65493
AUD/JPY,AUDJPY.pi,2022-01-12 21:00:00,83.499,83.741,82.996,83.137,67579
AUD/JPY,AUDJPY.pi,2022-01-13 21:00:00,83.137,83.161,82.086,82.259,80004
AUD/JPY,AUDJPY.pi,2022-01-16 21:00:00,82.329,82.759,82.291,82.67,50193
AUD/JPY,AUDJPY.pi,2022-01-17 21:00:00,82.67,82.956,82.155,82.311,84234
AUD/JPY,AUDJPY.pi,2022-01-18 21:00:00,82.31,82.79,82.073,82.431,79465
AUD/JPY,AUDJPY.pi,2022-01-19 21:00:00,82.422,82.966,82.393,82.437,80125
AUD/JPY,AUDJPY.pi,2022-01-20 21:00:00,82.437,82.485,81.49,81.621,97629
AUD/JPY,AUDJPY.pi,2022-01-23 21:00:00,81.507,81.824,80.69,81.357,100807
AUD/JPY,AUDJPY.pi,2022-01-24 21:00:00,81.301,81.783,81.037,81.392,98826
AUD/JPY,AUDJPY.pi,2022-01-25 21:00:00,81.381,82.148,81.215,81.51,85870
AUD/JPY,AUDJPY.pi,2022-01-26 21:00:00,81.494,81.752,80.91,81.112,112087
AUD/JPY,AUDJPY.pi,2022-01-27 21:00:00,81.059,81.332,80.362,80.538,98690
AUD/JPY,AUDJPY.pi,2022-01-30 21:00:00,80.581,81.621,80.541,81.301,81205
AUD/JPY,AUDJPY.pi,2022-01-31 21:00:00,81.304,81.783,80.899,81.718,78906
AUD/JPY,AUDJPY.pi,2022-02-01 21:00:00,81.719,81.987,81.378,81.652,69861
AUD/JPY,AUDJPY.pi,2022-02-02 21:00:00,81.656,82.279,81.381,82.058,80347
AUD/JPY,AUDJPY.pi,2022-02-03 21:00:00,82.041,82.214,81.292,81.44,82035
AUD/JPY,AUDJPY.pi,2022-02-06 21:00:00,81.549,82.047,81.408,81.994,76493
AUD/JPY,AUDJPY.pi,2022-02-07 21:00:00,81.955,82.578,81.869,82.559,69310
AUD/JPY,AUDJPY.pi,2022-02-08 21:00:00,82.557,83.048,82.457,82.877,61840
AUD/JPY,AUDJPY.pi,2022-02-09 21:00:00,82.857,83.985,82.725,83.116,87653
AUD/JPY,AUDJPY.pi,2022-02-10 21:00:00,83.117,83.249,81.974,82.282,98343
AUD/JPY,AUDJPY.pi,2022-02-13 21:00:00,82.209,82.643,81.542,82.326,108240
AUD/JPY,AUDJPY.pi,2022-02-14 21:00:00,82.324,82.724,81.886,82.662,82645
AUD/JPY,AUDJPY.pi,2022-02-15 21:00:00,82.66,83.17,82.62,83.063,77200
AUD/JPY,AUDJPY.pi,2022-02-16 21:00:00,83.076,83.333,82.342,82.567,94927
AUD/JPY,AUDJPY.pi,2022-02-17 21:00:00,82.562,83.321,82.418,82.511,84979
AUD/JPY,AUDJPY.pi,2022-02-20 21:00:00,82.439,83.047,82.337,82.482,70198
AUD/JPY,AUDJPY.pi,2022-02-21 21:00:00,82.443,83.182,82.117,83.036,108988
AUD/JPY,AUDJPY.pi,2022-02-22 21:00:00,83.027,83.828,83.017,83.158,78517
AUD/JPY,AUDJPY.pi,2022-02-23 21:00:00,83.149,83.168,82.006,82.725,152030
AUD/JPY,AUDJPY.pi,2022-02-24 21:00:00,82.719,83.61,82.445,83.503,112687
AUD/JPY,AUDJPY.pi,2022-02-27 21:00:00,82.456,83.702,82.456,83.488,117636
AUD/JPY,AUDJPY.pi,2022-02-28 21:00:00,83.479,83.856,83.095,83.287,99780
AUD/JPY,AUDJPY.pi,2022-03-01 21:00:00,83.283,84.435,83.251,84.286,103016
AUD/JPY,AUDJPY.pi,2022-03-02 21:00:00,84.267,84.928,84.117,84.616,88886
AUD/JPY,AUDJPY.pi,2022-03-03 21:00:00,84.616,85.136,84.153,84.588,110428
AUD/JPY,AUDJPY.pi,2022-03-06 21:00:00,84.729,85.501,84.307,84.334,124721
AUD/JPY,AUDJPY.pi,2022-03-07 21:00:00,84.348,84.833,83.804,84.009,120718
AUD/JPY,AUDJPY.pi,2022-03-08 21:00:00,84.029,84.977,84.001,84.745,94280
AUD/JPY,AUDJPY.pi,2022-03-09 21:00:00,84.731,85.53,84.571,85.423,90718
AUD/JPY,AUDJPY.pi,2022-03-10 21:00:00,85.375,85.886,85.26,85.524,90301
AUD/JPY,AUDJPY.pi,2022-03-13 21:00:00,85.5,85.812,84.906,84.943,84142
AUD/JPY,AUDJPY.pi,2022-03-14 21:00:00,84.944,85.359,84.589,85.104,89085
AUD/JPY,AUDJPY.pi,2022-03-15 21:00:00,85.122,86.607,85.014,86.515,91549
AUD/JPY,AUDJPY.pi,2022-03-16 21:00:00,86.524,87.584,86.484,87.471,85820
AUD/JPY,AUDJPY.pi,2022-03-17 21:00:00,87.463,88.37,87.382,88.322,71222
AUD/JPY,AUDJPY.pi,2022-03-20 21:00:00,88.216,88.491,87.83,88.404,70741
AUD/JPY,AUDJPY.pi,2022-03-21 21:00:00,88.394,90.261,88.26,90.185,79786
AUD/JPY,AUDJPY.pi,2022-03-22 21:00:00,90.181,90.93,89.929,90.844,83099
AUD/JPY,AUDJPY.pi,2022-03-23 21:00:00,90.817,91.963,90.522,91.88,84540
