ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
AUD/USD,AUDUSD.pi,2022-01-02 21:00:00,0.72569,0.72768,0.71831,0.71831,26621
AUD/USD,AUDUSD.pi,2022-01-03 21:00:00,0.71826,0.72483,0.71826,0.72299,25802
AUD/USD,AUDUSD.pi,2022-01-04 21:00:00,0.7225,0.7272,0.72152,0.72204,30567
AUD/USD,AUDUSD.pi,2022-01-05 21:00:00,0.72191,0.72224,0.71454,0.71591,37254
AUD/USD,AUDUSD.pi,2022-01-06 21:00:00,0.71506,0.71872,0.71293,0.71784,29376
AUD/USD,AUDUSD.pi,2022-01-09 21:00:00,0.717,0.72019,0.71486,0.71576,31704
AUD/USD,AUDUSD.pi,2022-01-10 21:00:00,0.71546,0.72131,0.71545,0.72091,32336
AUD/USD,AUDUSD.pi,2022-01-11 21:00:00,0.72098,0.72921,0.72,0.72835,30989
AUD/USD,AUDUSD.pi,2022-01-12 21:00:00,0.72841,0.73139,0.7273,0.72801,33764
AUD/USD,AUDUSD.pi,2022-01-13 21:00:00,0.72796,0.72932,0.71965,0.71979,40427
AUD/USD,AUDUSD.pi,2022-01-16 21:00:00,0.72116,0.72289,0.71952,0.72083,25514
AUD/USD,AUDUSD.pi,2022-01-17 21:00:00,0.72071,0.72275,0.71696,0.71834,43188
AUD/USD,AUDUSD.pi,2022-01-18 21:00:00,0.71831,0.72378,0.71767,0.72102,40020
AUD/USD,AUDUSD.pi,2022-01-19 21:00:00,0.72098,0.72761,0.72066,0.72254,40062
AUD/USD,AUDUSD.pi,2022-01-20 21:00:00,0.72254,0.72286,0.71709,0.71789,56039
AUD/USD,AUDUSD.pi,2022-01-23 21:00:00,0.71668,0.71872,0.70902,0.71404,58975
AUD/USD,AUDUSD.pi,2022-01-24 21:00:00,0.71319,0.71737,0.71211,0.71462,57866
AUD/USD,AUDUSD.pi,2022-01-25 21:00:00,0.71451,0.71807,0.70953,0.71129,52082
AUD/USD,AUDUSD.pi,2022-01-26 21:00:00,0.71124,0.7121,0.70233,0.70306,63221
AUD/USD,AUDUSD.pi,2022-01-27 21:00:00,0.70256,0.70454,0.69671,0.69823,58356
AUD/USD,AUDUSD.pi,2022-01-30 21:00:00,0.69897,0.70761,0.69866,0.70661,41395
AUD/USD,AUDUSD.pi,2022-01-31 21:00:00,0.70659,0.71301,0.70331,0.71272,43185
AUD/USD,AUDUSD.pi,2022-02-01 21:00:00,0.71257,0.71583,0.71179,0.7135,35173
AUD/USD,AUDUSD.pi,2022-02-02 21:00:00,0.71341,0.71678,0.71092,0.71363,44822
AUD/USD,AUDUSD.pi,2022-02-03 21:00:00,0.71357,0.71513,0.70514,0.70664,46706
AUD/USD,AUDUSD.pi,2022-02-06 21:00:00,0.70732,0.713,0.70648,0.71253,40217
AUD/USD,AUDUSD.pi,2022-02-07 21:00:00,0.71225,0.71464,0.71062,0.71449,35381
AUD/USD,AUDUSD.pi,2022-02-08 21:00:00,0.71431,0.71941,0.71413,0.71783,29822
AUD/USD,AUDUSD.pi,2022-02-09 21:00:00,0.71783,0.72483,0.71472,0.71662,51833
AUD/USD,AUDUSD.pi,2022-02-10 21:00:00,0.7161,0.71846,0.71081,0.71334,62383
AUD/USD,AUDUSD.pi,2022-02-13 21:00:00,0.71286,0.71499,0.70857,0.71257,62684
AUD/USD,AUDUSD.pi,2022-02-14 21:00:00,0.71255,0.7156,0.71011,0.71509,46379
AUD/USD,AUDUSD.pi,2022-02-15 21:00:00,0.71507,0.72046,0.71432,0.71934,43078
AUD/USD,AUDUSD.pi,2022-02-16 21:00:00,0.71723,0.7217,0.71492,0.71834,56200
AUD/USD,AUDUSD.pi,2022-02-17 21:00:00,0.71832,0.72274,0.71645,0.71734,51223
AUD/USD,AUDUSD.pi,2022-02-20 21:00:00,0.71682,0.72222,0.71664,0.71881,43701
AUD/USD,AUDUSD.pi,2022-02-21 21:00:00,0.71851,0.72331,0.71713,0.72156,61414
AUD/USD,AUDUSD.pi,2022-02-22 21:00:00,0.72166,0.72835,0.72164,0.72323,46783
AUD/USD,AUDUSD.pi,2022-02-23 21:00:00,0.72323,0.72323,0.70942,0.71628,102509
AUD/USD,AUDUSD.pi,2022-02-24 21:00:00,0.71625,0.72372,0.71388,0.72184,68742
AUD/USD,AUDUSD.pi,2022-02-27 21:00:00,0.71588,0.72652,0.71514,0.72603,71828
AUD/USD,AUDUSD.pi,2022-02-28 21:00:00,0.72548,0.72894,0.72378,0.72481,57963
AUD/USD,AUDUSD.pi,2022-03-01 21:00:00,0.72476,0.73062,0.7243,0.72951,64253
AUD/USD,AUDUSD.pi,2022-03-02 21:00:00,0.72946,0.73472,0.72758,0.73282,51613
AUD/USD,AUDUSD.pi,2022-03-03 21:00:00,0.73289,0.73801,0.73003,0.73651,63742
AUD/USD,AUDUSD.pi,2022-03-06 21:00:00,0.73659,0.74408,0.73113,0.73159,85148
AUD/USD,AUDUSD.pi,2022-03-07 21:00:00,0.73159,0.73477,0.7245,0.72606,79510
AUD/USD,AUDUSD.pi,2022-03-08 21:00:00,0.72596,0.73367,0.72596,0.73176,54369
AUD/USD,AUDUSD.pi,2022-03-09 21:00:00,0.73171,0.7367,0.72872,0.73544,54071
AUD/USD,AUDUSD.pi,2022-03-10 21:00:00,0.73459,0.73667,0.72817,0.72899,52082
AUD/USD,AUDUSD.pi,2022-03-13 21:00:00,0.72817,0.72984,0.71853,0.71867,48458
AUD/USD,AUDUSD.pi,2022-03-14 21:00:00,0.71865,0.72269,0.71647,0.71941,49175
AUD/USD,AUDUSD.pi,2022-03-15 21:00:00,0.71954,0.72964,0.71801,0.72889,55523
AUD/USD,AUDUSD.pi,2022-03-16 21:00:00,0.72889,0.73926,0.72818,0.73751,48405
AUD/USD,AUDUSD.pi,2022-03-17 21:00:00,0.73746,0.74175,0.73602,0.74134,40903
AUD/USD,AUDUSD.pi,2022-03-20 21:00:00,0.74041,0.74243,0.73734,0.73991,42534
AUD/USD,AUDUSD.pi,2022-03-21 21:00:00,0.73995,0.74709,0.73752,0.74661,38363
AUD/USD,AUDUSD.pi,2022-03-22 21:00:00,0.74651,0.75067,0.74498,0.74979,36693
AUD/USD,AUDUSD.pi,2022-03-23 21:00:00,0.74963,0.75272,0.74659,0.75108,39126
AUD/USD,AUDUSD.pi,2022-03-24 21:00:00,0.75106,0.75363,0.74945,0.75142,38806
AUD/USD,AUDUSD.pi,2022-03-27 21:00:00,0.74995,0.75396,0.74662,0.74884,46372
AUD/USD,AUDUSD.pi,2022-03-28 21:00:00,0.74876,0.75183,0.74556,0.75074,50391
AUD/USD,AUDUSD.pi,2022-03-29 21:00:00,0.75014,0.75359,0.74986,0.75066,41590
AUD/USD,AUDUSD.pi,2022-03-30 21:00:00,0.75061,0.75244,0.74701,0.74806,42735
AUD/USD,AUDUSD.pi,2022-03-31 21:00:00,0.74806,0.75241,0.74721,0.74901,39922
AUD/USD,AUDUSD.pi,2022-04-03 21:00:00,0.74867,0.75559,0.74825,0.75411,32354
AUD/USD,AUDUSD.pi,2022-04-04 21:00:00,0.75406,0.76607,0.75353,0.75767,40834
AUD/USD,AUDUSD.pi,2022-04-05 21:00:00,0.75766,0.75926,0.7486,0.75063,43628
AUD/USD,AUDUSD.pi,2022-04-06 21:00:00,0.7504,0.75186,0.74664,0.74777,38787
AUD/USD,AUDUSD.pi,2022-04-07 21:00:00,0.74779,0.74923,0.74258,0.74501,34133
AUD/USD,AUDUSD.pi,2022-04-10 21:00:00,0.74452,0.7465,0.74131,0.74131,37707
AUD/USD,AUDUSD.pi,2022-04-11 21:00:00,0.74116,0.74929,0.73991,0.74506,43111
AUD/USD,AUDUSD.pi,2022-04-12 21:00:00,0.74501,0.74744,0.73912,0.74416,41284
AUD/USD,AUDUSD.pi,2022-04-13 21:00:00,0.74412,0.74678,0.73968,0.7415,38917
AUD/USD,AUDUSD.pi,2022-04-14 21:00:00,0.74147,0.74169,0.73833,0.73833,19982
AUD/USD,AUDUSD.pi,2022-04-17 21:00:00,0.73891,0.74031,0.73422,0.73436,28063
AUD/USD,AUDUSD.pi,2022-04-18 21:00:00,0.73467,0.73995,0.73416,0.73634,35631
AUD/USD,AUDUSD.pi,2022-04-19 21:00:00,0.73634,0.74572,0.73634,0.74451,39282
AUD/USD,AUDUSD.pi,2022-04-20 21:00:00,0.74446,0.74575,0.73645,0.73688,39636
AUD/USD,AUDUSD.pi,2022-04-21 21:00:00,0.73722,0.73766,0.72296,0.72428,45269
AUD/USD,AUDUSD.pi,2022-04-24 21:00:00,0.72501,0.72501,0.71346,0.71765,61632
AUD/USD,AUDUSD.pi,2022-04-25 21:00:00,0.7176,0.72282,0.71185,0.71218,52033
AUD/USD,AUDUSD.pi,2022-04-26 21:00:00,0.71218,0.71903,0.71008,0.71226,60076
AUD/USD,AUDUSD.pi,2022-04-27 21:00:00,0.71206,0.71616,0.70546,0.70876,60742
AUD/USD,AUDUSD.pi,2022-04-28 21:00:00,0.70882,0.71794,0.70576,0.70601,52105
AUD/USD,AUDUSD.pi,2022-05-01 21:00:00,0.70677,0.70814,0.70297,0.70451,57375
AUD/USD,AUDUSD.pi,2022-05-02 21:00:00,0.70446,0.71471,0.70446,0.70948,53819
AUD/USD,AUDUSD.pi,2022-05-03 21:00:00,0.70926,0.72648,0.70882,0.72573,54220
AUD/USD,AUDUSD.pi,2022-05-04 21:00:00,0.72572,0.72657,0.70771,0.71109,73594
AUD/USD,AUDUSD.pi,2022-05-05 21:00:00,0.71114,0.71347,0.70579,0.70746,82921
AUD/USD,AUDUSD.pi,2022-05-08 21:00:00,0.70647,0.7069,0.69445,0.69497,71792
AUD/USD,AUDUSD.pi,2022-05-09 21:00:00,0.69499,0.69856,0.69102,0.69351,79302
AUD/USD,AUDUSD.pi,2022-05-10 21:00:00,0.69346,0.7053,0.69274,0.69333,71854
AUD/USD,AUDUSD.pi,2022-05-11 21:00:00,0.69332,0.69525,0.68283,0.68549,84285
AUD/USD,AUDUSD.pi,2022-05-12 21:00:00,0.68547,0.69405,0.68526,0.69366,53631
AUD/USD,AUDUSD.pi,2022-05-15 21:00:00,0.69198,0.6982,0.68717,0.69698,57251
AUD/USD,AUDUSD.pi,2022-05-16 21:00:00,0.69696,0.704,0.69646,0.70261,54165
AUD/USD,AUDUSD.pi,2022-05-17 21:00:00,0.70256,0.7046,0.69491,0.69522,46674
AUD/USD,AUDUSD.pi,2022-05-18 21:00:00,0.69516,0.70721,0.69498,0.70461,74074
AUD/USD,AUDUSD.pi,2022-05-19 21:00:00,0.70426,0.70728,0.70018,0.70403,59299
AUD/USD,AUDUSD.pi,2022-05-22 21:00:00,0.70476,0.71265,0.70392,0.71047,52752
AUD/USD,AUDUSD.pi,2022-05-23 21:00:00,0.71041,0.71127,0.70566,0.7099,56863
AUD/USD,AUDUSD.pi,2022-05-24 21:00:00,0.7099,0.71186,0.70351,0.70881,59682
AUD/USD,AUDUSD.pi,2022-05-25 21:00:00,0.70883,0.71092,0.70566,0.70965,48237
AUD/USD,AUDUSD.pi,2022-05-26 21:00:00,0.7096,0.71661,0.70846,0.71561,42265
AUD/USD,AUDUSD.pi,2022-05-29 21:00:00,0.71542,0.71994,0.71446,0.7195,34773
AUD/USD,AUDUSD.pi,2022-05-30 21:00:00,0.7191,0.72033,0.71493,0.71718,57356
AUD/USD,AUDUSD.pi,2022-05-31 21:00:00,0.71677,0.723,0.71553,0.71719,54510
AUD/USD,AUDUSD.pi,2022-06-01 21:00:00,0.71703,0.72692,0.71405,0.72638,45938
AUD/USD,AUDUSD.pi,2022-06-02 21:00:00,0.72637,0.72826,0.72014,0.72061,46560
AUD/USD,AUDUSD.pi,2022-06-05 21:00:00,0.72092,0.72312,0.71864,0.71906,40278
AUD/USD,AUDUSD.pi,2022-06-06 21:00:00,0.71905,0.72443,0.71568,0.72306,54463
AUD/USD,AUDUSD.pi,2022-06-07 21:00:00,0.72301,0.72339,0.71751,0.71896,49744
AUD/USD,AUDUSD.pi,2022-06-08 21:00:00,0.71954,0.7197,0.70931,0.70956,60487
AUD/USD,AUDUSD.pi,2022-06-09 21:00:00,0.70947,0.71376,0.70277,0.70416,64470
AUD/USD,AUDUSD.pi,2022-06-12 21:00:00,0.70337,0.70531,0.69111,0.69187,74338
AUD/USD,AUDUSD.pi,2022-06-13 21:00:00,0.69177,0.697,0.68501,0.68669,80997
AUD/USD,AUDUSD.pi,2022-06-14 21:00:00,0.68574,0.70238,0.68548,0.70022,83861
AUD/USD,AUDUSD.pi,2022-06-15 21:00:00,0.70021,0.70687,0.69431,0.70432,86126
AUD/USD,AUDUSD.pi,2022-06-16 21:00:00,0.70377,0.70506,0.69105,0.69341,79588
AUD/USD,AUDUSD.pi,2022-06-19 21:00:00,0.69143,0.69954,0.69122,0.69407,49240
AUD/USD,AUDUSD.pi,2022-06-20 21:00:00,0.69403,0.69933,0.69343,0.69617,56102
AUD/USD,AUDUSD.pi,2022-06-21 21:00:00,0.69609,0.69717,0.68809,0.69234,65418
AUD/USD,AUDUSD.pi,2022-06-22 21:00:00,0.69227,0.69273,0.68688,0.6892,68033
AUD/USD,AUDUSD.pi,2022-06-23 21:00:00,0.68823,0.69573,0.68823,0.69435,56940
AUD/USD,AUDUSD.pi,2022-06-26 21:00:00,0.69417,0.69584,0.69067,0.69216,61645
AUD/USD,AUDUSD.pi,2022-06-27 21:00:00,0.69266,0.69639,0.69035,0.69059,66707
AUD/USD,AUDUSD.pi,2022-06-28 21:00:00,0.69057,0.69197,0.68612,0.68762,69078
AUD/USD,AUDUSD.pi,2022-06-29 21:00:00,0.68762,0.69188,0.6853,0.69004,69758
AUD/USD,AUDUSD.pi,2022-06-30 21:00:00,0.68997,0.69033,0.67634,0.68117,80088
