ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
CHF/JPY,CHFJPY.pi,2022-01-02 21:00:00,126.042,126.307,125.328,125.328,50917
CHF/JPY,CHFJPY.pi,2022-01-03 21:00:00,125.347,127.067,125.307,126.651,66833
CHF/JPY,CHFJPY.pi,2022-01-04 21:00:00,126.626,126.817,126.31,126.542,65269
CHF/JPY,CHFJPY.pi,2022-01-05 21:00:00,126.533,126.601,125.662,125.732,71962
CHF/JPY,CHFJPY.pi,2022-01-06 21:00:00,125.715,125.887,125.385,125.701,60837
CHF/JPY,CHFJPY.pi,2022-01-09 21:00:00,125.649,125.899,124.151,124.16,67090
CHF/JPY,CHFJPY.pi,2022-01-10 21:00:00,124.117,124.955,124.101,124.846,67307
CHF/JPY,CHFJPY.pi,2022-01-11 21:00:00,124.832,125.615,124.715,125.338,64077
CHF/JPY,CHFJPY.pi,2022-01-12 21:00:00,125.322,125.649,125.18,125.294,65432
CHF/JPY,CHFJPY.pi,2022-01-13 21:00:00,125.282,125.36,124.511,124.908,76840
CHF/JPY,CHFJPY.pi,2022-01-16 21:00:00,124.97,125.451,124.737,125.303,44977
CHF/JPY,CHFJPY.pi,2022-01-17 21:00:00,125.303,125.661,124.827,124.873,81460
CHF/JPY,CHFJPY.pi,2022-01-18 21:00:00,124.866,125.15,124.669,124.669,76041
CHF/JPY,CHFJPY.pi,2022-01-19 21:00:00,124.627,125.156,124.345,124.369,75363
CHF/JPY,CHFJPY.pi,2022-01-20 21:00:00,124.363,124.999,124.02,124.684,88223
CHF/JPY,CHFJPY.pi,2022-01-23 21:00:00,124.471,124.843,124.354,124.588,90284
CHF/JPY,CHFJPY.pi,2022-01-24 21:00:00,124.588,124.782,123.762,123.942,86308
CHF/JPY,CHFJPY.pi,2022-01-25 21:00:00,123.92,124.339,123.806,123.973,75262
CHF/JPY,CHFJPY.pi,2022-01-26 21:00:00,123.912,124.189,123.577,123.906,97199
CHF/JPY,CHFJPY.pi,2022-01-27 21:00:00,123.905,124.208,123.611,123.815,84885
CHF/JPY,CHFJPY.pi,2022-01-30 21:00:00,123.836,124.301,123.542,123.996,78519
