ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
EUR/CHF,EURCHF.pi,2022-01-02 21:00:00,1.03583,1.03909,1.03487,1.03804,32255
EUR/CHF,EURCHF.pi,2022-01-03 21:00:00,1.03798,1.03824,1.03345,1.03379,32395
EUR/CHF,EURCHF.pi,2022-01-04 21:00:00,1.03379,1.03895,1.03342,1.03702,32270
EUR/CHF,EURCHF.pi,2022-01-05 21:00:00,1.03717,1.04114,1.03651,1.0403,37011
EUR/CHF,EURCHF.pi,2022-01-06 21:00:00,1.04022,1.04505,1.04017,1.04344,31639
EUR/CHF,EURCHF.pi,2022-01-09 21:00:00,1.04283,1.05038,1.04247,1.04996,36825
EUR/CHF,EURCHF.pi,2022-01-10 21:00:00,1.04994,1.05109,1.04882,1.04935,35356
EUR/CHF,EURCHF.pi,2022-01-11 21:00:00,1.04932,1.05054,1.0437,1.0458,35595
EUR/CHF,EURCHF.pi,2022-01-12 21:00:00,1.0458,1.0487,1.04245,1.04351,36499
EUR/CHF,EURCHF.pi,2022-01-13 21:00:00,1.04351,1.04475,1.04184,1.0421,38577
EUR/CHF,EURCHF.pi,2022-01-16 21:00:00,1.04245,1.04445,1.04185,1.04185,24465
EUR/CHF,EURCHF.pi,2022-01-17 21:00:00,1.04217,1.04381,1.038,1.03842,40749
EUR/CHF,EURCHF.pi,2022-01-18 21:00:00,1.0384,1.0403,1.03742,1.03877,35875
EUR/CHF,EURCHF.pi,2022-01-19 21:00:00,1.03874,1.03944,1.03717,1.03733,33562
EUR/CHF,EURCHF.pi,2022-01-20 21:00:00,1.03721,1.03753,1.03329,1.03329,38451
EUR/CHF,EURCHF.pi,2022-01-23 21:00:00,1.03338,1.03583,1.02992,1.03384,41086
EUR/CHF,EURCHF.pi,2022-01-24 21:00:00,1.03466,1.03847,1.03358,1.03764,36758
EUR/CHF,EURCHF.pi,2022-01-25 21:00:00,1.0375,1.03984,1.03516,1.03814,36731
EUR/CHF,EURCHF.pi,2022-01-26 21:00:00,1.03795,1.03973,1.03673,1.03702,45769
EUR/CHF,EURCHF.pi,2022-01-27 21:00:00,1.03699,1.03907,1.03584,1.03701,41397
EUR/CHF,EURCHF.pi,2022-01-30 21:00:00,1.03729,1.04408,1.0368,1.04109,40746
EUR/CHF,EURCHF.pi,2022-01-31 21:00:00,1.04107,1.04136,1.03626,1.03799,37221
EUR/CHF,EURCHF.pi,2022-02-01 21:00:00,1.038,1.04061,1.0376,1.0384,33628
EUR/CHF,EURCHF.pi,2022-02-02 21:00:00,1.03791,1.05417,1.03791,1.05183,47816
EUR/CHF,EURCHF.pi,2022-02-03 21:00:00,1.0517,1.06017,1.05164,1.05921,47649
EUR/CHF,EURCHF.pi,2022-02-06 21:00:00,1.05927,1.0602800000000001,1.05499,1.05634,39281
EUR/CHF,EURCHF.pi,2022-02-07 21:00:00,1.05669,1.05713,1.0529,1.05508,37010
EUR/CHF,EURCHF.pi,2022-02-08 21:00:00,1.05523,1.05664,1.05426,1.05553,29646
EUR/CHF,EURCHF.pi,2022-02-09 21:00:00,1.05509,1.0611,1.05501,1.05688,46476
EUR/CHF,EURCHF.pi,2022-02-10 21:00:00,1.0563,1.05733,1.04811,1.04992,51088
EUR/CHF,EURCHF.pi,2022-02-13 21:00:00,1.0483,1.05133,1.04368,1.04494,52649
EUR/CHF,EURCHF.pi,2022-02-14 21:00:00,1.04496,1.05298,1.04449,1.05007,48210
EUR/CHF,EURCHF.pi,2022-02-15 21:00:00,1.04996,1.05489,1.04828,1.04874,42662
EUR/CHF,EURCHF.pi,2022-02-16 21:00:00,1.04865,1.04947,1.04473,1.04484,53306
EUR/CHF,EURCHF.pi,2022-02-17 21:00:00,1.04479,1.04818,1.04251,1.04277,46332
EUR/CHF,EURCHF.pi,2022-02-20 21:00:00,1.04224,1.04657,1.0354700000000001,1.03578,37079
