ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
EUR/GBP,EURGBP.pi,2022-01-02 21:00:00,0.84005,0.84182,0.83718,0.83758,34828
EUR/GBP,EURGBP.pi,2022-01-03 21:00:00,0.83748,0.8394,0.83356,0.83392,38902
EUR/GBP,EURGBP.pi,2022-01-04 21:00:00,0.83367,0.8372,0.83341,0.83389,40055
EUR/GBP,EURGBP.pi,2022-01-05 21:00:00,0.83384,0.83718,0.83358,0.83453,45571
EUR/GBP,EURGBP.pi,2022-01-06 21:00:00,0.83448,0.83651,0.83365,0.83566,39148
EUR/GBP,EURGBP.pi,2022-01-09 21:00:00,0.83595,0.83597,0.83315,0.83395,44075
EUR/GBP,EURGBP.pi,2022-01-10 21:00:00,0.83385,0.83493,0.83232,0.83341,43290
EUR/GBP,EURGBP.pi,2022-01-11 21:00:00,0.83345,0.83549,0.83256,0.83493,41876
EUR/GBP,EURGBP.pi,2022-01-12 21:00:00,0.83477,0.83597,0.83359,0.83538,44778
EUR/GBP,EURGBP.pi,2022-01-13 21:00:00,0.83493,0.83618,0.83395,0.83395,50984
EUR/GBP,EURGBP.pi,2022-01-16 21:00:00,0.83426,0.83614,0.83387,0.83495,36654
EUR/GBP,EURGBP.pi,2022-01-17 21:00:00,0.83495,0.83782,0.83263,0.83302,55265
EUR/GBP,EURGBP.pi,2022-01-18 21:00:00,0.83305,0.83412,0.83125,0.83319,50212
EUR/GBP,EURGBP.pi,2022-01-19 21:00:00,0.83307,0.83386,0.83047,0.83157,49792
EUR/GBP,EURGBP.pi,2022-01-20 21:00:00,0.83155,0.83765,0.83127,0.83686,54883
EUR/GBP,EURGBP.pi,2022-01-23 21:00:00,0.83597,0.84222,0.83501,0.83905,51976
EUR/GBP,EURGBP.pi,2022-01-24 21:00:00,0.839,0.84011,0.83573,0.83689,56018
EUR/GBP,EURGBP.pi,2022-01-25 21:00:00,0.83685,0.837,0.83412,0.83467,51256
EUR/GBP,EURGBP.pi,2022-01-26 21:00:00,0.83466,0.83572,0.83199,0.83248,61994
EUR/GBP,EURGBP.pi,2022-01-27 21:00:00,0.83238,0.83337,0.83048,0.83188,56675
EUR/GBP,EURGBP.pi,2022-01-30 21:00:00,0.83173,0.83577,0.83044,0.83481,52162
EUR/GBP,EURGBP.pi,2022-01-31 21:00:00,0.8347,0.83598,0.83176,0.83335,44469
EUR/GBP,EURGBP.pi,2022-02-01 21:00:00,0.83336,0.83508,0.83237,0.83251,38580
EUR/GBP,EURGBP.pi,2022-02-02 21:00:00,0.83263,0.84162,0.82838,0.84065,55748
EUR/GBP,EURGBP.pi,2022-02-03 21:00:00,0.8404,0.84698,0.8398,0.84568,54076
EUR/GBP,EURGBP.pi,2022-02-06 21:00:00,0.84551,0.84776,0.84378,0.84484,45656
EUR/GBP,EURGBP.pi,2022-02-07 21:00:00,0.84466,0.84567,0.84123,0.84247,40645
EUR/GBP,EURGBP.pi,2022-02-08 21:00:00,0.84237,0.84501,0.84124,0.84364,35014
