ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
EUR/JPY,EURJPY.pi,2022-01-02 21:00:00,130.893,130.995,130.017,130.192,60585
EUR/JPY,EURJPY.pi,2022-01-03 21:00:00,130.187,131.455,130.179,131.052,74065
EUR/JPY,EURJPY.pi,2022-01-04 21:00:00,131.036,131.593,130.835,131.316,72239
EUR/JPY,EURJPY.pi,2022-01-05 21:00:00,131.334,131.422,130.633,130.788,82818
EUR/JPY,EURJPY.pi,2022-01-06 21:00:00,130.684,131.343,130.675,131.267,69501
EUR/JPY,EURJPY.pi,2022-01-09 21:00:00,131.166,131.362,130.154,130.313,77334
EUR/JPY,EURJPY.pi,2022-01-10 21:00:00,130.387,131.193,130.346,131.07,75585
EUR/JPY,EURJPY.pi,2022-01-11 21:00:00,131.072,131.468,130.948,131.137,76863
EUR/JPY,EURJPY.pi,2022-01-12 21:00:00,131.136,131.434,130.615,130.764,79496
EUR/JPY,EURJPY.pi,2022-01-13 21:00:00,130.764,130.85,129.776,130.203,91190
EUR/JPY,EURJPY.pi,2022-01-16 21:00:00,130.226,130.822,130.184,130.715,50600
EUR/JPY,EURJPY.pi,2022-01-17 21:00:00,130.692,131.171,129.693,129.73,98990
EUR/JPY,EURJPY.pi,2022-01-18 21:00:00,129.693,129.981,129.388,129.669,85229
EUR/JPY,EURJPY.pi,2022-01-19 21:00:00,129.66,130.081,129.014,129.022,86168
EUR/JPY,EURJPY.pi,2022-01-20 21:00:00,129.012,129.305,128.556,128.912,97900
EUR/JPY,EURJPY.pi,2022-01-23 21:00:00,128.897,129.153,128.403,129.003,100771
EUR/JPY,EURJPY.pi,2022-01-24 21:00:00,128.952,129.195,128.243,128.668,96538
EUR/JPY,EURJPY.pi,2022-01-25 21:00:00,128.668,129.237,128.59,128.777,84370
EUR/JPY,EURJPY.pi,2022-01-26 21:00:00,128.781,129.011,128.322,128.528,111456
EUR/JPY,EURJPY.pi,2022-01-27 21:00:00,128.512,128.847,128.348,128.444,97878
EUR/JPY,EURJPY.pi,2022-01-30 21:00:00,128.458,129.372,128.407,129.27,92094
EUR/JPY,EURJPY.pi,2022-01-31 21:00:00,129.222,129.535,128.864,129.228,83373
EUR/JPY,EURJPY.pi,2022-02-01 21:00:00,129.222,129.469,129.04,129.339,74223
