ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
EUR/USD,EURUSD.pi,2022-01-02 21:00:00,1.13706,1.13785,1.12793,1.12958,38383
EUR/USD,EURUSD.pi,2022-01-03 21:00:00,1.12965,1.1322,1.12719,1.1286100000000001,43782
EUR/USD,EURUSD.pi,2022-01-04 21:00:00,1.12854,1.13459,1.12766,1.13123,44451
EUR/USD,EURUSD.pi,2022-01-05 21:00:00,1.13122,1.13313,1.12842,1.12919,47773
EUR/USD,EURUSD.pi,2022-01-06 21:00:00,1.12917,1.13644,1.12896,1.13582,41710
EUR/USD,EURUSD.pi,2022-01-09 21:00:00,1.13514,1.13604,1.12847,1.1323699999999999,46918
EUR/USD,EURUSD.pi,2022-01-10 21:00:00,1.13232,1.13748,1.13125,1.13647,43116
EUR/USD,EURUSD.pi,2022-01-11 21:00:00,1.13653,1.14523,1.13542,1.14413,45052
EUR/USD,EURUSD.pi,2022-01-12 21:00:00,1.14416,1.14813,1.14354,1.14542,46235
EUR/USD,EURUSD.pi,2022-01-13 21:00:00,1.14543,1.14823,1.13981,1.1404,51869
EUR/USD,EURUSD.pi,2022-01-16 21:00:00,1.1412499999999999,1.14339,1.13914,1.14085,32299
EUR/USD,EURUSD.pi,2022-01-17 21:00:00,1.1408800000000001,1.1421000000000001,1.13143,1.13204,57008
EUR/USD,EURUSD.pi,2022-01-18 21:00:00,1.13225,1.13567,1.13184,1.1341700000000001,47101
EUR/USD,EURUSD.pi,2022-01-19 21:00:00,1.13408,1.13685,1.1302699999999999,1.13109,48492
EUR/USD,EURUSD.pi,2022-01-20 21:00:00,1.13111,1.13593,1.13005,1.13385,49024
EUR/USD,EURUSD.pi,2022-01-23 21:00:00,1.13429,1.13445,1.129,1.13247,53714
EUR/USD,EURUSD.pi,2022-01-24 21:00:00,1.13249,1.13286,1.12628,1.1301,48417
EUR/USD,EURUSD.pi,2022-01-25 21:00:00,1.1301,1.13102,1.1235,1.12384,51805
EUR/USD,EURUSD.pi,2022-01-26 21:00:00,1.12386,1.12429,1.11315,1.1145,61868
EUR/USD,EURUSD.pi,2022-01-27 21:00:00,1.11461,1.11731,1.11209,1.11411,55413
EUR/USD,EURUSD.pi,2022-01-30 21:00:00,1.11425,1.12473,1.11379,1.1234,51907
EUR/USD,EURUSD.pi,2022-01-31 21:00:00,1.12344,1.12782,1.12206,1.12699,49124
EUR/USD,EURUSD.pi,2022-02-01 21:00:00,1.12689,1.1329500000000001,1.12661,1.1302699999999999,42425
EUR/USD,EURUSD.pi,2022-02-02 21:00:00,1.13052,1.1451,1.1267,1.14412,59299
EUR/USD,EURUSD.pi,2022-02-03 21:00:00,1.14385,1.14833,1.14113,1.14469,58597
EUR/USD,EURUSD.pi,2022-02-06 21:00:00,1.14646,1.14646,1.14148,1.14414,49876
EUR/USD,EURUSD.pi,2022-02-07 21:00:00,1.14414,1.14483,1.13959,1.14146,44417
EUR/USD,EURUSD.pi,2022-02-08 21:00:00,1.14146,1.14474,1.14021,1.14239,39397
EUR/USD,EURUSD.pi,2022-02-09 21:00:00,1.14241,1.14943,1.13744,1.14276,59888
EUR/USD,EURUSD.pi,2022-02-10 21:00:00,1.14274,1.14296,1.13294,1.13449,67148
EUR/USD,EURUSD.pi,2022-02-13 21:00:00,1.13377,1.13686,1.12796,1.13057,67133
EUR/USD,EURUSD.pi,2022-02-14 21:00:00,1.13062,1.13678,1.12977,1.13581,54717
EUR/USD,EURUSD.pi,2022-02-15 21:00:00,1.13582,1.13953,1.13446,1.13719,49977
EUR/USD,EURUSD.pi,2022-02-16 21:00:00,1.13723,1.13855,1.13227,1.13591,61108
EUR/USD,EURUSD.pi,2022-02-17 21:00:00,1.13591,1.13766,1.13142,1.13211,50935
EUR/USD,EURUSD.pi,2022-02-20 21:00:00,1.13187,1.139,1.13063,1.13132,40721
EUR/USD,EURUSD.pi,2022-02-21 21:00:00,1.13133,1.13664,1.12875,1.1323699999999999,65277
EUR/USD,EURUSD.pi,2022-02-22 21:00:00,1.1332200000000001,1.13585,1.13008,1.13099,44107
EUR/USD,EURUSD.pi,2022-02-23 21:00:00,1.13071,1.13097,1.1106,1.11904,108053
EUR/USD,EURUSD.pi,2022-02-24 21:00:00,1.11899,1.12736,1.11657,1.12626,73178
EUR/USD,EURUSD.pi,2022-02-27 21:00:00,1.1125099999999999,1.1246,1.11244,1.12177,88235
EUR/USD,EURUSD.pi,2022-02-28 21:00:00,1.12181,1.12327,1.10894,1.11248,74231
EUR/USD,EURUSD.pi,2022-03-01 21:00:00,1.1125099999999999,1.11429,1.10571,1.1117,81062
EUR/USD,EURUSD.pi,2022-03-02 21:00:00,1.11174,1.11214,1.10332,1.10658,66108
EUR/USD,EURUSD.pi,2022-03-03 21:00:00,1.1066,1.10672,1.08853,1.09152,83749
EUR/USD,EURUSD.pi,2022-03-06 21:00:00,1.09223,1.09317,1.08057,1.08533,106934
EUR/USD,EURUSD.pi,2022-03-07 21:00:00,1.08535,1.09579,1.0848,1.09025,102083
EUR/USD,EURUSD.pi,2022-03-08 21:00:00,1.09025,1.10946,1.08896,1.10749,77654
EUR/USD,EURUSD.pi,2022-03-09 21:00:00,1.10746,1.11206,1.09758,1.09812,80857
EUR/USD,EURUSD.pi,2022-03-10 21:00:00,1.09817,1.10432,1.09016,1.09059,77234
EUR/USD,EURUSD.pi,2022-03-13 21:00:00,1.09211,1.09933,1.09001,1.09398,69076
EUR/USD,EURUSD.pi,2022-03-14 21:00:00,1.09396,1.10193,1.09256,1.09547,74627
EUR/USD,EURUSD.pi,2022-03-15 21:00:00,1.09534,1.10463,1.09478,1.10344,81501
EUR/USD,EURUSD.pi,2022-03-16 21:00:00,1.10344,1.1137,1.10077,1.10911,62746
EUR/USD,EURUSD.pi,2022-03-17 21:00:00,1.10909,1.11181,1.10026,1.10491,61018
EUR/USD,EURUSD.pi,2022-03-20 21:00:00,1.10602,1.10696,1.10098,1.10151,54978
EUR/USD,EURUSD.pi,2022-03-21 21:00:00,1.10158,1.10453,1.09604,1.10266,61294
EUR/USD,EURUSD.pi,2022-03-22 21:00:00,1.10254,1.10435,1.09636,1.10035,52363
EUR/USD,EURUSD.pi,2022-03-23 21:00:00,1.10028,1.10134,1.09656,1.09964,56677
EUR/USD,EURUSD.pi,2022-03-24 21:00:00,1.09959,1.10373,1.09804,1.09821,59081
EUR/USD,EURUSD.pi,2022-03-27 21:00:00,1.09849,1.09991,1.09444,1.09795,67690
EUR/USD,EURUSD.pi,2022-03-28 21:00:00,1.09793,1.11366,1.09693,1.10856,78923
EUR/USD,EURUSD.pi,2022-03-29 21:00:00,1.10859,1.11705,1.10779,1.11572,71884
EUR/USD,EURUSD.pi,2022-03-30 21:00:00,1.11572,1.11843,1.10605,1.10662,70167
EUR/USD,EURUSD.pi,2022-03-31 21:00:00,1.10662,1.10757,1.10275,1.10343,59458
EUR/USD,EURUSD.pi,2022-04-03 21:00:00,1.10326,1.1054,1.09601,1.09707,47757
EUR/USD,EURUSD.pi,2022-04-04 21:00:00,1.09712,1.09882,1.08996,1.09043,51063
EUR/USD,EURUSD.pi,2022-04-05 21:00:00,1.09043,1.09373,1.0874,1.08916,61662
EUR/USD,EURUSD.pi,2022-04-06 21:00:00,1.08914,1.09379,1.08645,1.08775,57748
EUR/USD,EURUSD.pi,2022-04-07 21:00:00,1.08757,1.08911,1.0836,1.08759,51175
EUR/USD,EURUSD.pi,2022-04-10 21:00:00,1.0919699999999999,1.09328,1.08723,1.0883,53943
EUR/USD,EURUSD.pi,2022-04-11 21:00:00,1.08828,1.09032,1.08208,1.08272,62957
EUR/USD,EURUSD.pi,2022-04-12 21:00:00,1.08276,1.08938,1.08086,1.08807,57400
EUR/USD,EURUSD.pi,2022-04-13 21:00:00,1.08798,1.09229,1.07571,1.08273,65683
EUR/USD,EURUSD.pi,2022-04-14 21:00:00,1.08272,1.08297,1.0796000000000001,1.08064,42247
EUR/USD,EURUSD.pi,2022-04-17 21:00:00,1.08036,1.0821,1.07694,1.07816,37148
EUR/USD,EURUSD.pi,2022-04-18 21:00:00,1.07821,1.08137,1.07609,1.07867,55337
EUR/USD,EURUSD.pi,2022-04-19 21:00:00,1.07869,1.0866500000000001,1.07836,1.08505,63184
EUR/USD,EURUSD.pi,2022-04-20 21:00:00,1.08505,1.09358,1.08231,1.08393,67391
EUR/USD,EURUSD.pi,2022-04-21 21:00:00,1.08414,1.08511,1.07694,1.07894,66227
EUR/USD,EURUSD.pi,2022-04-24 21:00:00,1.08085,1.08136,1.06963,1.07119,77841
EUR/USD,EURUSD.pi,2022-04-25 21:00:00,1.07125,1.07382,1.06353,1.06365,65208
EUR/USD,EURUSD.pi,2022-04-26 21:00:00,1.06371,1.06543,1.05141,1.05541,73792
EUR/USD,EURUSD.pi,2022-04-27 21:00:00,1.05541,1.05642,1.04711,1.04978,82278
EUR/USD,EURUSD.pi,2022-04-28 21:00:00,1.04973,1.05924,1.04906,1.05378,71990
EUR/USD,EURUSD.pi,2022-05-01 21:00:00,1.05513,1.05681,1.04899,1.05024,60836
