ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
GBP/JPY,GBPJPY.pi,2022-01-02 21:00:00,155.613,155.917,154.887,155.428,55635
GBP/JPY,GBPJPY.pi,2022-01-03 21:00:00,155.239,157.427,155.158,157.114,70931
GBP/JPY,GBPJPY.pi,2022-01-04 21:00:00,157.101,157.76,156.572,157.343,73349
GBP/JPY,GBPJPY.pi,2022-01-05 21:00:00,157.34,157.466,156.084,156.7,78307
GBP/JPY,GBPJPY.pi,2022-01-06 21:00:00,156.628,157.18,156.617,156.921,65799
GBP/JPY,GBPJPY.pi,2022-01-09 21:00:00,156.909,157.372,155.949,156.351,74295
GBP/JPY,GBPJPY.pi,2022-01-10 21:00:00,156.312,157.308,156.108,157.195,73356
GBP/JPY,GBPJPY.pi,2022-01-11 21:00:00,157.199,157.706,156.759,157.026,72916
GBP/JPY,GBPJPY.pi,2022-01-12 21:00:00,157.017,157.456,156.308,156.473,77571
GBP/JPY,GBPJPY.pi,2022-01-13 21:00:00,156.544,156.613,155.453,156.085,90078
GBP/JPY,GBPJPY.pi,2022-01-16 21:00:00,155.938,156.712,155.938,156.385,58584
GBP/JPY,GBPJPY.pi,2022-01-17 21:00:00,156.313,156.898,155.471,155.769,96867
GBP/JPY,GBPJPY.pi,2022-01-18 21:00:00,155.754,156.226,155.398,155.607,89789
GBP/JPY,GBPJPY.pi,2022-01-19 21:00:00,155.61,156.059,155.128,155.143,89580
GBP/JPY,GBPJPY.pi,2022-01-20 21:00:00,155.122,155.213,153.905,154.056,103681
GBP/JPY,GBPJPY.pi,2022-01-23 21:00:00,153.976,154.482,152.899,153.6,105529
GBP/JPY,GBPJPY.pi,2022-01-24 21:00:00,153.6,154.009,153.115,153.733,102086
GBP/JPY,GBPJPY.pi,2022-01-25 21:00:00,153.629,154.736,153.525,154.244,86880
GBP/JPY,GBPJPY.pi,2022-01-26 21:00:00,154.171,154.714,153.816,154.369,114095
GBP/JPY,GBPJPY.pi,2022-01-27 21:00:00,154.368,154.957,154.09,154.506,101557
GBP/JPY,GBPJPY.pi,2022-01-30 21:00:00,154.363,155.328,154.363,154.695,90197
GBP/JPY,GBPJPY.pi,2022-01-31 21:00:00,154.712,155.202,154.482,155.052,82285
GBP/JPY,GBPJPY.pi,2022-02-01 21:00:00,155.093,155.432,154.804,155.348,71186
GBP/JPY,GBPJPY.pi,2022-02-02 21:00:00,155.148,156.499,155.043,156.303,90679
GBP/JPY,GBPJPY.pi,2022-02-03 21:00:00,156.243,156.5,155.559,155.848,88372
GBP/JPY,GBPJPY.pi,2022-02-06 21:00:00,156.055,156.163,155.132,155.754,84133
GBP/JPY,GBPJPY.pi,2022-02-07 21:00:00,155.759,156.715,155.585,156.424,76295
GBP/JPY,GBPJPY.pi,2022-02-08 21:00:00,156.42,156.852,156.192,156.251,69544
GBP/JPY,GBPJPY.pi,2022-02-09 21:00:00,156.209,158.061,156.209,157.208,95874
GBP/JPY,GBPJPY.pi,2022-02-10 21:00:00,157.2,157.713,155.854,156.356,99746
GBP/JPY,GBPJPY.pi,2022-02-13 21:00:00,156.242,156.857,155.299,156.242,110840
GBP/JPY,GBPJPY.pi,2022-02-14 21:00:00,156.22,156.822,155.961,156.436,89276
GBP/JPY,GBPJPY.pi,2022-02-15 21:00:00,156.449,157.109,156.346,156.857,85259
GBP/JPY,GBPJPY.pi,2022-02-16 21:00:00,156.881,156.989,156.05,156.475,99515
GBP/JPY,GBPJPY.pi,2022-02-17 21:00:00,156.448,157.285,156.155,156.155,92465
GBP/JPY,GBPJPY.pi,2022-02-20 21:00:00,156.267,156.742,155.954,156.035,72351
GBP/JPY,GBPJPY.pi,2022-02-21 21:00:00,156.035,156.504,155.508,156.256,109147
GBP/JPY,GBPJPY.pi,2022-02-22 21:00:00,156.215,156.771,155.597,155.682,78175
GBP/JPY,GBPJPY.pi,2022-02-23 21:00:00,155.684,155.883,153.369,154.472,153524
GBP/JPY,GBPJPY.pi,2022-02-24 21:00:00,154.41,155.177,154.15,154.928,109048
