ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-02 21:00:00,15886.84,16069.64,15854.44,16054.44,22641
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-03 21:00:00,16045.94,16201.14,16007.44,16141.44,22844
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-04 21:00:00,16126.92,16285.62,16076.42,16161.92,22664
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-05 21:00:00,16105.88,16155.08,15965.38,16041.88,33978
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-06 21:00:00,16053.96,16080.46,15860.16,15963.96,30001
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-09 21:00:00,15907.33,16013.53,15722.53,15843.83,33099
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-10 21:00:00,15874.47,15992.97,15822.47,15986.97,29388
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-11 21:00:00,15992.49,16075.39,15949.19,16000.49,26789
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-12 21:00:00,15993.39,16088.09,15931.59,15958.39,25282
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-13 21:00:00,15924.74,15969.94,15831.44,15905.74,34359
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-16 21:00:00,15937.08,15968.48,15889.28,15942.08,16425
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-17 21:00:00,15938.46,15964.46,15667.16,15808.46,34766
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-18 21:00:00,15753.04,15898.84,15623.14,15816.14,34230
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-19 21:00:00,15772.5,15921.2,15725.5,15861.5,30798
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-20 21:00:00,15738.83,15742.93,15454.63,15467.93,42366
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-23 21:00:00,15526.64,15587.34,14838.34,15101.14,48278
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-24 21:00:00,15236.49,15262.99,14980.19,15252.49,46996
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-25 21:00:00,15190.42,15553.42,15130.92,15414.42,38692
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-26 21:00:00,15412.38,15584.73,15044.03,15405.03,48945
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-27 21:00:00,15472.87,15509.42,15120.12,15318.42,43932
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-30 21:00:00,15405.67,15567.47,15336.97,15528.27,35142
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-01-31 21:00:00,15538.21,15686.41,15480.21,15614.71,30667
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-01 21:00:00,15675.65,15737.35,15588.85,15634.65,28576
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-02 21:00:00,15557.98,15601.68,15309.98,15323.98,33621
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-03 21:00:00,15408.65,15500.15,15057.35,15209.15,36159
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-06 21:00:00,15120.98,15259.48,15075.18,15244.98,33879
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-07 21:00:00,15221.89,15341.09,15158.59,15241.39,31021
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-08 21:00:00,15303.15,15518.75,15291.25,15503.75,24743
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-09 21:00:00,15525.23,15615.43,15392.73,15399.73,34235
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-10 21:00:00,15348.96,15507.26,15154.56,15169.06,37756
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-13 21:00:00,15243.53,15244.43,14836.23,15050.03,40916
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-14 21:00:00,15093.71,15420.91,15005.71,15408.71,34707
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-15 21:00:00,15401.7,15537.4,15319.9,15421.2,32386
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-16 21:00:00,15396.01,15433.36,15174.71,15176.71,33128
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-17 21:00:00,15178.9,15352.9,14981.15,15085.0,36266
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-20 21:00:00,14943.82,15228.82,14429.42,14501.42,36001
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-21 21:00:00,14430.54,14777.29,14300.04,14675.64,43820
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-22 21:00:00,14740.32,14895.62,14501.97,14525.97,35278
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-23 21:00:00,14489.7,14495.2,13786.2,14240.3,56246
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-24 21:00:00,14258.85,14605.45,14019.1,14537.45,43652
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-27 21:00:00,14196.07,14511.32,13935.57,14247.67,45808
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-02-28 21:00:00,14315.39,14469.39,13755.99,13787.99,44102
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-03-01 21:00:00,13853.09,14111.84,13704.34,13981.19,41721
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-03-02 21:00:00,13972.47,14065.97,13626.57,13639.07,39890
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-03-03 21:00:00,13590.26,13607.26,13007.86,13008.36,46344
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-03-06 21:00:00,12820.74,13141.99,12427.49,12589.84,47911
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-03-07 21:00:00,12605.07,13336.32,12462.57,13082.67,70284
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-03-08 21:00:00,13041.95,13988.55,12966.45,13858.05,65362
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-03-09 21:00:00,13838.9,13849.95,13335.7,13551.55,57039
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-03-10 21:00:00,13512.27,14094.52,13271.77,13557.87,58933
