ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-02 21:00:00,16364.8,16509.8,16294.88,16496.18,113095
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-03 21:00:00,16497.75,16563.6,16140.95,16260.25,129442
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-04 21:00:00,16261.78,16267.28,15752.78,15754.28,143913
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-05 21:00:00,15760.19,15895.39,15601.14,15792.44,177373
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-06 21:00:00,15805.74,15852.24,15510.81,15571.86,154026
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-09 21:00:00,15592.84,15669.19,15153.54,15614.47,165396
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-10 21:00:00,15620.24,15840.24,15477.31,15826.61,160748
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-11 21:00:00,15829.3,16010.37,15763.77,15895.17,150792
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-12 21:00:00,15898.26,15979.84,15460.34,15501.66,149037
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-13 21:00:00,15506.37,15619.37,15314.34,15619.12,178442
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-16 21:00:00,15624.74,15654.99,15510.24,15559.92,86780
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-17 21:00:00,15585.2,15605.45,15174.15,15241.08,177881
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-18 21:00:00,15248.13,15373.08,15014.75,15037.63,184132
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-19 21:00:00,15044.2,15343.15,14650.08,14723.33,174257
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-20 21:00:00,14727.5,14861.32,14412.0,14416.0,195293
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-23 21:00:00,14413.78,14584.03,13711.73,14517.53,206673
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-24 21:00:00,14488.33,14503.33,13895.58,13926.2,202825
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-25 21:00:00,13956.67,14644.25,13956.67,14159.55,186943
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-26 21:00:00,14201.01,14414.71,13851.26,14114.38,213688
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-27 21:00:00,14168.9,14445.65,13836.12,14434.52,200822
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-30 21:00:00,14456.27,14919.02,14358.65,14868.15,172004
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-01-31 21:00:00,14876.2,15141.57,14735.15,15121.22,153020
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-01 21:00:00,15134.97,15265.07,14832.47,14868.09,152429
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-02 21:00:00,14849.99,14874.46,14462.56,14809.61,167603
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-03 21:00:00,14769.24,14829.34,14367.59,14645.11,181045
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-06 21:00:00,14701.81,14810.01,14516.76,14606.69,174990
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-07 21:00:00,14605.32,14780.39,14473.14,14749.44,161248
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-08 21:00:00,14747.6,15071.6,14745.97,15057.97,137507
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-09 21:00:00,15063.22,15064.59,14626.37,14701.42,160508
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-10 21:00:00,14699.52,14767.47,14183.47,14258.02,175668
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-13 21:00:00,14249.52,14392.97,14030.49,14257.27,196669
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-14 21:00:00,14258.44,14613.89,14223.44,14585.56,167580
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-15 21:00:00,14584.05,14664.5,14378.1,14589.9,161481
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-16 21:00:00,14587.23,14615.61,14131.23,14151.98,169603
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-17 21:00:00,14151.62,14294.99,13903.57,13988.12,179465
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-20 21:00:00,13939.94,14155.41,13715.01,13733.14,121446
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-21 21:00:00,13645.26,14106.46,13580.51,13919.51,212630
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2022-02-22 21:00:00,13920.3,14067.25,13470.9,13481.65,173149
