ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
NZD/USD,NZDUSD.pi,2022-01-02 21:00:00,0.68277,0.68559,0.67741,0.67834,33445
NZD/USD,NZDUSD.pi,2022-01-03 21:00:00,0.67827,0.68238,0.67643,0.6805,30363
NZD/USD,NZDUSD.pi,2022-01-04 21:00:00,0.68043,0.68367,0.67894,0.67941,36447
NZD/USD,NZDUSD.pi,2022-01-05 21:00:00,0.67941,0.67963,0.67327,0.67466,40225
NZD/USD,NZDUSD.pi,2022-01-06 21:00:00,0.67461,0.67905,0.67347,0.6771,33980
NZD/USD,NZDUSD.pi,2022-01-09 21:00:00,0.67743,0.67827,0.67354,0.67602,41971
NZD/USD,NZDUSD.pi,2022-01-10 21:00:00,0.67595,0.67903,0.67395,0.6785,39070
NZD/USD,NZDUSD.pi,2022-01-11 21:00:00,0.67856,0.68569,0.67731,0.68471,37695
NZD/USD,NZDUSD.pi,2022-01-12 21:00:00,0.68475,0.68899,0.68367,0.68596,38640
NZD/USD,NZDUSD.pi,2022-01-13 21:00:00,0.68591,0.68731,0.67914,0.67925,45319
NZD/USD,NZDUSD.pi,2022-01-16 21:00:00,0.68018,0.68177,0.67866,0.68059,29992
NZD/USD,NZDUSD.pi,2022-01-17 21:00:00,0.68063,0.68074,0.67521,0.67682,47972
NZD/USD,NZDUSD.pi,2022-01-18 21:00:00,0.67682,0.68108,0.67632,0.67812,46523
NZD/USD,NZDUSD.pi,2022-01-19 21:00:00,0.67796,0.68052,0.67493,0.67548,45295
NZD/USD,NZDUSD.pi,2022-01-20 21:00:00,0.67544,0.67583,0.6705,0.6705,57640
NZD/USD,NZDUSD.pi,2022-01-23 21:00:00,0.67127,0.67273,0.66598,0.66983,61551
NZD/USD,NZDUSD.pi,2022-01-24 21:00:00,0.66977,0.67082,0.66595,0.66853,60499
NZD/USD,NZDUSD.pi,2022-01-25 21:00:00,0.66853,0.67017,0.66377,0.66495,55800
NZD/USD,NZDUSD.pi,2022-01-26 21:00:00,0.66468,0.66598,0.65695,0.65818,66929
NZD/USD,NZDUSD.pi,2022-01-27 21:00:00,0.65816,0.65883,0.65289,0.65372,61109
NZD/USD,NZDUSD.pi,2022-01-30 21:00:00,0.65387,0.65964,0.65376,0.65747,46320
NZD/USD,NZDUSD.pi,2022-01-31 21:00:00,0.65744,0.66469,0.65654,0.66365,44304
NZD/USD,NZDUSD.pi,2022-02-01 21:00:00,0.66349,0.66614,0.66231,0.66287,38234
NZD/USD,NZDUSD.pi,2022-02-02 21:00:00,0.6628,0.66809,0.6609,0.66483,52864
NZD/USD,NZDUSD.pi,2022-02-03 21:00:00,0.66498,0.66829,0.65893,0.66304,49520
NZD/USD,NZDUSD.pi,2022-02-06 21:00:00,0.6608,0.66409,0.65986,0.66282,43321
NZD/USD,NZDUSD.pi,2022-02-07 21:00:00,0.66294,0.6653,0.66266,0.66477,37462
NZD/USD,NZDUSD.pi,2022-02-08 21:00:00,0.66462,0.66971,0.66404,0.66813,36386
NZD/USD,NZDUSD.pi,2022-02-09 21:00:00,0.66816,0.6732,0.66527,0.66712,60240
