ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-02 21:00:00,4779.48,4799.51,4756.02,4792.73,32100
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-03 21:00:00,4793.36,4816.28,4772.78,4791.49,29137
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-04 21:00:00,4791.2,4795.99,4697.2,4700.2,39360
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-05 21:00:00,4699.96,4723.25,4669.75,4701.46,65758
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-06 21:00:00,4704.78,4712.78,4661.32,4674.53,47583
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-09 21:00:00,4677.76,4688.54,4579.8,4668.26,59370
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-10 21:00:00,4670.58,4714.33,4634.62,4711.33,52561
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-11 21:00:00,4711.84,4746.38,4702.12,4724.84,43572
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-12 21:00:00,4725.52,4742.69,4649.19,4658.9,45913
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-13 21:00:00,4660.87,4673.4,4612.66,4670.74,68692
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-16 21:00:00,4672.34,4678.21,4645.59,4661.38,26806
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-17 21:00:00,4663.98,4668.61,4566.9,4583.61,65165
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-18 21:00:00,4585.38,4609.3,4524.38,4531.51,66364
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-19 21:00:00,4532.13,4600.42,4444.25,4462.63,65505
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-20 21:00:00,4462.07,4492.95,4388.66,4389.16,103964
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-23 21:00:00,4394.99,4433.77,4219.91,4414.24,120835
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-24 21:00:00,4409.18,4412.93,4283.22,4311.68,130894
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-25 21:00:00,4316.4,4452.69,4301.07,4346.65,106947
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-26 21:00:00,4353.65,4427.69,4269.9,4349.53,139733
S&P500 - MINI S&P500 FULL0926,SP500.p,2022-01-27 21:00:00,4355.67,4431.96,4272.45,4425.42,128628
