ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
USD/CHF,USDCHF.pi,2022-01-02 21:00:00,0.90958,0.91995,0.90958,0.91884,31920
USD/CHF,USDCHF.pi,2022-01-03 21:00:00,0.9188,0.91923,0.91362,0.91558,34750
USD/CHF,USDCHF.pi,2022-01-04 21:00:00,0.91534,0.91829,0.91386,0.91585,36091
USD/CHF,USDCHF.pi,2022-01-05 21:00:00,0.91533,0.92233,0.91533,0.92102,38970
USD/CHF,USDCHF.pi,2022-01-06 21:00:00,0.92088,0.9232,0.91816,0.91869,33920
USD/CHF,USDCHF.pi,2022-01-09 21:00:00,0.9177,0.9275,0.9177,0.92712,38962
USD/CHF,USDCHF.pi,2022-01-10 21:00:00,0.92717,0.92776,0.92301,0.92301,37129
USD/CHF,USDCHF.pi,2022-01-11 21:00:00,0.92295,0.92437,0.91295,0.91422,40169
USD/CHF,USDCHF.pi,2022-01-12 21:00:00,0.91433,0.91481,0.90913,0.91107,41232
USD/CHF,USDCHF.pi,2022-01-13 21:00:00,0.91108,0.91412,0.9094,0.91384,44783
USD/CHF,USDCHF.pi,2022-01-16 21:00:00,0.91093,0.91581,0.91093,0.91265,29131
USD/CHF,USDCHF.pi,2022-01-17 21:00:00,0.91246,0.91788,0.91246,0.91729,49072
USD/CHF,USDCHF.pi,2022-01-18 21:00:00,0.91733,0.91771,0.91442,0.91586,43055
USD/CHF,USDCHF.pi,2022-01-19 21:00:00,0.9158,0.91806,0.91387,0.91685,43725
USD/CHF,USDCHF.pi,2022-01-20 21:00:00,0.91654,0.91718,0.91059,0.91093,46046
USD/CHF,USDCHF.pi,2022-01-23 21:00:00,0.91065,0.91581,0.91065,0.91206,48137
USD/CHF,USDCHF.pi,2022-01-24 21:00:00,0.91206,0.92031,0.91205,0.9178,42348
USD/CHF,USDCHF.pi,2022-01-25 21:00:00,0.91773,0.92458,0.91595,0.92279,43557
USD/CHF,USDCHF.pi,2022-01-26 21:00:00,0.92281,0.93376,0.92148,0.9302,51791
USD/CHF,USDCHF.pi,2022-01-27 21:00:00,0.93045,0.93292,0.92874,0.929,45468
USD/CHF,USDCHF.pi,2022-01-30 21:00:00,0.92862,0.93426,0.9251,0.92703,42942
USD/CHF,USDCHF.pi,2022-01-31 21:00:00,0.92697,0.92767,0.92036,0.9209,40887
USD/CHF,USDCHF.pi,2022-02-01 21:00:00,0.92085,0.92216,0.91771,0.91785,36614
USD/CHF,USDCHF.pi,2022-02-02 21:00:00,0.91785,0.92349,0.91765,0.91905,52275
USD/CHF,USDCHF.pi,2022-02-03 21:00:00,0.91905,0.92583,0.919,0.9254,51429
USD/CHF,USDCHF.pi,2022-02-06 21:00:00,0.92377,0.92613,0.9221,0.9236,44542
USD/CHF,USDCHF.pi,2022-02-07 21:00:00,0.92362,0.92624,0.92252,0.92395,39083
USD/CHF,USDCHF.pi,2022-02-08 21:00:00,0.92393,0.92542,0.92212,0.9242,35584
USD/CHF,USDCHF.pi,2022-02-09 21:00:00,0.9242,0.92966,0.92265,0.9252,54166
USD/CHF,USDCHF.pi,2022-02-10 21:00:00,0.9239,0.92864,0.9237,0.92536,59801
USD/CHF,USDCHF.pi,2022-02-13 21:00:00,0.92399,0.92721,0.92346,0.92405,54314
USD/CHF,USDCHF.pi,2022-02-14 21:00:00,0.92405,0.92737,0.92261,0.92396,48974
USD/CHF,USDCHF.pi,2022-02-15 21:00:00,0.92395,0.92603,0.92056,0.9221,43868
USD/CHF,USDCHF.pi,2022-02-16 21:00:00,0.9221,0.92285,0.91878,0.91957,56078
USD/CHF,USDCHF.pi,2022-02-17 21:00:00,0.91903,0.92178,0.91902,0.91997,45936
USD/CHF,USDCHF.pi,2022-02-20 21:00:00,0.91994,0.92158,0.91499,0.91576,35348
USD/CHF,USDCHF.pi,2022-02-21 21:00:00,0.91574,0.92273,0.91495,0.92086,56831
USD/CHF,USDCHF.pi,2022-02-22 21:00:00,0.919,0.92184,0.91676,0.9173,39966
USD/CHF,USDCHF.pi,2022-02-23 21:00:00,0.91716,0.92888,0.91696,0.925,92323
USD/CHF,USDCHF.pi,2022-02-24 21:00:00,0.92415,0.92838,0.92281,0.92509,62123
USD/CHF,USDCHF.pi,2022-02-27 21:00:00,0.92595,0.92771,0.91657,0.91664,71415
USD/CHF,USDCHF.pi,2022-02-28 21:00:00,0.9165,0.92047,0.91496,0.91801,62705
USD/CHF,USDCHF.pi,2022-03-01 21:00:00,0.91795,0.92394,0.9166,0.92005,64117
USD/CHF,USDCHF.pi,2022-03-02 21:00:00,0.92005,0.92163,0.91696,0.91697,52789
USD/CHF,USDCHF.pi,2022-03-03 21:00:00,0.91695,0.921,0.91605,0.91605,69764
USD/CHF,USDCHF.pi,2022-03-06 21:00:00,0.91645,0.92717,0.91616,0.92542,80054
USD/CHF,USDCHF.pi,2022-03-07 21:00:00,0.92547,0.93063,0.92479,0.92757,79087
USD/CHF,USDCHF.pi,2022-03-08 21:00:00,0.92735,0.9302,0.92498,0.926,59615
USD/CHF,USDCHF.pi,2022-03-09 21:00:00,0.926,0.93087,0.92495,0.92812,61874
USD/CHF,USDCHF.pi,2022-03-10 21:00:00,0.928,0.93495,0.92795,0.9332,58869
