ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
USD/JPY,USDJPY.pi,2022-01-02 21:00:00,115.121,115.361,114.945,115.322,32967
USD/JPY,USDJPY.pi,2022-01-03 21:00:00,115.317,116.34,115.257,116.123,47960
USD/JPY,USDJPY.pi,2022-01-04 21:00:00,116.068,116.237,115.617,116.069,47079
USD/JPY,USDJPY.pi,2022-01-05 21:00:00,116.068,116.179,115.624,115.822,52931
USD/JPY,USDJPY.pi,2022-01-06 21:00:00,115.822,116.043,115.493,115.516,43508
USD/JPY,USDJPY.pi,2022-01-09 21:00:00,115.582,115.846,115.038,115.126,47807
USD/JPY,USDJPY.pi,2022-01-10 21:00:00,115.116,115.675,115.116,115.292,47820
USD/JPY,USDJPY.pi,2022-01-11 21:00:00,115.289,115.461,114.377,114.629,46978
USD/JPY,USDJPY.pi,2022-01-12 21:00:00,114.631,114.7,113.995,114.156,48297
USD/JPY,USDJPY.pi,2022-01-13 21:00:00,114.151,114.262,113.479,114.193,60333
USD/JPY,USDJPY.pi,2022-01-16 21:00:00,114.095,114.644,114.004,114.596,33376
USD/JPY,USDJPY.pi,2022-01-17 21:00:00,114.587,115.05,114.445,114.583,57749
USD/JPY,USDJPY.pi,2022-01-18 21:00:00,114.58,114.781,114.202,114.319,55303
USD/JPY,USDJPY.pi,2022-01-19 21:00:00,114.317,114.541,113.958,114.086,54919
USD/JPY,USDJPY.pi,2022-01-20 21:00:00,114.084,114.141,113.596,113.676,66216
USD/JPY,USDJPY.pi,2022-01-23 21:00:00,113.595,113.996,113.464,113.866,66448
USD/JPY,USDJPY.pi,2022-01-24 21:00:00,113.871,114.151,113.663,113.841,65688
USD/JPY,USDJPY.pi,2022-01-25 21:00:00,113.836,114.69,113.773,114.56,53818
USD/JPY,USDJPY.pi,2022-01-26 21:00:00,114.54,115.485,114.469,115.35,71166
USD/JPY,USDJPY.pi,2022-01-27 21:00:00,115.349,115.68,115.117,115.293,64699
USD/JPY,USDJPY.pi,2022-01-30 21:00:00,115.256,115.587,114.918,115.026,57284
USD/JPY,USDJPY.pi,2022-01-31 21:00:00,115.026,115.188,114.561,114.616,55218
USD/JPY,USDJPY.pi,2022-02-01 21:00:00,114.631,114.799,114.143,114.434,47078
USD/JPY,USDJPY.pi,2022-02-02 21:00:00,114.337,114.983,114.305,114.948,58560
USD/JPY,USDJPY.pi,2022-02-03 21:00:00,114.946,115.426,114.769,115.18,53826
USD/JPY,USDJPY.pi,2022-02-06 21:00:00,115.199,115.372,114.91,115.046,53057
USD/JPY,USDJPY.pi,2022-02-07 21:00:00,115.046,115.624,115.046,115.53,45650
USD/JPY,USDJPY.pi,2022-02-08 21:00:00,115.529,115.674,115.317,115.432,45201
USD/JPY,USDJPY.pi,2022-02-09 21:00:00,115.387,116.332,115.387,115.945,64645
USD/JPY,USDJPY.pi,2022-02-10 21:00:00,116.003,116.17,115.005,115.321,66631
USD/JPY,USDJPY.pi,2022-02-13 21:00:00,115.327,115.744,115.006,115.511,76677
USD/JPY,USDJPY.pi,2022-02-14 21:00:00,115.506,115.87,115.254,115.567,59281
USD/JPY,USDJPY.pi,2022-02-15 21:00:00,115.584,115.785,115.35,115.466,53889
USD/JPY,USDJPY.pi,2022-02-16 21:00:00,115.461,115.531,114.841,114.928,71532
USD/JPY,USDJPY.pi,2022-02-17 21:00:00,114.929,115.293,114.783,114.992,63555
USD/JPY,USDJPY.pi,2022-02-20 21:00:00,114.98,115.118,114.701,114.735,51315
USD/JPY,USDJPY.pi,2022-02-21 21:00:00,114.735,115.237,114.495,115.046,72888
USD/JPY,USDJPY.pi,2022-02-22 21:00:00,115.026,115.196,114.922,114.936,39631
USD/JPY,USDJPY.pi,2022-02-23 21:00:00,114.931,115.69,114.405,115.476,93712
USD/JPY,USDJPY.pi,2022-02-24 21:00:00,115.471,115.757,115.143,115.521,61589
USD/JPY,USDJPY.pi,2022-02-27 21:00:00,115.175,115.743,114.858,114.971,66005
USD/JPY,USDJPY.pi,2022-02-28 21:00:00,114.971,115.284,114.697,114.88,55132
