ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
SILVER-AUD,XAGAUD.pi,2023-01-19 21:00:00,34.443,34.678,34.184,34.299,65410
SILVER-AUD,XAGAUD.pi,2023-01-22 21:00:00,34.214,34.553,32.586,33.349,58077
SILVER-AUD,XAGAUD.pi,2023-01-23 21:00:00,33.326,33.807,33.16,33.551,42909
SILVER-AUD,XAGAUD.pi,2023-01-24 21:00:00,33.497,33.678,32.959,33.603,45212
SILVER-AUD,XAGAUD.pi,2023-01-25 21:00:00,33.602,34.01,33.158,33.575,57072
SILVER-AUD,XAGAUD.pi,2023-01-26 21:00:00,33.525,33.669,32.855,33.133,49153
SILVER-AUD,XAGAUD.pi,2023-01-29 21:00:00,33.114,33.612,33.114,33.404,58948
SILVER-AUD,XAGAUD.pi,2023-01-30 21:00:00,33.349,33.7,32.812,33.587,60109
SILVER-AUD,XAGAUD.pi,2023-01-31 21:00:00,33.596,33.674,33.066,33.525,60351
SILVER-AUD,XAGAUD.pi,2023-02-01 21:00:00,33.566,34.486,33.065,33.13,70116
SILVER-AUD,XAGAUD.pi,2023-02-02 21:00:00,33.069,33.425,32.009,32.241,68753
SILVER-AUD,XAGAUD.pi,2023-02-05 21:00:00,32.105,32.644,32.085,32.296,71075
SILVER-AUD,XAGAUD.pi,2023-02-06 21:00:00,32.301,32.401,31.789,31.808,75040
SILVER-AUD,XAGAUD.pi,2023-02-07 21:00:00,31.803,32.327,31.803,32.198,64347
SILVER-AUD,XAGAUD.pi,2023-02-08 21:00:00,32.179,32.308,31.569,31.633,60991
SILVER-AUD,XAGAUD.pi,2023-02-09 21:00:00,31.625,32.091,31.531,31.776,70326
SILVER-AUD,XAGAUD.pi,2023-02-12 21:00:00,31.742,31.823,31.265,31.509,61857
SILVER-AUD,XAGAUD.pi,2023-02-13 21:00:00,31.538,31.595,31.052,31.215,70826
SILVER-AUD,XAGAUD.pi,2023-02-14 21:00:00,31.253,31.48,31.016,31.294,57385
