ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
SILVER-EUR,XAGEUR.pi,2023-01-19 21:00:00,21.98,22.179,21.905,22.013,49653
SILVER-EUR,XAGEUR.pi,2023-01-22 21:00:00,21.955,22.159,20.968,21.559,45382
SILVER-EUR,XAGEUR.pi,2023-01-23 21:00:00,21.542,21.831,21.405,21.707,41436
SILVER-EUR,XAGEUR.pi,2023-01-24 21:00:00,21.671,21.923000000000002,21.448,21.862,44068
SILVER-EUR,XAGEUR.pi,2023-01-25 21:00:00,21.873,22.25,21.614,21.932,44429
SILVER-EUR,XAGEUR.pi,2023-01-26 21:00:00,21.895,22.014,21.477,21.681,38580
SILVER-EUR,XAGEUR.pi,2023-01-29 21:00:00,21.637,21.876,21.599,21.734,45817
SILVER-EUR,XAGEUR.pi,2023-01-30 21:00:00,21.691,21.868,21.188,21.814,46394
SILVER-EUR,XAGEUR.pi,2023-01-31 21:00:00,21.807,21.858,21.4,21.771,47766
SILVER-EUR,XAGEUR.pi,2023-02-01 21:00:00,21.79,22.468,21.458,21.493,56753
SILVER-EUR,XAGEUR.pi,2023-02-02 21:00:00,21.448,21.655,20.55,20.678,55481
SILVER-EUR,XAGEUR.pi,2023-02-05 21:00:00,20.569,20.959,20.561,20.73,55187
SILVER-EUR,XAGEUR.pi,2023-02-06 21:00:00,20.735,20.941,20.616,20.636,58620
SILVER-EUR,XAGEUR.pi,2023-02-07 21:00:00,20.648,20.951,20.648,20.809,48506
SILVER-EUR,XAGEUR.pi,2023-02-08 21:00:00,20.799,20.961,20.407,20.435,49032
SILVER-EUR,XAGEUR.pi,2023-02-09 21:00:00,20.427,20.776,20.354,20.596,56204
SILVER-EUR,XAGEUR.pi,2023-02-12 21:00:00,20.56,20.642,20.326,20.469,46915
SILVER-EUR,XAGEUR.pi,2023-02-13 21:00:00,20.489,20.515,20.141,20.317,55809
SILVER-EUR,XAGEUR.pi,2023-02-14 21:00:00,20.335,20.378,19.985,20.214,44807
SILVER-EUR,XAGEUR.pi,2023-02-15 21:00:00,20.205,20.355,20.013,20.179,46013
SILVER-EUR,XAGEUR.pi,2023-02-16 21:00:00,20.189,20.376,19.893,20.273,46371
SILVER-EUR,XAGEUR.pi,2023-02-19 21:00:00,20.22,20.471,20.169,20.39,30968
SILVER-EUR,XAGEUR.pi,2023-02-20 21:00:00,20.37,20.605,20.271,20.435,47977
SILVER-EUR,XAGEUR.pi,2023-02-21 21:00:00,20.45,20.641,20.221,20.243,42152
SILVER-EUR,XAGEUR.pi,2023-02-22 21:00:00,20.23,20.398,20.055,20.071,43909
SILVER-EUR,XAGEUR.pi,2023-02-23 21:00:00,20.08,20.169,19.647,19.648,43301
SILVER-EUR,XAGEUR.pi,2023-02-26 21:00:00,19.621,19.74,19.376,19.426,41794
SILVER-EUR,XAGEUR.pi,2023-02-27 21:00:00,19.397,19.822,19.262,19.667,40920
SILVER-EUR,XAGEUR.pi,2023-02-28 21:00:00,19.72,19.949,19.589,19.663,43365
SILVER-EUR,XAGEUR.pi,2023-03-01 21:00:00,19.631,19.745,19.473,19.703,42907
SILVER-EUR,XAGEUR.pi,2023-03-02 21:00:00,19.659,19.987,19.633,19.978,39432
SILVER-EUR,XAGEUR.pi,2023-03-05 21:00:00,19.947,20.002,19.648,19.689,38491
SILVER-EUR,XAGEUR.pi,2023-03-06 21:00:00,19.643,19.759,18.971,19.006,41019
SILVER-EUR,XAGEUR.pi,2023-03-07 21:00:00,19.006,19.143,18.892,18.956,35088
SILVER-EUR,XAGEUR.pi,2023-03-08 21:00:00,18.962,19.171,18.897,18.93,31391
SILVER-EUR,XAGEUR.pi,2023-03-09 21:00:00,18.945,19.427,18.774,19.258,41658
SILVER-EUR,XAGEUR.pi,2023-03-12 21:00:00,19.31,20.424,19.262,20.269,54305
SILVER-EUR,XAGEUR.pi,2023-03-13 21:00:00,20.262,20.495,20.025,20.191,44888
SILVER-EUR,XAGEUR.pi,2023-03-14 21:00:00,20.177,21.185,20.056,20.569,47362
SILVER-EUR,XAGEUR.pi,2023-03-15 21:00:00,20.52,20.801,20.227,20.414,43758
SILVER-EUR,XAGEUR.pi,2023-03-16 21:00:00,20.393,21.176,20.393,21.166,39039
SILVER-EUR,XAGEUR.pi,2023-03-19 21:00:00,21.08,21.338,20.75,21.005,45627
SILVER-EUR,XAGEUR.pi,2023-03-20 21:00:00,20.955,21.115,20.561,20.723,34273
