ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
SILVER-USD,XAGUSD.pi,2021-03-31 21:00:00,24.379,24.97,24.247,24.958,217110
SILVER-USD,XAGUSD.pi,2021-04-04 21:00:00,24.963,25.074,24.599,24.868,76112
SILVER-USD,XAGUSD.pi,2021-04-05 21:00:00,24.871,25.295,24.763,25.138,177039
SILVER-USD,XAGUSD.pi,2021-04-06 21:00:00,25.144,25.271,24.849,25.114,184818
SILVER-USD,XAGUSD.pi,2021-04-07 21:00:00,25.129,25.612,24.961,25.44,179100
SILVER-USD,XAGUSD.pi,2021-04-08 21:00:00,25.458,25.497,24.98,25.255,190049
SILVER-USD,XAGUSD.pi,2021-04-11 21:00:00,25.225,25.27,24.701999999999998,24.802,201659
SILVER-USD,XAGUSD.pi,2021-04-12 21:00:00,24.803,25.477,24.679,25.333,215529
SILVER-USD,XAGUSD.pi,2021-04-13 21:00:00,25.332,25.529,25.194,25.401,191659
SILVER-USD,XAGUSD.pi,2021-04-14 21:00:00,25.395,25.986,25.317,25.833,223484
SILVER-USD,XAGUSD.pi,2021-04-15 21:00:00,25.819,26.3,25.744,25.954,197109
SILVER-USD,XAGUSD.pi,2021-04-18 21:00:00,25.923000000000002,26.226,25.632,25.802,227729
SILVER-USD,XAGUSD.pi,2021-04-19 21:00:00,25.806,26.088,25.689,25.813,198016
SILVER-USD,XAGUSD.pi,2021-04-20 21:00:00,25.79,26.641,25.753,26.534,130721
SILVER-USD,XAGUSD.pi,2021-04-21 21:00:00,26.502,26.583,25.969,26.121,147782
SILVER-USD,XAGUSD.pi,2021-04-22 21:00:00,26.104,26.398,25.842,25.998,127671
SILVER-USD,XAGUSD.pi,2021-04-25 21:00:00,25.967,26.214,25.844,26.146,105978
SILVER-USD,XAGUSD.pi,2021-04-26 21:00:00,26.199,26.45,26.043,26.187,105220
SILVER-USD,XAGUSD.pi,2021-04-27 21:00:00,26.234,26.296,25.826,26.11,131775
SILVER-USD,XAGUSD.pi,2021-04-28 21:00:00,26.215,26.47,25.699,26.048,126730
SILVER-USD,XAGUSD.pi,2021-04-29 21:00:00,26.102,26.189,25.795,25.892,131007
SILVER-USD,XAGUSD.pi,2021-05-02 21:00:00,25.874,26.987,25.796,26.81,89909
SILVER-USD,XAGUSD.pi,2021-05-03 21:00:00,26.881,27.109,26.082,26.416,122381
SILVER-USD,XAGUSD.pi,2021-05-04 21:00:00,26.479,26.619,26.095,26.401,100000
SILVER-USD,XAGUSD.pi,2021-05-05 21:00:00,26.478,27.451,26.162,27.221,142606
SILVER-USD,XAGUSD.pi,2021-05-06 21:00:00,27.263,27.66,27.129,27.449,157173
SILVER-USD,XAGUSD.pi,2021-05-09 21:00:00,27.498,27.875,27.229,27.246,155561
SILVER-USD,XAGUSD.pi,2021-05-10 21:00:00,27.301,27.659,27.098,27.536,152355
SILVER-USD,XAGUSD.pi,2021-05-11 21:00:00,27.611,27.687,26.945,26.966,187391
SILVER-USD,XAGUSD.pi,2021-05-12 21:00:00,27.001,27.234,26.711,27.014,174049
SILVER-USD,XAGUSD.pi,2021-05-13 21:00:00,27.074,27.478,26.811,27.397,141668
SILVER-USD,XAGUSD.pi,2021-05-16 21:00:00,27.277,28.281,27.256,28.102,151471
SILVER-USD,XAGUSD.pi,2021-05-17 21:00:00,28.158,28.74,27.998,28.124,164952
SILVER-USD,XAGUSD.pi,2021-05-18 21:00:00,28.151,28.225,27.362,27.653,227102
SILVER-USD,XAGUSD.pi,2021-05-19 21:00:00,27.722,27.997,27.389,27.681,152477
SILVER-USD,XAGUSD.pi,2021-05-20 21:00:00,27.75,28.064,27.192,27.554,155014
SILVER-USD,XAGUSD.pi,2021-05-23 21:00:00,27.55,27.898,27.453,27.719,143811
SILVER-USD,XAGUSD.pi,2021-05-24 21:00:00,27.762,28.026,27.458,27.905,146088
SILVER-USD,XAGUSD.pi,2021-05-25 21:00:00,27.963,28.224,27.595,27.625,156264
SILVER-USD,XAGUSD.pi,2021-05-26 21:00:00,27.672,27.88,27.488,27.769,141545
SILVER-USD,XAGUSD.pi,2021-05-27 21:00:00,27.844,27.967,27.391,27.9,175265
SILVER-USD,XAGUSD.pi,2021-05-30 21:00:00,27.889,28.125,27.755,27.755,88592
SILVER-USD,XAGUSD.pi,2021-05-31 21:00:00,28.012,28.55,27.818,27.836,158568
SILVER-USD,XAGUSD.pi,2021-06-01 21:00:00,27.872,28.182,27.684,28.087,137491
SILVER-USD,XAGUSD.pi,2021-06-02 21:00:00,28.152,28.228,27.025,27.37,170560
SILVER-USD,XAGUSD.pi,2021-06-03 21:00:00,27.425,27.841,27.189,27.768,159553
SILVER-USD,XAGUSD.pi,2021-06-06 21:00:00,27.76,27.947,27.473,27.813,115353
SILVER-USD,XAGUSD.pi,2021-06-07 21:00:00,27.863,27.971,27.498,27.541,139586
SILVER-USD,XAGUSD.pi,2021-06-08 21:00:00,27.604,27.994,27.51,27.696,125845
SILVER-USD,XAGUSD.pi,2021-06-09 21:00:00,27.758,28.022,27.39,27.923000000000002,165413
SILVER-USD,XAGUSD.pi,2021-06-10 21:00:00,27.972,28.279,27.888,27.909,186527
SILVER-USD,XAGUSD.pi,2021-06-13 21:00:00,27.939,28.014,27.468,27.772,170482
SILVER-USD,XAGUSD.pi,2021-06-14 21:00:00,27.852,27.888,27.391,27.589,195221
SILVER-USD,XAGUSD.pi,2021-06-15 21:00:00,27.645,27.826,26.587,26.929,219532
SILVER-USD,XAGUSD.pi,2021-06-16 21:00:00,26.884,27.237,25.765,25.845,352731
SILVER-USD,XAGUSD.pi,2021-06-17 21:00:00,25.891,26.489,25.744,25.777,286533
SILVER-USD,XAGUSD.pi,2021-06-20 21:00:00,25.769,26.077,25.543,25.874,291646
SILVER-USD,XAGUSD.pi,2021-06-21 21:00:00,25.936,26.031,25.683,25.683,200994
SILVER-USD,XAGUSD.pi,2021-06-22 21:00:00,25.756,26.29,25.748,25.831,215443
SILVER-USD,XAGUSD.pi,2021-06-23 21:00:00,25.863,26.165,25.811,25.86,188172
SILVER-USD,XAGUSD.pi,2021-06-24 21:00:00,25.915,26.296,25.908,26.101,187844
SILVER-USD,XAGUSD.pi,2021-06-27 21:00:00,26.064,26.217,25.785,26.025,186254
SILVER-USD,XAGUSD.pi,2021-06-28 21:00:00,26.065,26.111,25.517,25.692,212940
SILVER-USD,XAGUSD.pi,2021-06-29 21:00:00,25.759,26.141,25.698,26.055,186232
SILVER-USD,XAGUSD.pi,2021-06-30 21:00:00,26.073,26.397,25.94,25.953,189635
SILVER-USD,XAGUSD.pi,2021-07-01 21:00:00,26.023,26.561,25.975,26.451,204350
SILVER-USD,XAGUSD.pi,2021-07-04 21:00:00,26.465,26.614,26.375,26.465,96151
SILVER-USD,XAGUSD.pi,2021-07-05 21:00:00,26.396,26.767,26.002,26.107,248647
SILVER-USD,XAGUSD.pi,2021-07-06 21:00:00,26.145,26.431,25.981,26.095,213228
SILVER-USD,XAGUSD.pi,2021-07-07 21:00:00,26.141,26.206,25.802,25.907,279582
