ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
GOLD-AUD,XAUAUD.pi,2023-01-19 21:00:00,2792.71,2796.25,2763.05,2763.15,76066
GOLD-AUD,XAUAUD.pi,2023-01-22 21:00:00,2761.05,2769.17,2732.04,2746.23,84207
GOLD-AUD,XAUAUD.pi,2023-01-23 21:00:00,2746.25,2763.95,2739.0,2748.95,49307
GOLD-AUD,XAUAUD.pi,2023-01-24 21:00:00,2749.35,2754.8,2710.82,2739.75,52708
GOLD-AUD,XAUAUD.pi,2023-01-25 21:00:00,2738.55,2741.77,2709.75,2709.85,69734
GOLD-AUD,XAUAUD.pi,2023-01-26 21:00:00,2709.84,2721.05,2701.05,2710.35,63659
GOLD-AUD,XAUAUD.pi,2023-01-29 21:00:00,2713.85,2728.5,2704.44,2723.18,80275
GOLD-AUD,XAUAUD.pi,2023-01-30 21:00:00,2723.25,2741.85,2712.99,2732.65,77720
GOLD-AUD,XAUAUD.pi,2023-01-31 21:00:00,2733.65,2739.25,2716.85,2731.75,83800
GOLD-AUD,XAUAUD.pi,2023-02-01 21:00:00,2734.45,2745.6,2698.3,2701.4,81022
GOLD-AUD,XAUAUD.pi,2023-02-02 21:00:00,2701.7,2722.7,2678.7,2694.5,79282
GOLD-AUD,XAUAUD.pi,2023-02-05 21:00:00,2690.1,2726.0,2689.9,2712.4,72196
GOLD-AUD,XAUAUD.pi,2023-02-06 21:00:00,2710.5,2718.3,2683.4,2691.9,76252
GOLD-AUD,XAUAUD.pi,2023-02-07 21:00:00,2688.7,2711.3,2688.1,2707.9,76024
GOLD-AUD,XAUAUD.pi,2023-02-08 21:00:00,2708.1,2708.6,2679.6,2683.2,73258
GOLD-AUD,XAUAUD.pi,2023-02-09 21:00:00,2682.8,2697.0,2675.1,2695.2,72818
GOLD-AUD,XAUAUD.pi,2023-02-12 21:00:00,2695.3,2699.5,2656.3,2659.8,67330
GOLD-AUD,XAUAUD.pi,2023-02-13 21:00:00,2659.5,2675.01,2648.66,2653.5,92874
GOLD-AUD,XAUAUD.pi,2023-02-14 21:00:00,2653.6,2672.99,2651.5,2658.49,75254
GOLD-AUD,XAUAUD.pi,2023-02-15 21:00:00,2658.79,2674.35,2651.96,2668.59,80169
GOLD-AUD,XAUAUD.pi,2023-02-16 21:00:00,2671.09,2683.69,2662.68,2677.89,80126
GOLD-AUD,XAUAUD.pi,2023-02-19 21:00:00,2677.39,2679.89,2661.89,2662.89,54253
GOLD-AUD,XAUAUD.pi,2023-02-20 21:00:00,2662.99,2681.59,2660.69,2675.45,72944
