ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
GOLD-EUR,XAUEUR.pi,2023-01-19 21:00:00,1783.55,1784.9,1773.75,1773.85,65570
GOLD-EUR,XAUEUR.pi,2023-01-22 21:00:00,1772.2,1778.3,1758.85,1776.05,62988
GOLD-EUR,XAUEUR.pi,2023-01-23 21:00:00,1776.2,1784.45,1769.1,1779.1,55222
GOLD-EUR,XAUEUR.pi,2023-01-24 21:00:00,1779.25,1784.6,1766.75,1782.85,55855
GOLD-EUR,XAUEUR.pi,2023-01-25 21:00:00,1783.0,1785.3,1767.95,1770.9,54707
GOLD-EUR,XAUEUR.pi,2023-01-26 21:00:00,1769.75,1779.4,1766.05,1773.85,51578
GOLD-EUR,XAUEUR.pi,2023-01-29 21:00:00,1772.95,1778.55,1763.95,1772.1,55829
GOLD-EUR,XAUEUR.pi,2023-01-30 21:00:00,1771.55,1778.0,1753.95,1775.0,58287
GOLD-EUR,XAUEUR.pi,2023-01-31 21:00:00,1774.85,1778.55,1759.45,1774.1,59853
GOLD-EUR,XAUEUR.pi,2023-02-01 21:00:00,1775.35,1781.45,1751.35,1752.8,64563
GOLD-EUR,XAUEUR.pi,2023-02-02 21:00:00,1752.2,1760.8,1720.15,1728.3,66343
GOLD-EUR,XAUEUR.pi,2023-02-05 21:00:00,1723.8,1745.1,1723.8,1741.25,65005
GOLD-EUR,XAUEUR.pi,2023-02-06 21:00:00,1740.65,1758.1,1740.47,1746.5,69185
GOLD-EUR,XAUEUR.pi,2023-02-07 21:00:00,1745.5,1753.6,1743.6,1750.3,60020
GOLD-EUR,XAUEUR.pi,2023-02-08 21:00:00,1750.5,1754.05,1731.95,1733.55,61408
GOLD-EUR,XAUEUR.pi,2023-02-09 21:00:00,1733.0,1747.2,1728.0,1746.9,62215
GOLD-EUR,XAUEUR.pi,2023-02-12 21:00:00,1746.55,1747.9,1726.55,1728.15,56261
GOLD-EUR,XAUEUR.pi,2023-02-13 21:00:00,1728.2,1735.9,1720.1,1727.15,66606
GOLD-EUR,XAUEUR.pi,2023-02-14 21:00:00,1727.05,1732.95,1709.09,1717.49,57038
GOLD-EUR,XAUEUR.pi,2023-02-15 21:00:00,1716.69,1725.44,1712.19,1720.59,58781
GOLD-EUR,XAUEUR.pi,2023-02-16 21:00:00,1720.89,1724.89,1709.59,1722.69,58326
GOLD-EUR,XAUEUR.pi,2023-02-19 21:00:00,1721.59,1729.19,1720.19,1723.04,36608
GOLD-EUR,XAUEUR.pi,2023-02-20 21:00:00,1723.29,1728.14,1714.39,1723.34,55877
GOLD-EUR,XAUEUR.pi,2023-02-21 21:00:00,1722.19,1734.04,1720.09,1720.99,50039
GOLD-EUR,XAUEUR.pi,2023-02-22 21:00:00,1720.69,1726.49,1714.69,1719.99,54276
GOLD-EUR,XAUEUR.pi,2023-02-23 21:00:00,1719.69,1723.79,1714.77,1716.94,51509
GOLD-EUR,XAUEUR.pi,2023-02-26 21:00:00,1716.89,1718.99,1711.14,1712.84,51572
GOLD-EUR,XAUEUR.pi,2023-02-27 21:00:00,1711.59,1728.59,1701.7,1726.99,53405
GOLD-EUR,XAUEUR.pi,2023-02-28 21:00:00,1726.59,1731.24,1718.19,1721.29,60133
GOLD-EUR,XAUEUR.pi,2023-03-01 21:00:00,1721.39,1735.09,1719.64,1732.09,56613
GOLD-EUR,XAUEUR.pi,2023-03-02 21:00:00,1732.04,1745.59,1731.59,1744.49,50266
GOLD-EUR,XAUEUR.pi,2023-03-05 21:00:00,1744.99,1745.14,1728.49,1728.59,50162
GOLD-EUR,XAUEUR.pi,2023-03-06 21:00:00,1728.29,1732.04,1714.49,1718.59,49400
GOLD-EUR,XAUEUR.pi,2023-03-07 21:00:00,1718.59,1726.39,1717.64,1719.99,32232
GOLD-EUR,XAUEUR.pi,2023-03-08 21:00:00,1719.79,1735.09,1717.79,1729.89,27422
GOLD-EUR,XAUEUR.pi,2023-03-09 21:00:00,1730.14,1757.89,1724.89,1754.74,40209
GOLD-EUR,XAUEUR.pi,2023-03-12 21:00:00,1751.29,1784.09,1745.74,1782.94,57046
GOLD-EUR,XAUEUR.pi,2023-03-13 21:00:00,1783.29,1790.19,1770.79,1773.69,41451
GOLD-EUR,XAUEUR.pi,2023-03-14 21:00:00,1773.69,1838.09,1757.19,1813.39,45861
GOLD-EUR,XAUEUR.pi,2023-03-15 21:00:00,1811.29,1831.09,1800.59,1808.29,45288
GOLD-EUR,XAUEUR.pi,2023-03-16 21:00:00,1809.49,1863.24,1806.99,1863.04,42126
GOLD-EUR,XAUEUR.pi,2023-03-19 21:00:00,1856.79,1885.49,1834.09,1844.99,55939
GOLD-EUR,XAUEUR.pi,2023-03-20 21:00:00,1844.79,1851.99,1797.99,1801.59,41453
GOLD-EUR,XAUEUR.pi,2023-03-21 21:00:00,1800.94,1818.09,1795.99,1814.19,50983
GOLD-EUR,XAUEUR.pi,2023-03-22 21:00:00,1814.29,1845.09,1806.49,1840.29,51045
GOLD-EUR,XAUEUR.pi,2023-03-23 21:00:00,1839.29,1864.94,1832.84,1838.79,52665
GOLD-EUR,XAUEUR.pi,2023-03-26 21:00:00,1836.39,1837.99,1801.99,1811.49,55722
GOLD-EUR,XAUEUR.pi,2023-03-27 21:00:00,1809.8,1822.29,1801.99,1819.54,48177
GOLD-EUR,XAUEUR.pi,2023-03-28 21:00:00,1819.39,1820.79,1806.39,1811.24,48172
GOLD-EUR,XAUEUR.pi,2023-03-29 21:00:00,1810.39,1819.89,1799.49,1815.59,52257
GOLD-EUR,XAUEUR.pi,2023-03-30 21:00:00,1815.69,1824.49,1812.14,1816.19,55475
