ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
GOLD-GBP,XAUGBP.pi,2023-01-19 21:00:00,1557.82,1564.91,1552.4,1552.72,106579
GOLD-GBP,XAUGBP.pi,2023-01-22 21:00:00,1551.12,1561.21,1545.2,1559.25,91709
GOLD-GBP,XAUGBP.pi,2023-01-23 21:00:00,1557.73,1576.76,1557.73,1568.75,86321
GOLD-GBP,XAUGBP.pi,2023-01-24 21:00:00,1568.85,1573.26,1559.26,1567.82,88790
GOLD-GBP,XAUGBP.pi,2023-01-25 21:00:00,1568.4,1571.38,1553.31,1553.34,86499
GOLD-GBP,XAUGBP.pi,2023-01-26 21:00:00,1552.03,1563.91,1549.88,1554.01,83297
GOLD-GBP,XAUGBP.pi,2023-01-29 21:00:00,1553.02,1559.45,1550.48,1556.6,90712
GOLD-GBP,XAUGBP.pi,2023-01-30 21:00:00,1554.45,1567.63,1542.16,1563.76,90015
GOLD-GBP,XAUGBP.pi,2023-01-31 21:00:00,1563.98,1579.21,1559.78,1574.65,89763
GOLD-GBP,XAUGBP.pi,2023-02-01 21:00:00,1575.91,1592.05,1561.25,1563.79,100531
GOLD-GBP,XAUGBP.pi,2023-02-02 21:00:00,1561.79,1570.51,1541.15,1546.02,104994
GOLD-GBP,XAUGBP.pi,2023-02-05 21:00:00,1544.27,1560.22,1543.86,1551.98,114608
GOLD-GBP,XAUGBP.pi,2023-02-06 21:00:00,1551.93,1565.18,1549.07,1554.19,115497
GOLD-GBP,XAUGBP.pi,2023-02-07 21:00:00,1552.26,1558.96,1548.94,1552.88,105551
GOLD-GBP,XAUGBP.pi,2023-02-08 21:00:00,1552.57,1556.2,1533.83,1534.87,102717
GOLD-GBP,XAUGBP.pi,2023-02-09 21:00:00,1534.63,1547.59,1531.27,1545.35,107621
GOLD-GBP,XAUGBP.pi,2023-02-12 21:00:00,1544.71,1547.6,1524.63,1525.93,99243
GOLD-GBP,XAUGBP.pi,2023-02-13 21:00:00,1525.49,1535.44,1517.54,1521.77,105375
GOLD-GBP,XAUGBP.pi,2023-02-14 21:00:00,1521.64,1531.17,1514.38,1524.75,93345
GOLD-GBP,XAUGBP.pi,2023-02-15 21:00:00,1524.02,1534.87,1521.6,1530.89,91512
GOLD-GBP,XAUGBP.pi,2023-02-16 21:00:00,1531.08,1532.7,1522.65,1528.59,90201
GOLD-GBP,XAUGBP.pi,2023-02-19 21:00:00,1527.02,1534.31,1526.91,1528.49,64008
GOLD-GBP,XAUGBP.pi,2023-02-20 21:00:00,1527.92,1532.87,1511.93,1512.7,88115
GOLD-GBP,XAUGBP.pi,2023-02-21 21:00:00,1512.88,1523.21,1512.4,1513.94,76982
GOLD-GBP,XAUGBP.pi,2023-02-22 21:00:00,1513.55,1519.9,1510.84,1515.69,83452
GOLD-GBP,XAUGBP.pi,2023-02-23 21:00:00,1514.08,1519.76,1512.43,1515.1,89074
GOLD-GBP,XAUGBP.pi,2023-02-26 21:00:00,1513.58,1517.04,1505.07,1505.74,87232
GOLD-GBP,XAUGBP.pi,2023-02-27 21:00:00,1504.94,1519.74,1491.52,1518.18,85630
GOLD-GBP,XAUGBP.pi,2023-02-28 21:00:00,1516.65,1535.61,1515.41,1526.47,92919
GOLD-GBP,XAUGBP.pi,2023-03-01 21:00:00,1526.02,1539.73,1525.4,1535.84,89114
GOLD-GBP,XAUGBP.pi,2023-03-02 21:00:00,1534.78,1542.5,1534.48,1539.75,84631
GOLD-GBP,XAUGBP.pi,2023-03-05 21:00:00,1538.4,1544.23,1534.92,1534.95,80575
GOLD-GBP,XAUGBP.pi,2023-03-06 21:00:00,1533.73,1537.18,1527.07,1532.35,86382
GOLD-GBP,XAUGBP.pi,2023-03-07 21:00:00,1531.39,1539.14,1529.92,1530.02,74923
GOLD-GBP,XAUGBP.pi,2023-03-08 21:00:00,1529.82,1539.29,1527.64,1534.73,62108
GOLD-GBP,XAUGBP.pi,2023-03-09 21:00:00,1534.25,1555.04,1526.2,1549.9,72389
GOLD-GBP,XAUGBP.pi,2023-03-12 21:00:00,1551.37,1578.07,1545.84,1570.08,83187
GOLD-GBP,XAUGBP.pi,2023-03-13 21:00:00,1568.16,1573.48,1559.02,1565.37,74569
GOLD-GBP,XAUGBP.pi,2023-03-14 21:00:00,1564.4,1611.33,1551.65,1590.21,75279
GOLD-GBP,XAUGBP.pi,2023-03-15 21:00:00,1589.88,1607.1,1579.01,1583.92,74647
GOLD-GBP,XAUGBP.pi,2023-03-16 21:00:00,1583.01,1631.38,1582.97,1630.14,71110
GOLD-GBP,XAUGBP.pi,2023-03-19 21:00:00,1625.44,1647.91,1604.61,1610.87,76664
GOLD-GBP,XAUGBP.pi,2023-03-20 21:00:00,1609.94,1618.91,1584.37,1587.04,65989
GOLD-GBP,XAUGBP.pi,2023-03-21 21:00:00,1585.95,1608.67,1578.66,1604.05,67589
GOLD-GBP,XAUGBP.pi,2023-03-22 21:00:00,1603.27,1630.82,1600.15,1621.77,74836
GOLD-GBP,XAUGBP.pi,2023-03-23 21:00:00,1619.22,1639.23,1614.79,1616.27,71587
GOLD-GBP,XAUGBP.pi,2023-03-26 21:00:00,1615.49,1616.5,1583.48,1591.62,82300
GOLD-GBP,XAUGBP.pi,2023-03-27 21:00:00,1590.59,1600.5,1583.43,1598.46,82287
GOLD-GBP,XAUGBP.pi,2023-03-28 21:00:00,1597.27,1600.37,1588.52,1594.18,78014
GOLD-GBP,XAUGBP.pi,2023-03-29 21:00:00,1592.52,1602.29,1586.98,1597.72,81842
GOLD-GBP,XAUGBP.pi,2023-03-30 21:00:00,1596.7,1603.8,1594.63,1595.77,81753
GOLD-GBP,XAUGBP.pi,2023-04-02 21:00:00,1596.07,1606.41,1587.03,1597.58,88381
GOLD-GBP,XAUGBP.pi,2023-04-03 21:00:00,1596.04,1621.11,1583.37,1616.09,82893
GOLD-GBP,XAUGBP.pi,2023-04-04 21:00:00,1615.34,1626.82,1613.09,1621.24,78633
GOLD-GBP,XAUGBP.pi,2023-04-05 21:00:00,1619.98,1621.55,1610.74,1612.97,75521
GOLD-GBP,XAUGBP.pi,2023-04-09 21:00:00,1609.14,1617.16,1602.02,1607.61,66703
GOLD-GBP,XAUGBP.pi,2023-04-10 21:00:00,1606.27,1616.61,1605.05,1611.98,77317
GOLD-GBP,XAUGBP.pi,2023-04-11 21:00:00,1610.77,1626.84,1606.98,1613.4,78432
GOLD-GBP,XAUGBP.pi,2023-04-12 21:00:00,1612.21,1635.11,1611.96,1628.51,79386
GOLD-GBP,XAUGBP.pi,2023-04-13 21:00:00,1627.62,1632.4,1602.88,1613.36,82845
GOLD-GBP,XAUGBP.pi,2023-04-16 21:00:00,1609.31,1625.05,1602.24,1611.32,79482
GOLD-GBP,XAUGBP.pi,2023-04-17 21:00:00,1610.49,1618.81,1602.76,1613.41,77949
GOLD-GBP,XAUGBP.pi,2023-04-18 21:00:00,1612.19,1615.77,1587.16,1602.86,81480
GOLD-GBP,XAUGBP.pi,2023-04-19 21:00:00,1602.42,1617.94,1601.73,1610.81,81101
GOLD-GBP,XAUGBP.pi,2023-04-20 21:00:00,1608.98,1612.02,1589.26,1592.37,80031
GOLD-GBP,XAUGBP.pi,2023-04-23 21:00:00,1590.34,1596.65,1586.83,1592.55,76633
GOLD-GBP,XAUGBP.pi,2023-04-24 21:00:00,1591.78,1614.7,1589.34,1608.68,87460
GOLD-GBP,XAUGBP.pi,2023-04-25 21:00:00,1607.61,1612.56,1590.22,1595.06,90621
GOLD-GBP,XAUGBP.pi,2023-04-26 21:00:00,1594.59,1607.65,1585.97,1590.02,86271
GOLD-GBP,XAUGBP.pi,2023-04-27 21:00:00,1589.19,1593.59,1580.85,1581.64,92001
