ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
GOLD-USD,XAUUSD.pi,2021-03-31 21:00:00,1707.76,1730.47,1705.78,1729.88,431307
GOLD-USD,XAUUSD.pi,2021-04-04 21:00:00,1727.26,1733.54,1721.31,1728.28,307049
GOLD-USD,XAUUSD.pi,2021-04-05 21:00:00,1728.38,1745.45,1727.19,1743.4,373190
GOLD-USD,XAUUSD.pi,2021-04-06 21:00:00,1743.01,1744.38,1730.66,1737.59,366665
GOLD-USD,XAUUSD.pi,2021-04-07 21:00:00,1738.17,1758.67,1733.14,1755.49,372233
GOLD-USD,XAUUSD.pi,2021-04-08 21:00:00,1755.42,1757.32,1731.23,1744.03,394235
GOLD-USD,XAUUSD.pi,2021-04-11 21:00:00,1743.66,1745.0,1727.43,1732.83,397467
GOLD-USD,XAUUSD.pi,2021-04-12 21:00:00,1733.06,1749.0,1723.71,1745.38,444412
GOLD-USD,XAUUSD.pi,2021-04-13 21:00:00,1745.84,1749.37,1732.6,1736.3,413408
GOLD-USD,XAUUSD.pi,2021-04-14 21:00:00,1736.65,1769.65,1734.34,1763.57,424218
GOLD-USD,XAUUSD.pi,2021-04-15 21:00:00,1763.5,1783.8,1759.77,1777.03,453967
GOLD-USD,XAUUSD.pi,2021-04-18 21:00:00,1777.92,1790.05,1766.74,1771.38,471884
GOLD-USD,XAUUSD.pi,2021-04-19 21:00:00,1770.81,1780.42,1763.64,1778.8,478968
GOLD-USD,XAUUSD.pi,2021-04-20 21:00:00,1778.35,1797.64,1776.28,1793.67,453360
GOLD-USD,XAUUSD.pi,2021-04-21 21:00:00,1794.03,1797.88,1777.41,1784.07,472344
GOLD-USD,XAUUSD.pi,2021-04-22 21:00:00,1783.73,1795.96,1770.01,1776.94,437228
GOLD-USD,XAUUSD.pi,2021-04-25 21:00:00,1776.04,1783.52,1768.81,1781.31,422727
GOLD-USD,XAUUSD.pi,2021-04-26 21:00:00,1781.21,1785.56,1773.7,1776.62,417988
GOLD-USD,XAUUSD.pi,2021-04-27 21:00:00,1776.74,1782.53,1762.61,1781.7,461005
GOLD-USD,XAUUSD.pi,2021-04-28 21:00:00,1781.85,1789.94,1756.14,1771.9,475226
