ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
Platinum,XPTUSD.pi,2021-03-31 21:00:00,1179.21,1212.86,1173.88,1211.41,126376
Platinum,XPTUSD.pi,2021-04-04 21:00:00,1207.99,1219.38,1192.86,1210.85,64773
Platinum,XPTUSD.pi,2021-04-05 21:00:00,1209.62,1243.91,1200.0,1239.97,78172
Platinum,XPTUSD.pi,2021-04-06 21:00:00,1238.77,1246.81,1220.9,1227.04,77664
Platinum,XPTUSD.pi,2021-04-07 21:00:00,1224.32,1237.61,1217.79,1230.1,68792
Platinum,XPTUSD.pi,2021-04-08 21:00:00,1228.77,1232.54,1190.06,1201.88,60467
Platinum,XPTUSD.pi,2021-04-11 21:00:00,1198.06,1203.72,1166.41,1172.01,69031
Platinum,XPTUSD.pi,2021-04-12 21:00:00,1164.61,1184.98,1154.68,1158.72,106621
Platinum,XPTUSD.pi,2021-04-13 21:00:00,1155.99,1186.07,1155.05,1173.24,101582
Platinum,XPTUSD.pi,2021-04-14 21:00:00,1171.07,1205.68,1171.04,1196.0,96705
Platinum,XPTUSD.pi,2021-04-15 21:00:00,1187.76,1210.67,1187.76,1201.88,58730
Platinum,XPTUSD.pi,2021-04-18 21:00:00,1200.58,1229.91,1200.53,1209.82,83292
Platinum,XPTUSD.pi,2021-04-19 21:00:00,1206.59,1212.64,1184.25,1187.56,101434
Platinum,XPTUSD.pi,2021-04-20 21:00:00,1183.26,1220.68,1182.21,1214.42,92468
Platinum,XPTUSD.pi,2021-04-21 21:00:00,1211.01,1218.73,1198.23,1203.38,87316
Platinum,XPTUSD.pi,2021-04-22 21:00:00,1199.41,1253.01,1199.24,1227.33,88589
Platinum,XPTUSD.pi,2021-04-25 21:00:00,1224.39,1248.1,1222.69,1244.09,80157
Platinum,XPTUSD.pi,2021-04-26 21:00:00,1243.85,1255.86,1227.06,1227.62,78225
Platinum,XPTUSD.pi,2021-04-27 21:00:00,1225.64,1228.99,1206.33,1219.35,118080
Platinum,XPTUSD.pi,2021-04-28 21:00:00,1217.73,1230.89,1173.78,1200.72,105093
Platinum,XPTUSD.pi,2021-04-29 21:00:00,1199.05,1225.48,1196.75,1198.1,111908
Platinum,XPTUSD.pi,2021-05-02 21:00:00,1196.74,1243.84,1190.44,1230.46,96548
Platinum,XPTUSD.pi,2021-05-03 21:00:00,1225.54,1268.18,1216.85,1237.99,111342
Platinum,XPTUSD.pi,2021-05-04 21:00:00,1233.89,1240.82,1211.98,1226.7,92411
Platinum,XPTUSD.pi,2021-05-05 21:00:00,1220.29,1254.68,1216.06,1252.96,122553
Platinum,XPTUSD.pi,2021-05-06 21:00:00,1246.39,1268.81,1238.01,1253.59,130681
Platinum,XPTUSD.pi,2021-05-09 21:00:00,1251.14,1277.84,1246.87,1248.38,151819
Platinum,XPTUSD.pi,2021-05-10 21:00:00,1244.01,1253.22,1212.75,1237.83,113078
Platinum,XPTUSD.pi,2021-05-11 21:00:00,1233.84,1246.12,1211.06,1212.83,115988
Platinum,XPTUSD.pi,2021-05-12 21:00:00,1211.73,1222.5,1200.02,1208.28,155375
Platinum,XPTUSD.pi,2021-05-13 21:00:00,1206.75,1232.67,1199.44,1225.94,157341
Platinum,XPTUSD.pi,2021-05-16 21:00:00,1224.34,1244.69,1221.52,1240.28,169947
Platinum,XPTUSD.pi,2021-05-17 21:00:00,1235.44,1248.98,1212.21,1219.97,180385
Platinum,XPTUSD.pi,2021-05-18 21:00:00,1212.39,1227.2,1185.15,1192.89,234617
Platinum,XPTUSD.pi,2021-05-19 21:00:00,1192.16,1210.35,1189.17,1196.51,113133
Platinum,XPTUSD.pi,2021-05-20 21:00:00,1196.74,1206.14,1165.36,1166.02,114037
Platinum,XPTUSD.pi,2021-05-23 21:00:00,1167.89,1182.46,1160.53,1175.81,105476
Platinum,XPTUSD.pi,2021-05-24 21:00:00,1169.89,1198.62,1166.98,1193.75,113077
Platinum,XPTUSD.pi,2021-05-25 21:00:00,1193.37,1215.13,1188.94,1192.25,108696
Platinum,XPTUSD.pi,2021-05-26 21:00:00,1185.34,1198.99,1170.44,1180.34,112050
Platinum,XPTUSD.pi,2021-05-27 21:00:00,1179.75,1185.8,1168.15,1180.07,105387
Platinum,XPTUSD.pi,2021-05-30 21:00:00,1178.24,1191.3,1178.24,1188.5,49621
Platinum,XPTUSD.pi,2021-05-31 21:00:00,1186.52,1207.4,1175.65,1193.02,105759
Platinum,XPTUSD.pi,2021-06-01 21:00:00,1189.29,1197.01,1176.47,1191.89,104949
Platinum,XPTUSD.pi,2021-06-02 21:00:00,1188.84,1196.78,1148.45,1159.83,122522
Platinum,XPTUSD.pi,2021-06-03 21:00:00,1160.09,1169.45,1137.94,1166.52,114616
Platinum,XPTUSD.pi,2021-06-06 21:00:00,1168.65,1177.93,1160.68,1174.49,101722
Platinum,XPTUSD.pi,2021-06-07 21:00:00,1171.49,1178.74,1154.83,1162.57,103000
Platinum,XPTUSD.pi,2021-06-08 21:00:00,1157.99,1167.43,1150.14,1151.26,88356
Platinum,XPTUSD.pi,2021-06-09 21:00:00,1148.14,1154.84,1128.12,1153.51,116342
Platinum,XPTUSD.pi,2021-06-10 21:00:00,1147.87,1161.56,1145.26,1146.95,97078
Platinum,XPTUSD.pi,2021-06-13 21:00:00,1147.62,1173.7,1139.81,1165.66,128381
Platinum,XPTUSD.pi,2021-06-14 21:00:00,1162.69,1169.49,1146.83,1154.16,146992
Platinum,XPTUSD.pi,2021-06-15 21:00:00,1152.48,1155.86,1117.07,1121.85,123612
Platinum,XPTUSD.pi,2021-06-16 21:00:00,1118.29,1133.55,1046.99,1066.06,173793
Platinum,XPTUSD.pi,2021-06-17 21:00:00,1056.8,1086.19,1038.31,1038.77,106430
Platinum,XPTUSD.pi,2021-06-20 21:00:00,1029.94,1063.29,1026.46,1060.83,110768
Platinum,XPTUSD.pi,2021-06-21 21:00:00,1054.59,1080.35,1049.3,1075.48,98295
Platinum,XPTUSD.pi,2021-06-22 21:00:00,1074.75,1097.67,1073.48,1086.06,95308
Platinum,XPTUSD.pi,2021-06-23 21:00:00,1081.08,1098.17,1072.72,1094.2,78469
Platinum,XPTUSD.pi,2021-06-24 21:00:00,1086.04,1111.75,1086.04,1107.05,73988
Platinum,XPTUSD.pi,2021-06-27 21:00:00,1102.84,1113.48,1087.11,1087.89,67230
Platinum,XPTUSD.pi,2021-06-28 21:00:00,1086.44,1098.05,1063.18,1064.12,105254
Platinum,XPTUSD.pi,2021-06-29 21:00:00,1067.05,1077.92,1051.72,1073.47,93438
Platinum,XPTUSD.pi,2021-06-30 21:00:00,1061.91,1095.85,1061.91,1083.74,97654
Platinum,XPTUSD.pi,2021-07-01 21:00:00,1077.04,1097.02,1075.83,1089.29,91131
Platinum,XPTUSD.pi,2021-07-04 21:00:00,1082.69,1105.25,1080.82,1094.55,52504
Platinum,XPTUSD.pi,2021-07-05 21:00:00,1094.42,1119.54,1077.46,1091.76,107000
Platinum,XPTUSD.pi,2021-07-06 21:00:00,1090.98,1103.07,1074.51,1088.37,98657
Platinum,XPTUSD.pi,2021-07-07 21:00:00,1071.92,1089.06,1066.98,1076.65,97938
Platinum,XPTUSD.pi,2021-07-08 21:00:00,1071.13,1103.72,1071.13,1102.22,91003
Platinum,XPTUSD.pi,2021-07-11 21:00:00,1096.19,1126.07,1090.05,1119.25,84373
Platinum,XPTUSD.pi,2021-07-12 21:00:00,1117.77,1125.84,1104.76,1106.17,92870
Platinum,XPTUSD.pi,2021-07-13 21:00:00,1090.4,1135.77,1090.4,1131.08,103634
Platinum,XPTUSD.pi,2021-07-14 21:00:00,1128.38,1145.97,1126.78,1140.52,109847
Platinum,XPTUSD.pi,2021-07-15 21:00:00,1138.11,1143.36,1098.29,1101.79,112357
Platinum,XPTUSD.pi,2021-07-18 21:00:00,1099.64,1110.74,1066.65,1076.32,165830
Platinum,XPTUSD.pi,2021-07-19 21:00:00,1071.57,1088.25,1057.81,1067.24,155663
Platinum,XPTUSD.pi,2021-07-20 21:00:00,1056.62,1083.94,1056.62,1080.61,133967
Platinum,XPTUSD.pi,2021-07-21 21:00:00,1074.24,1095.97,1073.29,1093.91,117263
Platinum,XPTUSD.pi,2021-07-22 21:00:00,1088.26,1098.82,1044.01,1061.29,144312
Platinum,XPTUSD.pi,2021-07-25 21:00:00,1058.79,1074.74,1058.22,1065.63,142674
Platinum,XPTUSD.pi,2021-07-26 21:00:00,1061.18,1072.35,1045.14,1052.59,157319
Platinum,XPTUSD.pi,2021-07-27 21:00:00,1052.02,1068.76,1043.82,1066.21,155564
