ticker_lutessia,symbole_mt5,n_bougies,date_min,date_max,n_gaps_gt4j,statut
AUD/JPY,AUDJPY.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
AUD/USD,AUDUSD.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
CHF/JPY,CHFJPY.pi,21578,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
EUR/CHF,EURCHF.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
EUR/GBP,EURGBP.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
EUR/JPY,EURJPY.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
EUR/USD,EURUSD.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
GBP/CHF,GBPCHF.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
GBP/JPY,GBPJPY.pi,21578,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
GBP/USD,GBPUSD.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
NZD/USD,NZDUSD.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
USD/CAD,USDCAD.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
USD/CHF,USDCHF.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
USD/JPY,USDJPY.pi,21579,2022-01-02 21:00:00+00:00,2026-08-20 21:00:00+00:00,0,OK
DAX40 FULL0926|DAX40 PERF INDEX,GER30.p,10300,2022-01-02 21:00:00+00:00,2024-11-22 20:00:00+00:00,4,OK -- CFD continu GER30 -- PAS le future date. Arrete le 2024-11-22 sur ce compte (probable rollover vers GER40.p).
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,20302,2022-01-02 21:00:00+00:00,2026-08-20 20:00:00+00:00,7,"OK -- CFD continu GER40 -- PAS le future date. Demarre le 2025-01-02 sur ce compte (probable suite de GER30.p, gap ~40j)."
S&P500 - MINI S&P500 FULL0926,SP500.p,21018,2022-01-02 21:00:00+00:00,2026-08-20 20:00:00+00:00,0,OK -- CFD continu SP500 -- PAS le future date.
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,21019,2022-01-02 21:00:00+00:00,2026-08-20 20:00:00+00:00,0,OK -- CFD continu NAS100 -- PAS le future date.
