date_creation,ticker,asset_class,timeframe,prix_entree,stop_loss_init,tp1_init,tp2_init,rr_tp1,rr_tp2,statut_final,score_force
2026-08-17 15:06:56,SANOFI INHABER,Actions Europe,1H,76.45,75.1,78.01,79.93,1.15555555555555,2.5777777777777646,OBJECTIF ATTEINT,8.6
2026-08-17 11:09:17,SANOFI,Actions Europe,1H,75.98,75.16,77.42,78.19,1.756097560975591,2.6951219512194804,OBJECTIF ATTEINT,8.0
2026-08-10 12:07:50,LVMH,Actions Europe,1H,485.35,480.6,498.88,519.96,2.8484210526315734,7.286315789473687,INVALIDÉE,8.8
2026-08-07 14:10:49,SAP,Actions Europe,1H,176.86,172.59,187.49,201.2,2.48946135831381,5.700234192037451,SEUIL PRÉSERVÉ,8.4
2026-08-06 13:09:17,LVMH,Actions Europe,1H,486.05,480.76,497.36,503.1,2.137996219281656,3.2230623818525417,INVALIDÉE,8.2
2026-08-06 13:07:58,LVMH .3,Actions Europe,1H,486.3,476.92,495.83,502.57,1.0159914712153495,1.7345415778251587,SEUIL PRÉSERVÉ,8.2
2026-08-04 15:51:01,SIEMENS,Actions Europe,Journalier,287.8,283.45,294.58,307.17,1.558620689655158,4.452873563218368,INVALIDÉE,8.9
2026-08-03 12:08:41,SIEMENS HEALTH,Actions Europe,1H,38.73,38.1,40.32,41.52,2.5238095238095477,4.428571428571471,SEUIL PRÉSERVÉ,8.4
2026-08-03 12:07:08,SAP,Actions Europe,1H,165.48,163.3,167.9,175.67,1.1100917431192845,4.67431192660555,OBJECTIF ATTEINT,8.8
2026-07-31 09:08:01,ALLIANZ,Actions Europe,1H,433.9,431.3,436.5,442.4,1.0000000000000218,3.269230769230812,INVALIDÉE,7.7
2026-07-27 11:09:16,ALLIANZ,Actions Europe,1H,430.6,427.2,435.9,441.5,1.5588235294117356,3.205882352941137,SEUIL PRÉSERVÉ,8.8
2026-07-27 11:08:38,ALLIANZ,Actions Europe,1H,430.9,427.4,436.5,442.4,1.6000000000000063,3.2857142857142856,INVALIDÉE,8.8
2026-07-22 11:10:12,SANOFI,Actions Europe,1H,77.66,77.12,78.21,80.38,1.0185185185185284,5.037037037037109,INVALIDÉE,8.2
2026-07-22 11:09:02,SANOFI INHABER,Actions Europe,1H,77.65,77.1,78.33,80.56,1.2363636363635977,5.290909090908976,INVALIDÉE,8.4
2026-07-21 10:53:24,SANOFI,Actions Europe,Journalier,77.06,75.62,80.38,82.4,2.3055555555555545,3.7083333333333415,INVALIDÉE,8.4
