date_creation,ticker,asset_class,timeframe,prix_entree,stop_loss_init,tp1_init,tp2_init,rr_tp1,rr_tp2,statut_final,score_force
2026-08-17 06:21:10,NATURAL GAS,FX/Indices,1H,2.654,2.69,2.616,2.552,1.0555555555555494,2.8333333333333273,INVALIDÉE,8.4
2026-08-06 03:18:39,PLATINUM,FX/Indices,1H,1775.2,1762.8,1798.3,1869.7,1.8629032258064306,7.620967741935428,INVALIDÉE,7.7
2026-08-05 06:21:32,PALLADIUM,FX/Indices,1H,1381.0,1364.5,1402.27,1459.6,1.289090909090908,4.763636363636358,SEUIL PRÉSERVÉ,8.6
2026-08-05 06:21:31,PLATINUM,FX/Indices,1H,1788.6,1762.8,1854.5,1869.7,2.554263565891481,3.143410852713189,INVALIDÉE,8.9
2026-08-02 23:18:37,PLATINUM,FX/Indices,1H,1670.0,1655.0,1705.57,1783.0,2.3713333333333293,7.533333333333333,INVALIDÉE,8.2
2026-07-31 16:18:02,PLATINUM - EUR,FX/Indices,1H,1430.62,1419.41,1443.93,1455.59,1.1873327386262622,2.227475468331887,OBJECTIF ATTEINT,7.7
2026-06-24 19:03:07,PALLADIUM,FX/Indices,Journalier,1163.0,1216.3,1037.4,1015.63,2.356472795497186,2.7649155722326477,INVALIDÉE,7.9
2026-06-16 23:16:11,NATURAL GAS,FX/Indices,1H,3.256,3.209,3.351,3.384,2.0212765957446974,2.7234042553191684,INVALIDÉE,8.8
2026-06-15 13:18:21,PLATINUM,FX/Indices,1H,1805.8,1785.07,1855.0,1907.5,2.3733719247467437,4.905933429811864,INVALIDÉE,9.1
2026-06-15 11:19:10,PALLADIUM,FX/Indices,1H,1361.0,1348.22,1395.5,1420.0,2.6995305164319308,4.616588419405331,INVALIDÉE,8.8
2026-06-15 04:15:38,NATURAL GAS,FX/Indices,1H,3.056,3.072,3.031,2.989,1.5624999999999931,4.187500000000007,INVALIDÉE,8.4
2026-06-10 19:56:52,PLATINUM,FX/Indices,Journalier,1675.4,1690.87,1657.8,1634.63,1.13768584356822,2.6354234001293153,INVALIDÉE,8.2
2026-06-10 07:52:35,PLATINUM,FX/Indices,Journalier,1677.3,1690.87,1657.8,1634.63,1.436993367722925,3.1444362564480506,INVALIDÉE,8.2
2026-06-08 09:53:55,PLATINUM,FX/Indices,Journalier,1759.2,1793.1,1690.87,1657.8,2.0156342182890983,2.991150442477891,OBJECTIF ATTEINT,8.4
2026-06-01 04:14:37,NATURAL GAS,FX/Indices,1H,3.367,3.341,3.397,3.439,1.153846153846155,2.7692307692307927,INVALIDÉE,8.0
2026-05-28 17:18:09,NATURAL GAS,FX/Indices,1H,3.266,3.218,3.356,3.397,1.8749999999999953,2.72916666666666,OBJECTIF ATTEINT,8.9
2026-05-18 05:15:03,NATURAL GAS,FX/Indices,1H,3.034,2.982,3.129,3.269,1.8269230769230946,4.51923076923081,SEUIL PRÉSERVÉ,8.9
2026-04-29 23:12:33,NATURAL GAS,FX/Indices,1H,2.639,2.66,2.589,2.491,2.3809523809523325,7.047619047618915,INVALIDÉE,8.2
2026-04-29 13:18:48,PLATINUM,FX/Indices,1H,1909.2,1917.4,1892.27,1812.18,2.0646341463414597,11.831707317073104,INVALIDÉE,8.4
2026-04-20 05:15:04,NATURAL GAS,FX/Indices,1H,2.72,2.679,2.788,2.888,1.6585365853658294,4.097560975609712,INVALIDÉE,8.6
2026-04-16 03:12:46,PLATINUM,FX/Indices,1H,2148.8,2140.77,2162.73,2223.63,1.7347447073473834,9.318804483187803,INVALIDÉE,8.6
2026-04-09 12:21:21,PLATINUM,FX/Indices,1H,2057.9,2045.94,2080.0,2105.0,1.8478260869565084,3.9381270903009837,OBJECTIF ATTEINT,8.6
2026-04-06 07:13:54,PALLADIUM,FX/Indices,1H,1518.5,1490.0,1564.1,1620.8,1.5999999999999968,3.5894736842105246,INVALIDÉE,8.0
2026-03-31 22:16:18,PLATINUM,FX/Indices,1H,1966.1,1937.13,2006.7,2034.4,1.4014497756299764,2.3576113220573234,SEUIL PRÉSERVÉ,8.4
2026-03-23 01:14:38,PALLADIUM,FX/Indices,1H,1390.5,1412.5,1350.3,1325.47,1.8272727272727294,2.9559090909090897,OBJECTIF ATTEINT,7.7
2026-02-25 06:15:31,PALLADIUM,FX/Indices,1H,1840.5,1816.5,1883.67,1976.83,1.798750000000003,5.680416666666663,INVALIDÉE,8.6
2026-02-25 06:15:30,PLATINUM,FX/Indices,1H,2278.2,2244.43,2312.87,2442.73,1.0266508735564137,4.872075806929236,OBJECTIF ATTEINT,8.9
2026-02-11 11:17:12,PALLADIUM,FX/Indices,1H,1780.0,1744.48,1823.7,1855.0,1.2302927927927947,2.1114864864864877,INVALIDÉE,8.6
2026-01-30 07:12:06,PLATINUM,FX/Indices,1H,2416.3,2443.97,2356.26,2207.53,2.169859053126158,7.544994578966493,OBJECTIF ATTEINT,8.0
2026-01-27 04:50:33,PLATINUM,FX/Indices,Journalier,2656.5,2554.53,2907.37,3039.07,2.4602334019809784,3.751789742081013,INVALIDÉE,8.6
2026-01-26 05:13:47,PLATINUM,FX/Indices,1H,2864.5,2816.17,2946.03,3026.87,1.6869439271673976,3.3596110076557033,INVALIDÉE,8.4
2026-01-26 05:13:45,NATURAL GAS,FX/Indices,1H,6.151,6.074,6.358,6.572,2.6883116883116878,5.467532467532474,INVALIDÉE,8.2
2026-01-23 16:23:30,PALLADIUM,FX/Indices,1H,2035.0,2023.3,2067.43,2118.2,2.771794871794847,7.111111111111068,OBJECTIF ATTEINT,8.8
2026-01-23 03:11:50,PALLADIUM,FX/Indices,1H,1969.0,1934.94,2023.3,2118.2,1.5942454492072824,4.380504991192016,OBJECTIF ATTEINT,8.8
2026-01-20 14:16:56,NATURAL GAS,FX/Indices,1H,3.929,3.892,3.984,4.304,1.486486486486494,10.135135135135169,INVALIDÉE,8.8
2026-01-16 14:17:29,PLATINUM,FX/Indices,1H,2306.6,2331.57,2277.96,2235.1,1.1469763716459584,2.8634361233479884,INVALIDÉE,8.2
2026-01-09 12:18:29,PALLADIUM,FX/Indices,1H,1932.5,1848.0,2023.3,2118.2,1.0745562130177508,2.1976331360946726,SEUIL PRÉSERVÉ,8.8
