date_creation,ticker,asset_class,timeframe,prix_entree,stop_loss_init,tp1_init,tp2_init,rr_tp1,rr_tp2,statut_final,score_force
2026-07-30 12:18:21,EUR/USD,FX/Indices,1H,1.1477,1.145,1.151,1.1598,1.2222222222222863,4.481481481481606,OBJECTIF ATTEINT,8.6
2026-07-30 03:16:26,EUR/CHF,FX/Indices,1H,0.9337,0.9316,0.9391,0.9439,2.571428571428617,4.857142857142872,INVALIDÉE,7.7
2026-07-30 03:16:14,EUR/GBP,FX/Indices,1H,0.8582,0.8545,0.8624,0.8678,1.135135135135183,2.594594594594661,SEUIL PRÉSERVÉ,8.4
2026-07-29 13:19:02,GBP/USD,FX/Indices,1H,1.3283,1.3306,1.3255,1.3172,1.2173913043479017,4.826086956521852,INVALIDÉE,7.7
2026-07-27 21:14:49,EUR/CHF,FX/Indices,1H,0.9312,0.9296,0.9328,0.9391,0.9999999999999306,4.93749999999987,SEUIL PRÉSERVÉ,8.8
2026-07-27 16:17:43,EUR/GBP,FX/Indices,1H,0.8553,0.8539,0.8594,0.8624,2.9285714285715927,5.071428571428804,SEUIL PRÉSERVÉ,8.8
2026-07-27 05:15:55,DAX40 FULL0926,FX/Indices,1H,25418.0,25271.0,25652.11,25954.0,1.5925850340136094,3.6462585034013606,OBJECTIF ATTEINT,8.9
2026-07-24 21:15:51,GBP/CHF,FX/Indices,1H,1.0899,1.0882,1.0922,1.0934,1.3529411764705421,2.0588235294116264,INVALIDÉE,8.8
2026-07-24 18:20:26,EUR/USD,FX/Indices,1H,1.137,1.1406,1.1277,1.1222,2.5833333333333233,4.111111111111036,INVALIDÉE,8.0
2026-07-23 12:21:19,GBP/CHF,FX/Indices,1H,1.0896,1.0882,1.0922,1.0934,1.8571428571431743,2.7142857142860315,INVALIDÉE,8.0
2026-07-23 08:20:11,EUR/GBP,FX/Indices,1H,0.854,0.8517,0.8591,0.8624,2.2173913043478533,3.65217391304356,SEUIL PRÉSERVÉ,8.9
2026-07-22 17:18:36,EUR/GBP,FX/Indices,1H,0.8535,0.8526,0.8545,0.8624,1.1111111111110974,9.88888888888878,OBJECTIF ATTEINT,7.5
2026-07-22 10:22:56,DAX40 FULL0926,FX/Indices,1H,25299.0,25081.44,25652.11,25954.0,1.6230465159036516,3.010663724949421,SEUIL PRÉSERVÉ,8.2
2026-07-20 20:16:09,USD/CHF,FX/Indices,1H,0.8102,0.8087,0.8126,0.8152,1.5999999999999113,3.33333333333321,OBJECTIF ATTEINT,8.6
2026-07-17 18:18:50,USD/CAD,FX/Indices,1H,1.4013,1.4047,1.3944,1.388,2.0294117647058134,3.911764705882299,SEUIL PRÉSERVÉ,8.0
2026-07-16 07:51:58,EUR/CHF,FX/Indices,Journalier,0.9246,0.9184,0.9328,0.9391,1.3225806451612914,2.3387096774193723,OBJECTIF ATTEINT,8.0
2026-07-16 00:13:12,AUD/USD,FX/Indices,1H,0.701,0.6993,0.7045,0.7113,2.0588235294118915,6.058823529412088,SEUIL PRÉSERVÉ,8.4
2026-07-15 20:15:53,GBP/CHF,FX/Indices,1H,1.0899,1.0882,1.0934,1.1,2.0588235294116264,5.941176470588112,SEUIL PRÉSERVÉ,8.6
2026-07-15 18:17:31,USD/CAD,FX/Indices,1H,1.4034,1.4113,1.3944,1.388,1.1392405063290982,1.9493670886076007,SEUIL PRÉSERVÉ,7.9
2026-07-15 13:16:16,AUD/JPY,FX/Indices,1H,113.46,113.24,113.85,114.74,1.7727272727272845,5.818181818181853,SEUIL PRÉSERVÉ,8.8
2026-07-14 15:18:45,NZD/USD,FX/Indices,1H,0.5821,0.5784,0.5864,0.5876,1.1621621621622076,1.4864864864865328,SEUIL PRÉSERVÉ,8.4
2026-07-14 09:48:27,CHF/JPY,FX/Indices,Journalier,199.69,200.57,198.77,196.34,1.0454545454545368,3.806818181818195,INVALIDÉE,7.1
2026-07-14 05:14:40,NZD/USD,FX/Indices,1H,0.5793,0.5784,0.5813,0.5876,2.222222222222195,9.222222222222072,OBJECTIF ATTEINT,8.6
2026-07-12 22:17:12,GBP/CHF,FX/Indices,1H,1.0834,1.0802,1.092,1.1,2.6875000000001603,5.187500000000265,SEUIL PRÉSERVÉ,8.8
2026-07-10 16:16:50,AUD/USD,FX/Indices,1H,0.6964,0.6947,0.6994,0.7057,1.7647058823529067,5.470588235293991,INVALIDÉE,7.9
2026-07-10 04:13:32,USD/CAD,FX/Indices,1H,1.4151,1.4178,1.4113,1.3944,1.407407407407456,7.666666666666859,SEUIL PRÉSERVÉ,8.6
2026-07-09 20:18:49,GBP/CHF,FX/Indices,1H,1.0819,1.0803,1.0835,1.0858,0.9999999999998612,2.437499999999939,OBJECTIF ATTEINT,7.7
2026-07-09 12:19:15,NZD/USD,FX/Indices,1H,0.5742,0.5727,0.5785,0.5843,2.8666666666665384,6.733333333333077,OBJECTIF ATTEINT,8.8
2026-07-09 05:16:07,GBP/USD,FX/Indices,1H,1.3405,1.3385,1.3425,1.3503,1.0,4.900000000000011,OBJECTIF ATTEINT,8.4
2026-07-08 14:23:13,USD/CHF,FX/Indices,1H,0.8087,0.8073,0.8102,0.8126,1.0714285714286451,2.785714285714382,INVALIDÉE,8.0
2026-07-08 02:23:02,GBP/CHF,FX/Indices,1H,1.08,1.0776,1.0858,1.1021,2.416666666666497,9.208333333332646,SEUIL PRÉSERVÉ,8.2
2026-07-06 17:19:22,AUD/USD,FX/Indices,1H,0.6949,0.6934,0.6994,0.7057,3.000000000000148,7.200000000000281,SEUIL PRÉSERVÉ,8.6
2026-07-02 09:19:20,NZD/USD,FX/Indices,1H,0.5689,0.567,0.5709,0.5719,1.0526315789473624,1.5789473684210433,OBJECTIF ATTEINT,8.6
2026-07-02 05:16:39,NZD/USD,FX/Indices,1H,0.5678,0.567,0.5689,0.5709,1.374999999999948,3.8749999999998788,OBJECTIF ATTEINT,7.7
2026-07-01 21:14:57,GBP/USD,FX/Indices,1H,1.3282,1.3263,1.3332,1.3425,2.631578947368347,7.526315789473623,OBJECTIF ATTEINT,7.9
2026-07-01 17:18:39,GBP/CHF,FX/Indices,1H,1.0742,1.0714,1.0815,1.1021,2.6071428571426813,9.964285714285245,SEUIL PRÉSERVÉ,8.8
2026-07-01 04:17:58,EUR/CHF,FX/Indices,1H,0.9231,0.9218,0.9248,0.9271,1.3076923076921698,3.076923076922893,INVALIDÉE,8.4
2026-06-30 22:19:39,GBP/CHF,FX/Indices,1H,1.0716,1.0705,1.0734,1.0753,1.636363636363306,3.3636363636358864,OBJECTIF ATTEINT,8.0
2026-06-30 18:19:02,CHF/JPY,FX/Indices,1H,201.27,200.92,202.3,203.8,2.9428571428569548,7.228571428570962,INVALIDÉE,8.2
2026-06-30 10:18:41,NZD/USD,FX/Indices,1H,0.5656,0.5634,0.5689,0.5723,1.5,3.045454545454591,OBJECTIF ATTEINT,5.7
2026-06-29 18:15:58,GBP/JPY,FX/Indices,1H,214.7,214.22,215.5,216.09,1.6666666666667258,2.895833333333426,SEUIL PRÉSERVÉ,8.4
2026-06-26 03:16:41,S&P500 - MINI S&P500 FULL0926,FX/Indices,1H,7367.25,7390.5,7340.75,7154.25,1.1397849462365592,9.161290322580646,INVALIDÉE,8.4
2026-06-25 19:18:30,EUR/CHF,FX/Indices,1H,0.921,0.9227,0.9189,0.9167,1.2352941176471088,2.529411764706044,SEUIL PRÉSERVÉ,8.6
2026-06-24 20:17:41,USD/JPY,FX/Indices,1H,161.82,161.59,162.16,163.03,1.478260869565298,5.26086956521766,SEUIL PRÉSERVÉ,8.4
2026-06-24 14:21:44,USD/CHF,FX/Indices,1H,0.8132,0.8104,0.8207,0.8321,2.6785714285713875,6.749999999999911,SEUIL PRÉSERVÉ,8.6
2026-06-23 17:16:57,USD/CHF,FX/Indices,1H,0.8103,0.8069,0.8139,0.8207,1.0588235294117243,3.0588235294116917,SEUIL PRÉSERVÉ,8.8
2026-06-22 20:18:27,DAX40 FULL0926,FX/Indices,1H,25270.0,25033.2,25652.11,25954.0,1.6136402027027101,2.8885135135135225,INVALIDÉE,8.4
2026-06-22 11:19:42,GBP/CHF,FX/Indices,1H,1.07,1.0682,1.0753,1.0818,2.944444444444328,6.555555555555487,SEUIL PRÉSERVÉ,8.6
2026-06-21 22:18:47,EUR/GBP,FX/Indices,1H,0.8679,0.8651,0.8726,0.8759,1.678571428571427,2.8571428571428346,INVALIDÉE,8.6
2026-06-19 20:15:08,EUR/GBP,FX/Indices,1H,0.8671,0.866,0.8684,0.8726,1.1818181818181634,5.000000000000101,INVALIDÉE,6.3
2026-06-19 15:18:53,USD/CAD,FX/Indices,1H,1.4179,1.4147,1.4247,1.4536,2.12500000000013,11.156250000000474,SEUIL PRÉSERVÉ,8.4
2026-06-18 22:19:17,EUR/GBP,FX/Indices,1H,0.868,0.866,0.8726,0.8759,2.300000000000022,3.9500000000000055,SEUIL PRÉSERVÉ,8.6
2026-06-18 14:22:20,EUR/GBP,FX/Indices,1H,0.8666,0.8656,0.8684,0.8726,1.7999999999999112,6.0,OBJECTIF ATTEINT,8.9
2026-06-18 10:22:01,DAX40 FULL0926,FX/Indices,1H,24948.0,24854.2,25123.0,25473.11,1.8656716417910593,5.5981876332623095,OBJECTIF ATTEINT,8.0
2026-06-17 22:53:17,USD/CHF,FX/Indices,Journalier,0.7997,0.7953,0.8104,0.8547,2.431818181818214,12.500000000000126,OBJECTIF ATTEINT,8.4
2026-06-17 14:18:20,USD/CAD,FX/Indices,1H,1.4012,1.3996,1.4047,1.4113,2.187499999999974,6.312499999999818,OBJECTIF ATTEINT,9.1
2026-06-16 23:16:16,EUR/USD,FX/Indices,1H,1.1614,1.16,1.1644,1.1695,2.14285714285712,5.785714285714002,INVALIDÉE,8.2
2026-06-16 18:19:19,GBP/CHF,FX/Indices,1H,1.0649,1.067,1.0621,1.0585,1.3333333333332982,3.0476190476190426,OBJECTIF ATTEINT,7.9
2026-06-16 17:19:11,EUR/GBP,FX/Indices,1H,0.8648,0.8644,0.8656,0.8684,1.9999999999997224,8.999999999998336,OBJECTIF ATTEINT,7.9
2026-06-16 16:19:29,CHF/JPY,FX/Indices,1H,202.37,202.09,202.83,203.14,1.6428571428571646,2.749999999999924,SEUIL PRÉSERVÉ,8.6
2026-06-16 14:21:12,AUD/JPY,FX/Indices,1H,113.48,113.19,113.83,114.27,1.2068965517240924,2.7241379310343965,INVALIDÉE,7.5
2026-06-15 04:15:46,EUR/USD,FX/Indices,1H,1.1605,1.1578,1.1645,1.1695,1.4814814814814024,3.333333333333114,SEUIL PRÉSERVÉ,8.4
2026-06-15 00:14:54,GBP/JPY,FX/Indices,1H,215.23,215.01,215.61,216.09,1.7272727272728448,3.9090909090909913,INVALIDÉE,8.6
2026-06-15 00:14:53,CHF/JPY,FX/Indices,1H,201.56,201.09,202.57,203.14,2.148936170212752,3.361702127659549,SEUIL PRÉSERVÉ,7.9
2026-06-15 00:14:39,AUD/USD,FX/Indices,1H,0.708,0.7045,0.7122,0.7147,1.2000000000000444,1.9142857142857541,SEUIL PRÉSERVÉ,8.2
2026-06-12 21:55:32,GBP/CHF,FX/Indices,Journalier,1.0684,1.0621,1.075,1.0818,1.0476190476190426,2.1269841269841487,OBJECTIF ATTEINT,8.2
2026-06-11 12:20:49,USD/CAD,FX/Indices,1H,1.3982,1.3944,1.4047,1.4113,1.710526315789449,3.4473684210525795,SEUIL PRÉSERVÉ,8.8
2026-06-10 23:14:52,AUD/USD,FX/Indices,1H,0.6988,0.7019,0.694,0.6886,1.5483870967742062,3.290322580645166,INVALIDÉE,8.2
