date_creation,ticker,asset_class,timeframe,prix_entree,stop_loss_init,tp1_init,tp2_init,rr_tp1,rr_tp2,statut_final,score_force
2026-08-12 07:19:49,GOLD - USD,FX/Indices,1H,4398.8,4358.7,4470.3,4525.59,1.7830423940149465,3.1618453865336362,SEUIL PRÉSERVÉ,8.2
2026-08-12 07:19:42,SILVER - CAD,FX/Indices,1H,,91.08,92.64,93.31,,,INVALIDÉE,8.9
2026-08-12 07:19:41,GOLD - AUD,FX/Indices,1H,6228.93,6178.45,6282.53,6337.29,1.0618066561014055,2.1465927099841253,OBJECTIF ATTEINT,8.8
2026-08-12 07:19:40,SILVER - GBP,FX/Indices,1H,48.73,48.41,49.21,52.05,1.500000000000011,10.374999999999991,INVALIDÉE,8.9
2026-08-12 04:15:59,SILVER - NZD,FX/Indices,1H,111.13,109.41,112.94,119.02,1.052325581395351,4.587209302325585,OBJECTIF ATTEINT,8.6
2026-08-12 04:15:58,SILVER - AUD,FX/Indices,1H,92.38,91.17,94.18,96.71,1.487603305785141,3.578512396694232,OBJECTIF ATTEINT,8.4
2026-08-12 04:15:58,GOLD - NZD,FX/Indices,1H,7496.66,7413.01,7611.98,7992.16,1.3786013150029912,5.923490735206242,SEUIL PRÉSERVÉ,8.8
2026-08-12 04:15:57,SILVER - JPY,FX/Indices,1H,10395.0,10262.0,,,,,OBJECTIF ATTEINT,8.2
2026-08-12 04:15:56,GOLD - CHF,FX/Indices,1H,3572.11,3525.63,3702.87,3820.73,2.8132530120481865,5.348967297762474,SEUIL PRÉSERVÉ,8.6
2026-08-12 04:15:56,SILVER - CHF,FX/Indices,1H,,52.19,53.85,56.8,,,OBJECTIF ATTEINT,8.4
2026-08-12 04:15:55,SILVER - EUR,FX/Indices,1H,56.51,55.74,57.59,60.7,1.4025974025974168,5.441558441558476,OBJECTIF ATTEINT,8.9
2026-08-12 04:15:54,GOLD - EUR,FX/Indices,1H,3812.22,3776.93,3859.94,4046.58,1.3522244261830634,6.640974780391056,SEUIL PRÉSERVÉ,8.6
2026-08-12 03:17:49,GOLD - CAD,FX/Indices,1H,6140.99,6109.56,6179.0,6384.98,1.2093541202672913,7.762965319758338,SEUIL PRÉSERVÉ,8.6
2026-08-12 03:17:48,GOLD - GBP,FX/Indices,1H,3264.27,3237.33,3303.49,3398.32,1.4558277654045924,4.975872308834443,SEUIL PRÉSERVÉ,8.8
2026-08-12 03:17:48,GOLD - JPY,FX/Indices,1H,,694138.0,,,,,SEUIL PRÉSERVÉ,8.4
2026-08-11 02:21:15,GOLD - USD,FX/Indices,1H,4432.07,4392.1,4525.59,4597.41,2.3397548161121335,4.13660245183895,INVALIDÉE,8.8
2026-08-10 21:14:53,GOLD - NZD,FX/Indices,1H,7467.43,7413.26,7611.98,7992.16,2.6684511722355375,9.686726970647939,SEUIL PRÉSERVÉ,8.8
2026-08-10 21:14:52,SILVER - CAD,FX/Indices,1H,91.68,91.08,93.31,98.23,2.7166666666666206,10.916666666666506,INVALIDÉE,8.6
2026-08-10 20:16:18,SILVER - NZD,FX/Indices,1H,111.76,110.52,113.45,119.02,1.3629032258064397,5.854838709677369,INVALIDÉE,8.6
2026-08-10 20:16:17,SILVER - AUD,FX/Indices,1H,93.18,92.23,94.48,96.71,1.3684210526315719,3.7157894736841857,INVALIDÉE,8.6
2026-08-10 20:16:17,GOLD - CAD,FX/Indices,1H,6118.25,6028.05,6219.48,6295.16,1.1222838137472257,1.9613082039911331,SEUIL PRÉSERVÉ,8.6
2026-08-10 20:16:16,GOLD - AUD,FX/Indices,1H,6222.03,6178.79,6337.29,6454.2,2.6655874190564477,5.369333950046283,SEUIL PRÉSERVÉ,8.6
2026-08-10 20:16:16,SILVER - CHF,FX/Indices,1H,,52.61,54.06,56.8,,,INVALIDÉE,8.6
2026-08-10 20:16:15,GOLD - CHF,FX/Indices,1H,3556.05,3526.12,3605.87,3820.73,1.664550618108895,8.843301035749992,SEUIL PRÉSERVÉ,8.8
2026-08-10 20:16:14,SILVER - EUR,FX/Indices,1H,56.95,56.31,57.85,60.7,1.4062499999999964,5.859374999999995,INVALIDÉE,8.6
2026-08-10 20:16:14,SILVER - GBP,FX/Indices,1H,48.66,48.28,49.59,52.05,2.447368421052679,8.921052631579055,INVALIDÉE,8.6
2026-08-10 07:13:45,SILVER - CAD,FX/Indices,1H,89.52,88.11,91.08,93.31,1.1063829787234085,2.6879432624113586,OBJECTIF ATTEINT,8.0
2026-08-07 09:19:17,SILVER - CAD,FX/Indices,1H,90.28,88.11,95.48,98.23,2.396313364055299,3.6635944700460814,SEUIL PRÉSERVÉ,8.8
2026-08-07 08:17:40,GOLD - CAD,FX/Indices,1H,6030.69,5956.72,6109.56,6295.16,1.0662430715154996,3.5753683925916264,SEUIL PRÉSERVÉ,8.6
2026-08-07 08:17:39,SILVER - AUD,FX/Indices,1H,,89.13,96.64,102.08,,,SEUIL PRÉSERVÉ,8.8
2026-08-07 08:17:39,GOLD - AUD,FX/Indices,1H,6110.5,6043.51,6214.79,6337.29,1.5567995223167683,3.385430661292741,SEUIL PRÉSERVÉ,8.6
2026-08-07 08:17:38,SILVER - JPY,FX/Indices,1H,10193.0,10087.0,,,,,INVALIDÉE,8.6
2026-08-07 08:17:37,SILVER - CHF,FX/Indices,1H,,50.83,53.78,56.8,,,SEUIL PRÉSERVÉ,8.8
2026-08-07 08:17:37,SILVER - EUR,FX/Indices,1H,,54.44,58.5,61.49,,,SEUIL PRÉSERVÉ,8.9
2026-08-07 08:17:36,GOLD - EUR,FX/Indices,1H,3733.19,3689.17,3819.32,4046.58,1.9566106315311256,7.119263970922308,SEUIL PRÉSERVÉ,8.6
2026-08-05 16:17:30,GOLD - CHF,FX/Indices,1H,3421.3,3364.27,3493.42,3559.11,1.26459758022093,2.416447483780457,SEUIL PRÉSERVÉ,8.6
2026-08-05 15:21:21,GOLD - AUD,FX/Indices,1H,6033.24,5890.15,6214.79,6337.29,1.2687818855265915,2.1248864351107684,SEUIL PRÉSERVÉ,9.1
2026-08-05 15:21:20,GOLD - GBP,FX/Indices,1H,3161.02,3090.49,3235.2,3303.49,1.0517510279313713,2.0199914929817013,SEUIL PRÉSERVÉ,9.1
2026-08-05 12:21:08,GOLD - EUR,FX/Indices,1H,3638.85,3619.9,3684.24,3819.32,2.3952506596306233,9.523482849604326,OBJECTIF ATTEINT,8.6
2026-08-05 08:20:04,GOLD - NZD,FX/Indices,1H,7101.98,7033.03,7257.19,7611.98,2.251051486584488,7.396664249456147,OBJECTIF ATTEINT,8.9
2026-08-05 08:20:03,SILVER - JPY,FX/Indices,1H,9721.0,9673.0,,,,,OBJECTIF ATTEINT,8.6
2026-08-05 07:16:27,SILVER - NZD,FX/Indices,1H,105.09,103.5,107.9,118.03,1.7672955974842743,8.138364779874195,SEUIL PRÉSERVÉ,8.8
2026-08-05 06:21:35,SILVER - AUD,FX/Indices,1H,,85.83,89.28,96.64,,,SEUIL PRÉSERVÉ,8.8
2026-08-05 06:21:34,SILVER - CHF,FX/Indices,1H,,48.97,50.83,53.78,,,SEUIL PRÉSERVÉ,8.8
2026-08-05 06:21:33,SILVER - EUR,FX/Indices,1H,53.28,52.7,54.83,58.5,2.672413793103451,9.000000000000025,SEUIL PRÉSERVÉ,8.8
2026-08-05 06:21:33,SILVER - GBP,FX/Indices,1H,45.67,44.98,46.72,50.32,1.5217391304347678,6.73913043478256,SEUIL PRÉSERVÉ,8.8
2026-08-03 13:53:22,GOLD - JPY,FX/Indices,Journalier,630748.0,648344.0,,,,,INVALIDÉE,8.0
2026-07-31 20:17:55,GOLD - JPY,FX/Indices,1H,641265.0,648344.0,,,,,SEUIL PRÉSERVÉ,8.2
2026-07-31 12:15:31,SILVER - JPY,FX/Indices,1H,9266.0,9348.0,,,,,OBJECTIF ATTEINT,7.9
2026-07-29 15:20:17,SILVER - CAD,FX/Indices,1H,80.21,81.08,78.98,77.82,1.4137931034482567,2.7471264367815955,INVALIDÉE,8.4
2026-07-29 15:20:16,SILVER - CHF,FX/Indices,1H,46.68,47.3,45.45,44.88,1.9838709677419386,2.90322580645162,INVALIDÉE,8.4
2026-07-28 05:15:17,SILVER - AUD,FX/Indices,1H,82.07,83.76,80.22,78.47,1.0946745562130067,2.130177514792881,SEUIL PRÉSERVÉ,8.0
2026-07-22 03:18:01,GOLD - NZD,FX/Indices,1H,7102.75,7079.46,7150.88,7412.55,2.0665521683125885,13.301846285959668,INVALIDÉE,8.8
2026-07-22 03:18:00,GOLD - CHF,FX/Indices,1H,3363.59,3332.5,3441.88,3493.42,2.518173045995484,4.175940816982931,SEUIL PRÉSERVÉ,9.1
2026-07-22 03:18:00,GOLD - JPY,FX/Indices,1H,675214.0,671577.0,,,,,INVALIDÉE,8.8
2026-07-22 00:13:46,GOLD - CAD,FX/Indices,1H,5771.48,5725.25,5861.69,5921.48,1.9513303049967745,3.2446463335496736,OBJECTIF ATTEINT,8.2
2026-07-21 22:18:41,GOLD - JPY,FX/Indices,1H,665944.0,663979.0,,,,,OBJECTIF ATTEINT,8.2
2026-07-21 22:18:40,GOLD - GBP,FX/Indices,1H,3050.83,3024.89,3086.71,3181.73,1.3831919814957607,5.046260601387811,OBJECTIF ATTEINT,8.0
2026-07-21 16:19:40,GOLD - AUD,FX/Indices,1H,5819.48,5786.73,5880.23,5928.31,1.8549618320610688,3.3230534351145296,OBJECTIF ATTEINT,8.4
2026-07-17 08:57:17,GOLD - GBP,FX/Indices,Journalier,2973.41,3024.89,2875.3,2727.35,1.9057886557886488,4.779720279720277,INVALIDÉE,7.7
2026-07-16 03:15:51,GOLD - CHF,FX/Indices,1H,3248.15,3258.28,3237.79,3143.4,1.0227048371174745,10.340572556761982,OBJECTIF ATTEINT,7.9
2026-07-15 17:16:05,GOLD - GBP,FX/Indices,1H,2981.15,3010.82,2939.76,2868.7,1.39501179642736,3.7900235928547352,SEUIL PRÉSERVÉ,8.2
