date_creation,ticker,asset_class,timeframe,prix_entree,stop_loss_init,tp1_init,tp2_init,rr_tp1,rr_tp2,statut_final,score_force,case,tp1_time,sl_time,resolution_time,resolution_verifiee,resolution_time_est,payoff_bucket,r_realiste,r_trailing
2021-04-23 12:43:32,GOLD - AUD,FX/Indices,1H,2317.85,2311.15,2329.52,2416.97,1.7417910447761775,14.794029850746654,INVALIDÉE,8.4,hors_couverture_historique,,,,False,2021-04-23 21:21:28,,-1.0,-1.0
2021-04-28 06:31:52,GOLD - USD,FX/Indices,1H,1768.74,1773.57,1763.66,1748.55,1.0517598343685308,4.180124223602559,OBJECTIF ATTEINT,8.0,hors_couverture_historique,,,,False,2021-04-28 15:09:48,hors_couverture,1.0517598343685308,1.0517598343685308
2021-04-28 07:33:46,GOLD - GBP,FX/Indices,1H,1274.07,1277.55,1267.78,1260.97,1.807471264367796,3.764367816091908,INVALIDÉE,7.7,hors_couverture_historique,,,,False,2021-04-28 16:11:42,,-1.0,-1.0
2021-05-10 10:32:53,SILVER - USD,FX/Indices,1H,27.76,27.59,28.15,28.53,2.294117647058783,4.529411764705834,INVALIDÉE,8.0,hors_couverture_historique,,,,False,2021-05-10 19:10:49,,-1.0,-1.0
2021-05-11 21:31:02,GOLD - AUD,FX/Indices,1H,2342.82,2330.67,2355.28,2416.97,1.0255144032921764,6.102880658436138,OBJECTIF ATTEINT,7.7,hors_couverture_historique,,,,False,2021-05-12 06:08:58,hors_couverture,1.0255144032921764,1.0255144032921764
2021-05-14 19:42:30,GOLD - GBP,FX/Indices,1H,1307.2,1303.45,1320.16,1331.95,3.4560000000000097,6.6,OBJECTIF ATTEINT,8.6,hors_couverture_historique,,,,False,2021-05-15 04:20:26,hors_couverture,3.4560000000000097,3.4560000000000097
2021-05-20 04:31:59,GOLD - EUR,FX/Indices,1H,1540.37,1534.24,1550.88,1587.72,1.7145187601958272,7.72430668841779,INVALIDÉE,7.9,hors_couverture_historique,,,,False,2021-05-20 13:09:55,,-1.0,-1.0
2021-05-26 07:35:33,GOLD - GBP,FX/Indices,1H,1348.12,1343.66,1366.75,1433.61,4.177130044843253,19.1681614349784,INVALIDÉE,8.4,hors_couverture_historique,,,,False,2021-05-26 16:13:29,,-1.0,-1.0
2021-05-26 13:38:48,GOLD - AUD,FX/Indices,1H,2458.98,2452.28,2482.34,2529.19,3.486567164179218,10.47910447761223,INVALIDÉE,8.6,hors_couverture_historique,,,,False,2021-05-26 22:16:44,,-1.0,-1.0
2021-05-31 19:32:56,SILVER - USD,FX/Indices,1H,28.04,27.9,28.26,29.77,1.5714285714285825,12.35714285714281,OBJECTIF ATTEINT,8.2,hors_couverture_historique,,,,False,2021-06-01 04:10:52,hors_couverture,1.5714285714285825,1.5714285714285825
2021-06-01 02:30:10,GOLD - EUR,FX/Indices,1H,1563.83,1557.62,1587.72,1646.97,3.847020933977449,13.38808373590976,INVALIDÉE,7.9,hors_couverture_historique,,,,False,2021-06-01 11:08:06,,-1.0,-1.0
2021-06-01 12:32:56,SILVER - USD,FX/Indices,1H,28.31,28.14,29.15,29.77,4.941176470588288,8.588235294117746,INVALIDÉE,8.4,hors_couverture_historique,,,,False,2021-06-01 21:10:52,,-1.0,-1.0
2021-06-08 12:33:00,GOLD - GBP,FX/Indices,1H,1343.71,1340.17,1349.54,1384.03,1.646892655367228,11.389830508474676,INVALIDÉE,8.6,hors_couverture_historique,,,,False,2021-06-08 21:10:56,,-1.0,-1.0
2021-06-10 18:38:46,SILVER - AUD,FX/Indices,1H,36.02,35.91,36.35,36.66,2.9999999999998064,5.818181818181413,OBJECTIF ATTEINT,8.6,hors_couverture_historique,,,,False,2021-06-11 03:16:42,hors_couverture,2.9999999999998064,2.9999999999998064
