date_creation,ticker,asset_class,timeframe,prix_entree,stop_loss_init,tp1_init,tp2_init,rr_tp1,rr_tp2,statut_final,score_force,case,tp1_time,sl_time,resolution_time,resolution_verifiee,resolution_time_est,payoff_bucket,r_realiste,r_trailing
2021-04-22 05:34:38,GOLD - NZD,FX/Indices,1H,2495.42,2488.06,2503.47,2585.2,1.093749999999944,12.198369565217146,INVALIDÉE,8.8,hors_couverture_historique,,,,False,2021-04-22 14:12:34,,-1.0,-1.0
2021-04-23 12:43:32,GOLD - AUD,FX/Indices,1H,2317.85,2311.15,2329.52,2416.97,1.7417910447761775,14.794029850746654,INVALIDÉE,8.4,hors_couverture_historique,,,,False,2021-04-23 21:21:28,,-1.0,-1.0
2021-04-23 12:43:34,GOLD - NZD,FX/Indices,1H,2497.86,2488.06,2537.19,2585.2,4.013265306122367,8.912244897958987,INVALIDÉE,8.8,hors_couverture_historique,,,,False,2021-04-23 21:21:30,,-1.0,-1.0
2021-04-28 06:31:52,GOLD - USD,FX/Indices,1H,1768.74,1773.57,1763.66,1748.55,1.0517598343685308,4.180124223602559,OBJECTIF ATTEINT,8.0,hors_couverture_historique,,,,False,2021-04-28 15:09:48,hors_couverture,1.0517598343685308,1.0517598343685308
2021-04-28 07:33:46,GOLD - GBP,FX/Indices,1H,1274.07,1277.55,1267.78,1260.97,1.807471264367796,3.764367816091908,INVALIDÉE,7.7,hors_couverture_historique,,,,False,2021-04-28 16:11:42,,-1.0,-1.0
2021-05-10 10:32:34,SILVER - CHF,FX/Indices,1H,25.01,24.7,25.58,27.09,1.8387096774193308,6.709677419354784,INVALIDÉE,7.9,hors_couverture_historique,,,,False,2021-05-10 19:10:30,,-1.0,-1.0
2021-05-10 10:32:36,SILVER - CAD,FX/Indices,1H,33.66,33.42,34.33,35.98,2.791666666666733,9.666666666666874,INVALIDÉE,7.9,hors_couverture_historique,,,,False,2021-05-10 19:10:32,,-1.0,-1.0
2021-05-10 10:32:36,SILVER - NZD,FX/Indices,1H,38.07,37.97,38.17,39.82,1.0,17.49999999999975,OBJECTIF ATTEINT,8.0,hors_couverture_historique,,,,False,2021-05-10 19:10:32,hors_couverture,1.0,1.0
2021-05-10 10:32:53,SILVER - USD,FX/Indices,1H,27.76,27.59,28.15,28.53,2.294117647058783,4.529411764705834,INVALIDÉE,8.0,hors_couverture_historique,,,,False,2021-05-10 19:10:49,,-1.0,-1.0
2021-05-10 23:30:49,GOLD - NZD,FX/Indices,1H,2526.31,2517.71,2536.85,2623.15,1.225581395348846,11.260465116279208,INVALIDÉE,8.2,hors_couverture_historique,,,,False,2021-05-11 08:08:45,,-1.0,-1.0
